"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Bruto systeemprijs
Cable stripper,,,,
Micro Wire Stripper,,,,
Various models,,,,
Cable stripper,,,,
30800,,Fibre Strip LC,4011391308008.0,56.45
Micro Wire Stripper,,,,
Accessoires,,,,
Micro Wire Stripper,,,,
Various models,,,,
Wire stripper,,,,
Cable knives Secura,,,,
Cable knives Standard,,,,
19001,,Spare Blade ,,3.15
10500,,No. 50 ,4011391105003.0,31.5
10282,,No. 28H ,4011391102828.0,12.8
Wire stripper,,,,
Cable knives Standard,,,,
Wire stripper,,,,
Accessoires,,,,
Cable stripper,,,,
Micro Wire Stripper,,,,
Accessoires,,,,
60115,1000.0,End sleeves 1.50,4011391601154.0,17.8
Cable stripper,,,,
Micro Wire Stripper,,,,
40028,,ESD-Plus 002,4011391400283.0,45.5
Cable knives Secura,,,,
Accessoires,,,,
Cable stripper,,,,
Cable knives Secura,,,,
Micro Wire Stripper,,,,
Cable stripper,,,,
Micro Wire Stripper,,,,
Cable knives Standard,,,,
Wire stripper,,,,
Cable stripper,,,,
Cable knives,,,,
Micro Wire Stripper,,,,
Cable knives Standard,,,,
Cable knives,,,,
70000,,Cable Knife System 4-70,4011391700000.0,63.3
Accessoires,,,,
60150,1000.0,End sleeves 0.50,,17.8
29310,,EM-Set Sensor Mini ,,60.35
29090,,EM-Set 6-16,4011391290907.0,37.45
Cable knives,,,,
Cable knives Standard,,,,
Accessoires,,,,
Cable knives Secura,,,,
Cable stripper,,,,
Wire stripper,,,,
Various models,,,,
Cable stripper,,,,
Micro Wire Stripper,,,,
Cable knives Standard,,,,
Cable stripper,,,,
Wire stripper,,,,
Cable stripper,,,,
Accessoires,,,,
Cable stripper,,,,
Accessoires,,,,
Micro Wire Stripper,,,,
40105,,SWS-Plus 080,4011391401051.0,27.1
40027,,ESD-Plus 001,4011391400276.0,45.5
Cable stripper,,,,
30110,,Top Coax Plus,4014915055921.0,
Cable knives,,,,
Cable knives Standard,,,,
Various models,,,,
Micro Wire Stripper,,,,
Wire stripper,,,,
Cable knives Standard,,,,
Cable stripper,,,,
Accessoires,,,,
Cable stripper,,,,
Various models,,,,
Cable stripper,,,,
Cable knives,,,,
Micro Wire Stripper,,,,
Accessoires,,,,
Micro Wire Stripper,,,,
Cable stripper,,,,
Cable knives,,,,
Wire stripper,,,,
20300,,Sensor Special,4011391203006.0,122.9
20310,,Sensor Mini,4001391203105.0,122.9
20450,,High Strip,4011391204506.0,74.85000000000002
