Subtitle,"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Bruto systeemprijs
Cable stripper,30810,,LC-PUR,4011391308107.0,56.45
Micro Wire Stripper,40085,,SWS-Plus 050,4011391400856.0,27.1
Various models,60100,,QUADRO Cartridge,4011391601000.0,17.0
Cable stripper,30800,,Fibre Strip LC,4011391308008.0,56.45
Cable stripper,30140,,No. 14 Flatcable,4011391301405.0,26.85
Micro Wire Stripper,40029,,ESD-Plus 003,4011391400290.0,45.5
Accessoires,29100,,EM-Set Secura 2K,,17.650000000000006
Micro Wire Stripper,40095,,SWS-Plus 060,4011391400955.0,27.1
Various models,60000,,QUADRO Set,4011391600003.0,293.5
Wire stripper,20030,,Flat-Cable-Stripper,4011391200302.0,73.25
Cable knives Secura,10281,,No. 28G,4011391102811.0,15.25
Cable knives Standard,19001,,Spare Blade ,,3.15
Cable knives Standard,10500,,No. 50 ,4011391105003.0,31.5
Cable knives Standard,10282,,No. 28H ,4011391102828.0,12.8
Cable knives Standard,10285,,No. 28G ,4011391102859.0,12.8
Wire stripper,20060,,Special,4011391200609.0,68.60000000000001
Cable knives Standard,10272,,No. 27 ,4011391102729.0,12.25
Wire stripper,20100,,Secura 2K,4011391201002.0,49.95
Accessoires,29060,,EM-Set Special,,25.0
Cable stripper,30600,,Secura Coaxi No.1,4011391306004.0,15.9
Micro Wire Stripper,40075,,SWS-Plus 040,4011391400757.0,27.1
Accessoires,60115,1000.0,End sleeves 1.50,4011391601154.0,17.8
Accessoires,29450,,EM-Set High-Strip,,27.4
Cable stripper,30120,,No. 12 Universal,4011391301207.0,22.05
Micro Wire Stripper,40028,,ESD-Plus 002,4011391400283.0,45.5
Micro Wire Stripper,40024,,PWS-Plus 001,4011391400245.0,35.45000000000001
Cable knives Secura,10160,,0,4011391101609.0,14.3
Accessoires,29030,,EM-Set FKZ,,30.4
Cable stripper,30500,,No.1-Cat,0.0,34.5
Cable knives Secura,10280,,No. 28H,4011391102804.0,15.25
Micro Wire Stripper,40026,,PWS-Plus 003 ,4011391400269.0,35.45000000000001
Cable stripper,30900,,Allrounder,4011391309005.0,26.8
Micro Wire Stripper,40055,,SWS-Plus 025,4011391400559.0,27.1
Cable knives Standard,10271,,No. 27ISO,4011391102712.0,19.65
Wire stripper,20090,,6-16,4011391200906.0,80.7
Cable stripper,30700,,Fibre Strip DC,4011391307001.0,28.20000000000001
Cable knives,79035,,Cable bracket No. 35,4011391790353.0,16.75
Micro Wire Stripper,40015,,SWS-Plus 012,4011391400153.0,27.1
Cable knives Standard,10355,,No. 35P,4011391103559.0,67.95
Cable knives,70000,,Cable Knife System 4-70,4011391700000.0,63.3
Cable knives,79070,,Cable bracket No. 70,4011391790704.0,19.7
Accessoires,60150,1000.0,End sleeves 0.50,,17.8
Accessoires,29310,,EM-Set Sensor Mini ,,60.35
Accessoires,29090,,EM-Set 6-16,4011391290907.0,37.45
Accessoires,60110,1000.0,End sleeves 1.00,,17.8
Cable knives,79016,,Cable bracket No. 16,4011391790162.0,14.65
Cable knives Standard,10700,,No. 70,4011391107007.0,38.5
Accessoires,29300,,EM-Set Sensor Special ,,60.35
Cable knives Secura,10270,,No. 27,4011391102705.0,14.3
Cable stripper,30180,,"SE-Strip 1,5",4011391301801.0,38.55
Wire stripper,20050,,Super 4 plus,4011391200500.0,21.4
Various models,50000,,BK Stripper,4011391500006.0,149.5
Cable stripper,30200,,SE-Strip 10/16,4011391302006.0,38.55
Micro Wire Stripper,40025,,PWS-Plus 002,4011391400252.0,35.45000000000001
Cable knives Standard,10162,,0,4011391101623.0,12.25
Cable stripper,30161,,PC-CAT,4011391301610.0,33.75
Wire stripper,20220,,Outlet Special 20,4011391202207.0,88.9
Cable stripper,30300,,AS-Interface Strip,4011391303003.0,45.7
Accessoires,60125,1000.0,End sleeves 2.50,4011391601253.0,20.35
Cable stripper,30400,,Uni-Plus,0.0,17.35
