Account Name,Contract Start Date,Membership Category,Membership Level,Website
Producer Organisation,,,,
Suppliers and Manufacturers,,,,
"Hebei Spring Textiles  Co., Ltd",41913.0,7,2.0,
"Shandong Ruyi Technology Group Co., Ltd",41974.0,4,2.0,
Matesa Tekstil Sanayi ve Ticaret A.S.,41913.0,4,2.0,
"Taicang Longxin Textile Co.,Ltd",42339.0,7,2.0,
"Bengbu Huawan Textile Co., Ltd",41944.0,4,2.0,
"Kashion Industry Co., Ltd",42522.0,9,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
J.K Spinning Mills Ltd,42278.0,7,2.0,
Al Karam Group,41306.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Skywin Spinning Pvt Ltd,42644.0,7,2.0,www.skywinspinning.com
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Nafeesa Textiles Ltd.,42036.0,7,2.0,
Zibo Yinshilai Textile Co. Ltd.,41671.0,9,2.0,
Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),41640.0,7,2.0,
"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,10,2.0,
S. A. Aanandan Spinning Mills Pvt. Ltd.,41000.0,7,2.0,
Civil Society,,,,
Suppliers and Manufacturers,,,,
Satia Synthetics Ltd,42522.0,7,2.0,
Atesa Tekstil Insaat Tarim Gida San. Tic. A.S.,42125.0,7,2.0,
Finteks Tekstil ve Hali San Ltd Sti,42430.0,9,3.0,
"HuBei SenYu Textile Technological Co.,Ltd",42186.0,7,2.0,
Israq Spinning Mills Ltd.,42125.0,7,2.0,
Fiasul Industria de Fios LTDA,,7,2.0,www.fiasul.com.br
Yancheng Risheng Textile Logistics Co.Ltd,42614.0,7,2.0,
Polo Composite Knit Industry Ltd,42522.0,9,3.0,
Alkas Spinning Mills Pvt Ltd,42736.0,7,2.0,
Bhuvneswari Cotspin India Pvt Ltd,42736.0,4,2.0,
Omax Cotspin,41091.0,7,2.0,
Kaynak Iplik San Ve TIC A.S.,41883.0,4,2.0,
Retailers and Brands,,,,
Suppliers and Manufacturers,,,,
Nishat Chunian Ltd.,40940.0,4,2.0,
