"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ART ,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
44377.0,9,MAT 126-A001,69,3,0,24,61,82,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
HISTORY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,
HISTORY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
NURSING,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MUSIC,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CIS,,,,,,,,,,,
WELDING,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
55312.0,,7,13,2,6,10,10,5,2.0,43696.0,43814.0
ECONOMICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44599.0,2,BIO 139-A0Y2,27,4,1,1,1,30,2.0,43696.0,43814.0
COOPERATIVE EDUCATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
THEATRE,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
44717.0,,6,11,2,5,16,6,6,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
NURSING,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44547.0,6,ENG 101-A008,58,3,2,24,13,35,2.0,43696.0,43814.0
RELIGIOUS STUDIES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
55586.0,,MAT 126S-A0ZH,70,2,1,1,1,82,1.0,43696.0,43814.0
PHYSICS,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
MUSIC,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
THEATRE,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
WELDING,,,,,,,,,,,
ART ,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ART ,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
ART ,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
55363.0,,4,11,2,7,11,6,5,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ART ,,,,,,,,,,,
