Subtitle,"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,"Instruction 
Mode","Start 
Date","End 
Date"
DIESEL TECHNOLOGY,44719.0,,10,43,2,7,7,30,9,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44914.0,2,BIO 135-A0Y1,25,4,1,1,1,1,0.0,43696.0,43814.0
CIS,44629.0,,CIT 217-A0Z1,UNIX/Linux Administration,3,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,44523.0,6,ENG 101-A0H1,58,3,0,16,19,53,2.0,43696.0,43814.0
WELDING,44494.0,,WLD 221-A001,Welding Certification Lab,3,2,15,11,81,2.0,43696.0,43814.0
ENGLISH,44562.0,6,ENG 102-A001,59,3,0,5,24,39,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55240.0,,ADX 260-A001,8,3,3,0,9,10,2.0,43696.0,43814.0
MATHEMATICS,45428.0,9,MAT 141-A0M1,71,3,2,5,24,63,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44860.0,,FYE 100-A0Z2,61,1,1,1,1,1,1.0,43696.0,43814.0
RELIGIOUS STUDIES,44591.0,7,REL 101-A0Z1,Intro to Religious Studies,3,1,1,1,1,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44548.0,1,BIO 113-A002,23,1,5,5,27,20,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44631.0,,CRJ 100-A001,Intro to Criminal Justice,3,2,5,24,40,2.0,43696.0,43814.0
MATHEMATICS,55584.0,,MAT 126S-A0M1,70,2,0,31,32,63,2.0,43696.0,43814.0
MATHEMATICS,44393.0,,MAT 100-A0ZH,72,2,1,1,1,1,1.0,43696.0,43814.0
COMMUNICATIONS,44499.0,,COM 184-A001,40,1,1,1,1,36,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44535.0,,HFL 260-A0Z1,Healthcare Fac Leadrshp Cap I,3,1,1,1,1,1.0,43696.0,43814.0
CARDIOPULMONARY RESUSCITATION,45051.0,,CPR 100-A001,CPR Healthcare Professionals,1,4,1,1,4,2.0,43696.0,43814.0
RADIOGRAPHY,44971.0,,DMI 106-A001,94,3,3,26,4,73,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,55588.0,,MIT 204-A0Z1,75,3,1,1,1,1,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44414.0,,ELT 110-A0L2,50,,10,3,41,46,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44410.0,,EET 250-A0Z1,National Electrical Code,4,1,1,1,1,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44944.0,1,BIO 113-A0E1,23,1,7,20,28,21,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44430.0,,ELT 114-A0L1,51,,10,3,41,48,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44894.0,,OST 160-A001,Records & Database Mgmt.,3,2,19,23,27,2.0,43696.0,43814.0
THEATRE,44776.0,,THA 193-A001,Performance Practicum,1,4,1,1,4,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54060.0,2,BIO 141-A001,28,4,0,15,17,19,2.0,43696.0,43814.0
COOPERATIVE EDUCATION,44630.0,,COE 199-A001,Cooperative Education,1 - 8,1,1,1,4,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44671.0,,MIT 295-A001,77,3,4,1,1,4,2.0,43696.0,43814.0
ENGLISH,44859.0,6,ENG 101-A0H4,58,3,2,15,17,53,2.0,43696.0,43814.0
POLITICAL SCIENCE,44926.0,5,POL 101-A002,89,3,0,0,0,41,2.0,43696.0,43814.0
PSYCHOLOGY,44681.0,5,PSY 110-A006,91,3,2,5,24,72,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44594.0,10,REL 130-A0Z2,98,3,1,1,1,1,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55348.0,,AUT 140-A001,10,3,9,7,14,10,2.0,43696.0,43814.0
WELDING,44500.0,,WLD 110-A001,Cutting Processes,2,10,0,08:40 AM,58,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44766.0,,FYE 100-A012,61,1,5,19,23,36,2.0,43696.0,43814.0
ECONOMICS,44635.0,5,ECO 201-A001,46,3,0,10,20,16,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44711.0,,ADX 170-A001,6,3,3,7,11,5,2.0,43696.0,43814.0
CIS,44621.0,,CIT 105-A0Z2,33,3,1,1,1,1,1.0,43696.0,43814.0
DIESEL TECHNOLOGY,44981.0,,DIT 140-A001,Hydraulics,3,3,0,9,8,2.0,43696.0,43814.0
COMMUNICATIONS,44481.0,4,COM 181-A001,39,3,0,5,24,33,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44705.0,,0,4,2,3,6,10,6,2.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45099.0,,SUR 103-A0B1,Surgical Tech Supplement Lab,1,13,7,3,75,2.0,43696.0,43751.0
MATHEMATICS,44879.0,9,MAT 150-A0E1,73,3,2,9,25,18,2.0,43696.0,43814.0
ART ,44809.0,,ART 220-A001,Painting I,3,0,18,22,14,2.0,43696.0,43814.0
NURSING,44735.0,,NSG 211-A0C1,83,,4,1,1,70,2.0,43696.0,43814.0
PSYCHOLOGY,44680.0,5,PSY 110-A005,91,3,0,10,20,19,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44457.0,,CMM 114-A0L1,36,,10,09:10 AM,27,31,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,11,2,3,13,16,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44709.0,,1,5,2,6,6,4,7,2.0,43696.0,43814.0
THEATRE,44598.0,0,THA 101-A001,Intro to Theatre,3,2,15,17,76,2.0,43696.0,43814.0
MATHEMATICS,44388.0,9,MAT 150-A0H4,73,3,2,0,0,41,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44646.0,,BIO 227-A0L1,30,,0,6,33,25,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45362.0,,AGR 285-A0Z1,Farm Financial Management,3,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,44543.0,6,ENG 101-A004,58,3,0,15,17,38,2.0,43696.0,43814.0
ENGLISH,44789.0,6,ENG 101-A012,58,3,2,10,20,37,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44767.0,,FYE 100-A013,61,1,5,19,23,49,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44750.0,,ACR 250-A001,Cooling and Dehumidification,3,0,0,7,2,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44634.0,,CRJ 295-A001,Criminal Justice Capstone,1,4,1,1,4,2.0,43696.0,43814.0
MATHEMATICS,44400.0,9,MAT 155-A001,Trigonometry,3,0,0,0,19,2.0,43696.0,43814.0
HISTORY,44653.0,0,HIS 108-A001,64,3,0,0,0,59,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44930.0,,ADX 170-A002,6,3,8,7,02:15 PM,8,2.0,43696.0,43814.0
SOCIAL WORK,44955.0,5,SWK 275-A0Z1,The Family,3,1,1,1,1,1.0,43696.0,43814.0
CHEMISTRY,44610.0,1,CHE 140-A001,Introductory General Chemistry,3,0,15,17,12,2.0,43696.0,43814.0
MATHEMATICS,44381.0,9,MAT 126-A0Z1,69,3,1,1,1,1,1.0,43696.0,43814.0
ALLIED HEALTH,45363.0,,AHS 115-A0YE,17,3,7,17,13,12,0.0,43696.0,43814.0
NURSING,44736.0,,15,84,,7,6,33,67,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46361.0,,EMS 250-A001,Medical Emergencies II,3,3,15,12,52,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44439.0,,EET 286-A0Y1,Program Logic Controllers II,2,4,1,1,1,0.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45366.0,2,BIO 137-A003,26,4,2,0,0,18,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44952.0,,IEC 291-A001,IECE Practicum/Coop Education,3,4,1,1,4,2.0,43696.0,43814.0
ENGLISH,44559.0,6,ENG 101-A0Z1,58,3,1,1,1,1,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44420.0,,ELT 210-A0L1,53,,2,3,41,46,2.0,43696.0,43814.0
PSYCHOLOGY,44691.0,5,PSY 185-A0Z1,Human Potential,3,1,1,1,1,1.0,43696.0,43814.0
PSYCHOLOGY,44686.0,,16,92,4,6,9,15,72,0.0,43696.0,43814.0
MATHEMATICS,44401.0,,MAT 205-A001,Math Elem/Middle SchoolTeach I,3,0,15,17,61,2.0,43696.0,43814.0
ENGLISH,44547.0,6,ENG 101-A008,58,3,2,5,24,13,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44424.0,,EET 255-A001,Electrical Construction Lab,4,10,09:05 AM,40,45,2.0,43696.0,43814.0
CIS,44618.0,,CIT 105-A0E1,33,3,6,9,34,28,2.0,43696.0,43814.0
WELDING,45004.0,,WLD 152-A0E1,103,5,0,4,07:45 PM,81,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44819.0,2,BIO 139-A0Y1,27,4,1,1,1,1,0.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44773.0,,AGR 240-A0L1,16,3,1,1,1,11,2.0,43696.0,43814.0
ART ,44475.0,0,ART 100-A0Z1,18,3,1,1,1,1,1.0,43696.0,43814.0
HISTORY,44655.0,0,HIS 108-A0Z1,64,3,1,1,1,1,1.0,43696.0,43814.0
CIS,44620.0,,CIT 105-A0Z1,33,3,1,1,1,1,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44415.0,,ELT 110-A0E1,50,5,0,9,13,46,2.0,43696.0,43814.0
ALLIED HEALTH,45018.0,,AHS 115-A0Z2,17,3,1,1,1,1,1.0,43696.0,43814.0
CIS,45396.0,,CIT 262-A0B2,MS Network Infrastructure,3,5,14,37,30,2.0,43759.0,43814.0
CIS,44617.0,,CIT 105-A005,33,3,2,10,20,27,2.0,43696.0,43814.0
ENGLISH,44567.0,6,ENG 102-A004,59,3,0,10,20,56,2.0,43696.0,43814.0
HISTORY,51389.0,0,HIS 101-A001,World Civilization I,3,0,10,20,59,2.0,43696.0,43814.0
PSYCHOLOGY,44679.0,5,PSY 110-A004,91,3,0,15,17,72,2.0,43696.0,43814.0
ART ,44476.0,0,ART 105-A001,Ancient Through Mediev Art His,3,0,0,0,13,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44449.0,,BIO 225-A0L2,29,,2,25,17,25,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45008.0,,ADX 260-A0E1,8,3,3,8,12,5,2.0,43696.0,43814.0
