"Product Code
nieuw",VPE,Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Wire stripper,,,,,
20300,,Sensor Special,4011391203006.0,Jokari Draadstripper Sensor Special,122.9
Cable knives Standard,,,,,
Cable knives,,,,,
Cable stripper,,,,,
30140,,No. 14 Flatcable,4011391301405.0,Jokari Kabelstripper Flatkabel No. 14,26.85
Cable knives,,,,,
Accessoires,,,,,
29450,,EM-Set High-Strip,,Jokari Set reservemesjes,27.4
Cable knives Standard,,,,,
Cable knives,,,,,
Micro Wire Stripper,,,,,
Cable knives,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
30500,,No.1-Cat,0.0,"Jokari Kabelstripper No-1, in toolbag",34.5
Accessoires,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
40075,,SWS-Plus 040,4011391400757.0,Jokari Micro Draadstripper SWS-Plus 040,27.1
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Various models,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Wire stripper,,,,,
Cable stripper,,,,,
Cable knives Standard,,,,,
Wire stripper,,,,,
20220,,Outlet Special 20,4011391202207.0,Jokari Outlet Special 20,88.9
Cable knives Standard,,,,,
Various models,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Micro Wire Stripper,,,,,
Cable knives,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Wire stripper,,,,,
Various models,,,,,
Cable stripper,,,,,
Wire stripper,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
30400,,Uni-Plus,0.0,Jokari Kabelstripper Uni-Plus,17.35
Micro Wire Stripper,,,,,
40026,,PWS-Plus 003 ,4011391400269.0,Jokari Draadstripper PWS-Plus 003,35.45000000000001
Various models,,,,,
Micro Wire Stripper,,,,,
40115,,SWS-Plus 100,4011391401150.0,Jokari Micro Draadstripper SWS-Plus 100,27.1
Cable knives,,,,,
Cable knives Standard,,,,,
Cable knives Secura,,,,,
Accessoires,,,,,
Cable knives Secura,,,,,
Cable stripper,,,,,
Micro Wire Stripper,,,,,
Cable knives Standard,,,,,
Micro Wire Stripper,,,,,
Accessoires,,,,,
Cable knives Secura,,,,,
Accessoires,,,,,
Micro Wire Stripper,,,,,
40024,,PWS-Plus 001,4011391400245.0,Jokari Micro-precisie Draadstripper PWS-Plus 001,35.45000000000001
Cable knives Secura,,,,,
Wire stripper,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
60125,1000.0,End sleeves 2.50,4011391601253.0,"Jokari Adereindhuls blauw - 2,5mm 100 st",20.35
Various models,,,,,
Cable stripper,,,,,
Cable knives Standard,,,,,
Cable stripper,,,,,
Cable knives Standard,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Accessoires,,,,,
Cable stripper,,,,,
Cable knives,,,,,
Micro Wire Stripper,,,,,
Cable stripper,,,,,
30110,,Top Coax Plus,4014915055921.0,Jokari Kabelstripper Top Coax Plus,
30300,,AS-Interface Strip,4011391303003.0,Jokari Kabelstripper AS-Interface strip,45.7
