"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
MATHEMATICS,,,,,,,,,,,
CIS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
THEATRE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44555.0,2,BIO 137-A001,26,4,0,5,18,27,2.0,43696.0,43814.0
PSYCHOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ART ,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ART ,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
44603.0,,BAS 212-A0Z1,Intro to Financial Management,3,1,1,1,0,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,
ART ,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
44821.0,,COM 284-A001,40,1,1,1,36,42,2.0,43696.0,43814.0
