Lamp Type,CLER,PLC,TFI,SAPN
LED-V,,,,
LED79,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,,,,
LED-V,,,,
LED155,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED158,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED-P,,,,
LED-V,,,,
LED175,18.490508172917835,60.1149764388401,96.27758145643415,136.38211220212827
LED200,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED-P,,,,
LED-V,,,,
LED90,18.139542354897888,59.78440676942319,93.55663870273607,130.58861761330564
LED101,21.26313813527541,62.72647682723378,117.77302921064907,182.1517885193689
LED-P,,,,
LED-V,,,,
LED117,19.54340562697768,61.106685447090854,104.4404097175284,153.7625959685961
LED150,17.507803882461985,59.18938136447272,88.65894174607953,120.15818922234101
LED198,21.466698309726976,62.91820723549561,119.35117600779392,185.5186435872461
LED-P,,,,
LED17_R,16.195191723067385,57.95305080085343,77.37908377448487,96.71736735225277
LED-V,,,,
LED-P,,,,
LED39,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED17,16.167114457625786,57.92660522730008,74.83172953390991,92.53225682048256
LED-V,,,,
LED-P,,,,
LED18,16.195191723067385,57.95305080085343,75.04940495420573,92.99701926623872
LED-V,,,,
LED-P,,,,
LED-V,,,,
LED-P,,,,
LED35,19.54340562697768,61.106685447090854,101.00719882448546,148.2675990829317
LED-V,,,,
LED-P,,,,
LED-V,,,,
