"Product Code
nieuw",Omschrijving 2,EAN code,Omschrijving 1,Bruto systeemprijs
Accessoires,,,,
29310,EM-Set Sensor Mini ,,Jokari Sensor Mini Set reservemesjes,60.35
Wire stripper,,,,
Various models,,,,
Accessoires,,,,
29090,EM-Set 6-16,4011391290907.0,Jokari 6-16 Set reservemesjes,37.45
Cable stripper,,,,
Accessoires,,,,
Cable stripper,,,,
Micro Wire Stripper,,,,
Wire stripper,,,,
Micro Wire Stripper,,,,
40027,ESD-Plus 001,4011391400276.0,Jokari Micro Draadstripper ESD-Plus 001,45.5
Cable knives Standard,,,,
Micro Wire Stripper,,,,
Accessoires,,,,
Wire stripper,,,,
Cable knives Standard,,,,
Various models,,,,
Cable knives,,,,
Cable stripper,,,,
Wire stripper,,,,
Cable knives,,,,
Cable stripper,,,,
Cable knives Secura,,,,
Cable stripper,,,,
Accessoires,,,,
29060,EM-Set Special,,Jokari Special Set reservemesjes,25.0
60150,End sleeves 0.50,,"Jokari Adereindhuls  wit- 0,50mm (500st)",17.8
Micro Wire Stripper,,,,
Cable stripper,,,,
Cable knives Standard,,,,
Wire stripper,,,,
20310,Sensor Mini,4001391203105.0,Jokari draad stripper Sensor Mini,122.9
Accessoires,,,,
Cable knives Standard,,,,
Cable stripper,,,,
Cable knives,,,,
Micro Wire Stripper,,,,
Wire stripper,,,,
Cable knives,,,,
Wire stripper,,,,
Accessoires,,,,
Cable knives Secura,,,,
Cable stripper,,,,
Cable knives,,,,
Various models,,,,
Micro Wire Stripper,,,,
Cable stripper,,,,
Cable knives,,,,
Cable stripper,,,,
Cable knives Standard,,,,
Wire stripper,,,,
Cable stripper,,,,
Cable knives Secura,,,,
Micro Wire Stripper,,,,
40045,SWS-Plus 020,4011391400450.0,Jokari Micro Draadstripper SWS-Plus 020,27.1
Cable knives Secura,,,,
Micro Wire Stripper,,,,
Cable stripper,,,,
Cable knives Standard,,,,
10355,No. 35P,4011391103559.0,Jokari Kabelmes Nr. 35P,67.95
Cable stripper,,,,
30140,No. 14 Flatcable,4011391301405.0,Jokari Kabelstripper Flatkabel No. 14,26.85
Micro Wire Stripper,,,,
Various models,,,,
Wire stripper,,,,
Cable stripper,,,,
