"Product Code
nieuw",VPE,Omschrijving 2,Omschrijving 1,Bruto systeemprijs
Cable knives,,,,
70000,,Cable Knife System 4-70,"Jokari Kabelmes System 4-70, incl. beugel 8-28mm",63.3
79016,,Cable bracket No. 16,"Jokari Wisselbeugel 4 - 16mm O, systeem 4-70",14.65
79028,,Cable bracket No. 28,"Jokari Wisselbeugel 8 - 28mm O, systeem 4-70",14.65
79035,,Cable bracket No. 35,"Jokari Wisselbeugel 27 - 35mm O, systeem 4-70",16.75
79050,,Cable bracket No. 50,"Jokari Wisselbeugel 35 - 50mm O, systeem 4-70",16.75
79070,,Cable bracket No. 70,"Jokari Wisselbeugel 50-70mm O, systeem 4-70",19.7
Cable knives Secura,,,,
10160,,0,Jokari Kabelmes Secura Nr. 16,14.3
10270,,No. 27,Jokari Kabelmes Secura Nr. 27,14.3
10280,,No. 28H,Jokari Kabelmes Secura Nr. 28H,15.25
Cable knives Standard,,,,
10162,,0,Jokari Kabelmes Standaard Nr. 16,12.25
10272,,No. 27 ,Jokari Kabelmes Standaard Nr. 27,12.25
10271,,No. 27ISO,Jokari Kabelmes Nr. 27 ISO,19.65
10282,,No. 28H ,Jokari Kabelmes Standaard Nr. 28H,12.8
10285,,No. 28G ,Jokari Kabelmes Standaard Nr. 28G,12.8
10350,,No. 35 ,Jokari Kabelmes Nr. 35,25.55
10355,,No. 35P,Jokari Kabelmes Nr. 35P,67.95
10500,,No. 50 ,Jokari Kabelmes Nr. 50,31.5
10700,,No. 70,Jokari Kabelmes Nr. 70,38.5
19000,,Spare Blade Set 3pcs.,Attention new Jokari vervangmesje EM per 3 stuks,9.45
Wire stripper,,,,
20100,,Secura 2K,Jokari Draadstripper Secura Soft Grip,49.95
20050,,Super 4 plus,Jokari Draadstripper Super 4 plus,21.4
20450,,High Strip,Jokari High Strip,74.85000000000002
20060,,Special,Jokari Draadstripper Special,68.60000000000001
20070,,AS-Interface Special,Jokari AS-Interface Special Set,113.0
20090,,6-16,Jokari Draadstripper 6-16,80.7
20030,,Flat-Cable-Stripper,Jokari Draadstripper Fiat-cable-stripper,73.25
20220,,Outlet Special 20,Jokari Outlet Special 20,88.9
20255,,Outlet Special 55,Jokari Outlet Special 55,88.9
20300,,Sensor Special,Jokari Draadstripper Sensor Special,122.9
Cable stripper,,,,
30013,,CAN-Strip,Jokari Kabelstripper Can Strip,164.10000000000005
30110,,Top Coax Plus,Jokari Kabelstripper Top Coax Plus,
30120,,No. 12 Universal,Jokari Kabelstripper Universeel No. 12,22.05
30140,,No. 14 Flatcable,Jokari Kabelstripper Flatkabel No. 14,26.85
30155,,Secura No. 15,Jokari Kabelstripper Super Stripper Secura No. 15,37.05
30160,,PC-Strip,Jokari Kabelstripper PC-strip,44.85
30161,,PC-CAT,Jokari Kabelstripper PC-CAT,33.75
30180,,"SE-Strip 1,5","Jokari Kabelstripper SE/Strip 1,5",38.55
30190,,"SE-Strip 2,5-6","Jokari Kabelstripper SE-Strip 2,5-6",38.55
30200,,SE-Strip 10/16,Jokari Kabelstripper SE/Strip 10 16,38.55
30300,,AS-Interface Strip,Jokari Kabelstripper AS-Interface strip,45.7
30400,,Uni-Plus,Jokari Kabelstripper Uni-Plus,17.35
30500,,No.1-Cat,"Jokari Kabelstripper No-1, in toolbag",34.5
30600,,Secura Coaxi No.1,Jokari Kabelstripper Secura Coaxi No. 1,15.9
30700,,Fibre Strip DC,Jokari Kabelstripper Fibre Strip DC,28.20000000000001
30800,,Fibre Strip LC,Jokari Kabelstripper Fibre Strip LC,56.45
30810,,LC-PUR,Jokari Kabelstripper LC-PUR,56.45
30900,,Allrounder,Jokari Kabelstripper Allrounder,26.8
Micro Wire Stripper,,,,
40024,,PWS-Plus 001,Jokari Micro-precisie Draadstripper PWS-Plus 001,35.45000000000001
40025,,PWS-Plus 002,Jokari Micro-precisie Draadstripper PWS-Plus 002,35.45000000000001
40026,,PWS-Plus 003 ,Jokari Draadstripper PWS-Plus 003,35.45000000000001
40027,,ESD-Plus 001,Jokari Micro Draadstripper ESD-Plus 001,45.5
40028,,ESD-Plus 002,Jokari Micro Draadstripper ESD-Plus 002,45.5
40029,,ESD-Plus 003,Jokari Micro Draadstripper ESD-Plus 003,45.5
40015,,SWS-Plus 012,Jokari Micro Draadstripper SWS-Plus 012,27.1
40035,,SWS-Plus 016,Jokari Micro Draadstripper SWS-Plus 016,27.1
40045,,SWS-Plus 020,Jokari Micro Draadstripper SWS-Plus 020,27.1
40055,,SWS-Plus 025,Jokari Micro Draadstripper SWS-Plus 025,27.1
40065,,SWS-Plus 030,Jokari Micro Draadstripper SWS-Plus 030,27.1
40075,,SWS-Plus 040,Jokari Micro Draadstripper SWS-Plus 040,27.1
40085,,SWS-Plus 050,Jokari Micro Draadstripper SWS-Plus 050,27.1
40095,,SWS-Plus 060,Jokari Micro Draadstripper SWS-Plus 060,27.1
40105,,SWS-Plus 080,Jokari Micro Draadstripper SWS-Plus 080,27.1
Various models,,,,
50000,,BK Stripper,Jokari BK Stripper,149.5
59099,,Spare-Set BK,Jokari Onderdeel-Set BK,40.90000000000001
60000,,QUADRO Set,Jokari Stripper Quadro Set,293.5
61000,,QUADRO bulk,Jokari Stripper Quadro Bulk,260.55
Accessoires,,,,
29100,,EM-Set Secura 2K,Jokari Secura 2K Set reservemesjes,17.650000000000006
29050,,EM-Set Super 4plus,Jokari Super 4plus Set reservemesjes,10.75
29450,,EM-Set High-Strip,Jokari Set reservemesjes,27.4
29060,,EM-Set Special,Jokari Special Set reservemesjes,25.0
29070,,EM-Set AS-Interface,Jokari AS-Interface Set reservemesjes,35.75
