"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
WELDING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
MUSIC,,,,,,,,,,,
CIS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
CIS,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ART ,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
