"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
45084.0,,ENG 100-A0H4,60,2,1:50 PM,41,53,48,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MUSIC,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
NURSING,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
THEATRE,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
CIS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44871.0,7,ENG 102-A007,62,2,15,17,36,64,2.0,43696.0,43814.0
PSYCHOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
THEATRE,,,,,,,,,,,
ART ,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
THEATRE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
MUSIC,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
