"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,"Instruction 
Mode","Start 
Date","End 
Date"
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ART ,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
MUSIC,,,,,,,,,,,
CIS,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44923.0,1,BIO 150-A001,Principles of Biology I,3,0,23,30,24,2.0,43696.0,43814.0
ECONOMICS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
NURSING,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
CIS,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
45026.0,,BIO 139-A0L2,29,,7,6,26,22,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
CIS,,,,,,,,,,,
ART ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
45365.0,1,BIO 112-A0ZB,24,3,1,1,1,1,1.0,43759.0,43814.0
COMMUNICATIONS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ART ,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
NURSING,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
WELDING,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
CIS,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44568.0,,BIO 139-A0ZL,29,,1,1,1,1,1.0,43696.0,43814.0
SURGICAL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
61049.0,,15,55,,2,3,41,47,2.0,43696.0,43814.0
NURSING,,,,,,,,,,,
CIS,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ART ,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
