"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44919.0,,BIO 137-A0L4,28,,5,5,27,21,30,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ART ,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44575.0,0,ENG 105-A001,Writing: An Accelerated Course,3,0,0,0,36,67,2.0,43696.0,43814.0
PSYCHOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
44952.0,,IEC 291-A001,IECE Practicum/Coop Education,3,4,1,1,4,83,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
44377.0,10,MAT 126-A001,72,3,0,5,24,61,86,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
44658.0,0,HIS 120-A001,69,3,2,10,20,59,78,2.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44539.0,7,ENG 101-A0ZH,61,3,1,1,1,1,67,1.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
