Subtitle,"Class 
Number",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
NURSING,44736.0,18,87,,7,6,33,67,95,2.0,43696.0,43814.0
COMPUTER AIDED DRAFTING,44837.0,CAD 100-A0ZL,33,,1,1,1,1,34,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44605.0,BAS 282-A001,22,3,0,0,0,16,19,2.0,43696.0,43814.0
ART ,44475.0,ART 100-A0Z1,20,3,1,1,1,1,16,1.0,43696.0,43814.0
ECONOMICS,44637.0,ECO 201-A0Z1,49,3,1,1,1,1,51,1.0,43696.0,43814.0
HISTORY,44652.0,HIS 105-A001,66,3,2,5,24,59,81,2.0,43696.0,43814.0
HISTORY,44655.0,HIS 108-A0Z1,67,3,1,1,1,1,78,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,61045.0,ELT 120-A002,55,3,2,0.520833333,2,47,54,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,6,13,2,5,12,16,6,8,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44442.0,EET 151-A0Y1,Transformers Lab,1,6,4:30 PM,13,43,53,0.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44709.0,1,7,2,6,6,4,7,5,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44817.0,ELT 110-A003,53,5,2,24,0,46,56,2.0,43696.0,43814.0
COMMUNICATIONS,44516.0,COM 254-A002,44,3,2,10,20,35,47,2.0,43696.0,43814.0
NURSING ASSISTANT,44701.0,NAA 100-A002,84,3,0,15,11,65,93,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,4,13,2,5,10,11,6,7,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55299.0,2,11,2,3,6,10,6,7,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54060.0,BIO 141-A001,30,4,0,15,17,19,26,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45094.0,BAS 283-A0ZB,23,3,1,1,1,1,20,1.0,43696.0,43751.0
 ACCOUNTING ,45103.0,ACC 202-A0ZB,1,3,1,1,1,1,1,1.0,43759.0,43814.0
INDUSTRIAL CORE,45022.0,17,4,1,4,1,1,4,41,2.0,43696.0,43814.0
EDUCATION,44643.0,EDU 270-A001,Elementary School Literature,3,2,19,23,42,52,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44441.0,EET 150-A0Y1,Transformers,2,1,1,1,1,53,0.0,43696.0,43814.0
CIS,44614.0,CIT 105-A003,35,3,0,10,20,27,7,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44571.0,BIO 137-A0L2,28,,5,19,8,22,29,2.0,43696.0,43814.0
ENGLISH,44551.0,ENG 101-A009,61,3,2,5,24,36,70,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44607.0,BIO 135-A0Z1,27,4,1,1,1,1,23,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45106.0,BAS 284-A0ZB,Applied Management Skills,3,1,1,1,1,20,1.0,43759.0,43814.0
ART ,44809.0,ART 220-A001,Painting I,3,0,18,22,14,16,2.0,43696.0,43814.0
CIS,44621.0,CIT 105-A0Z2,35,3,1,1,1,1,Papalouca,1.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44672.0,OST 110-A0Z1,Doc. Format. & Intro  Wrd Proc,3,1,1,1,1,98,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,45022.0,17,4,1,4,1,1,4,41,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44410.0,EET 250-A0Z1,National Electrical Code,4,1,1,1,1,54,1.0,43696.0,43814.0
PHILOSOPHY,44589.0,PHI 110-A0Z1,90,3,1,1,1,1,99,1.0,43696.0,43814.0
ENGLISH,44541.0,ENG 101-A002,61,3,0,0,0,33,65,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44432.0,BIO 112-A001,24,3,0,15,17,17,22,2.0,43696.0,43814.0
CIS,44625.0,CIT 120-A001,37,3,0,5,24,28,39,2.0,43696.0,43814.0
COMMUNICATIONS,44485.0,COM 181-A005,41,3,0,10,20,34,45,2.0,43696.0,43814.0
MATHEMATICS,44393.0,MAT 100-A0ZH,75,2,1,1,1,1,89,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44603.0,BAS 212-A0Z1,Intro to Financial Management,3,1,1,1,1,1,1.0,43696.0,43814.0
HISTORY,44658.0,HIS 120-A001,69,3,2,10,20,59,78,2.0,43696.0,43814.0
NURSING,44740.0,NSG 230-A0L1,89,,7,1,1,4,97,2.0,43696.0,43814.0
COMMUNICATIONS,61183.0,10,43,3,1,1,1,1,Fancher,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44707.0,ADX 150-A001,Engine Repair,3,6,0,9,5,5,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44952.0,IEC 291-A001,IECE Practicum/Coop Education,3,4,1,1,4,83,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44631.0,11,45,3,2,5,24,40,50,2.0,43696.0,43814.0
ENGLISH,44887.0,ENG 101-A0E1,61,3,6,9,34,53,Jones,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44750.0,ACR 250-A001,Cooling and Dehumidification,3,0,0,7,2,2,2.0,43696.0,43814.0
MUSIC,45001.0,MUP 201-A001,81,0,4,1,1,38,72,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44812.0,CRJ 217-A001,Criminal Procedures,3,0,5,24,40,50,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44820.0,BIO 139-A0YL,29,,7,21,2,21,29,0.0,43696.0,43814.0
