Subtitle,"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
AUTOMOTIVE TECHNOLOGY,44930.0,,ADX 170-A002,8,8,7,2:15 PM,8,6,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44411.0,,ELT 110-A001,53,10,16,7,46,56,2.0,43696.0,43814.0
MATHEMATICS,44805.0,10,MAT 126-A0ZH,72,1,1,1,1,86,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44423.0,,EET 254-A001,Electrical Construction,10,24,38,44,55,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,13,7,12,16,6,8,2.0,43696.0,43814.0
SOCIOLOGY,44695.0,6,SOC 101-A003,102,0,15,17,71,106,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44437.0,,EET 264-A002,51,2,15,2,43,53,2.0,43696.0,43814.0
CIS,44625.0,,CIT 120-A001,37,0,5,24,28,39,2.0,43696.0,43814.0
ENGLISH,44551.0,7,ENG 101-A009,61,2,5,24,36,70,2.0,43696.0,43814.0
COMMUNICATIONS,44486.0,4,COM 181-A006,41,2,0,0,33,44,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44709.0,,1,7,7,0,10,7,5,2.0,43696.0,43814.0
WELDING,60362.0,,22,107,2,0.729166667,0.763888889,79,112,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44436.0,,EET 265-A001,52,2,22,4,45,53,2.0,43696.0,43814.0
CIS,44620.0,,CIT 105-A0Z1,35,1,1,1,1,Toms,1.0,43696.0,43814.0
ASTRONOMY,44912.0,1,AST 191-A0YE,The Solar System,3,9,25,12,18,0.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44435.0,,EET 264-A001,51,2,16,7,43,53,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44758.0,,FYE 100-A003,64,6,19,23,ATC231,53,2.0,43696.0,43814.0
HISTORY,44656.0,0,HIS 109-A001,68,0,5,24,59,81,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45359.0,,AGR 205-A001,Forage Management,4,1,1,4,11,2.0,43696.0,43814.0
THEATRE,44777.0,,TA 195-A001,Special Projects Theatre Arts,4,1,1,4,11,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44568.0,,BIO 139-A0ZL,29,1,1,1,1,30,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44666.0,,IEC 216-A0Z1,Literacy and Language in IECE,1,1,1,1,83,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44713.0,,ADX 171-A001,9,8,7,11,6,5,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44914.0,2,BIO 135-A0Y1,27,1,1,1,1,28,0.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44833.0,,OST 210-A0Z1,Adv Word Proc Application,1,1,1,1,98,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44549.0,1,BIO 113-A0Z1,25,1,1,1,1,25,1.0,43696.0,43814.0
NURSING,44741.0,,NSG 230-A0C1,89,1,1,1,4,97,2.0,43696.0,43814.0
CHEMISTRY,44431.0,,9,34,7,5,9,17,35,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,13,6,13,16,6,8,2.0,43696.0,43814.0
WELDING,44514.0,,WLD 151-A086,108,0,7,18,HCA100,12,2.0,43696.0,43814.0
PHYSICS,44872.0,1,PHY 201-A0E1,91,0,4,5:15 PM,12,18,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44860.0,,FYE 100-A0Z2,64,1,1,1,1,78,1.0,43696.0,43814.0
RADIOGRAPHY,45371.0,,DMI 128-A001,99,7,26,4,73,14,2.0,43696.0,43814.0
MATHEMATICS,55584.0,,MAT 126S-A0M1,73,0,31,32,63,89,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44410.0,,EET 250-A0Z1,National Electrical Code,1,1,1,1,54,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44931.0,,ADX 171-A002,9,8,7,3,9,6,2.0,43696.0,43814.0
ALLIED HEALTH,45018.0,,AHS 115-A0Z2,19,1,1,1,1,15,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44536.0,1,BIO 112-A004,24,2,19,23,18,24,2.0,43696.0,43814.0
WELDING,44493.0,,WLD 220-A001,Welding Certification,2,35,31,79,113,2.0,43696.0,43814.0
CHEMISTRY,45011.0,1,CHE 170-A0Z1,34,1,1,1,1,Mahajan,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44440.0,,EET 287-A0Y1,Program Logic Control II Lab,11,24,23,43,53,0.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44417.0,,ELT 120-A001,55,2,16,7,47,54,2.0,43696.0,43814.0
HISTORY,44659.0,0,HIS 240-A0Z1,History of Kentucky,1,1,1,1,78,1.0,43696.0,43814.0
ART ,44476.0,0,ART 105-A001,Ancient Through Mediev Art His,0,0,0,13,16,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44917.0,,BIO 135-A0L1,27,6,14,5,21,27,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44414.0,,ELT 110-A0L2,53,10,3,41,46,56,2.0,43696.0,43814.0
KINESIOLOGY AND HEALTH PROMOTION,45111.0,,KHP 136-A0ZB,Advanced Walking for Fitness,1,1,1,1,76,1.0,43759.0,43814.0
ENGLISH,44523.0,7,ENG 101-A0H1,61,0,16,19,53,64,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44868.0,,ELT 110-A005,53,10,15,2,47,58,2.0,43696.0,43814.0
ENGLISH,44564.0,7,ENG 102-A002,62,0,19,23,38,71,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44752.0,,ACR 170-A001,Heat Load/Duct Design,3,2,3,2,2,2.0,43696.0,43814.0
WELDING,44504.0,,WLD 140-A001,Gas Metal Arc Welding,2,10:20 AM,4,58,110,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59919.0,,ELT 260-A001,Robotic & Industrial Automation,2,29,2,48,59,2.0,43696.0,43814.0
MATHEMATICS,44397.0,10,MAT 150-A004,76,2,5,24,23,Lasley,2.0,43696.0,43814.0
ART ,44809.0,,ART 220-A001,Painting I,0,18,22,14,16,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44563.0,,BIO 137-A0ZL,28,1,1,1,1,30,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44664.0,,IEC 130-A0Z1,Early Childhood Development,1,1,1,1,83,1.0,43696.0,43814.0
MATHEMATICS,44381.0,10,MAT 126-A0Z1,72,1,1,1,1,89,1.0,43696.0,43814.0
MATHEMATICS,45430.0,,MAT 141S-A0M1,Coreq Remediation for Math,2,33,0.465277778,63,89,2.0,43696.0,43814.0
POLITICAL SCIENCE,44675.0,6,POL 101-A0Z1,92,1,1,1,1,100,1.0,43696.0,43814.0
MATHEMATICS,45428.0,10,MAT 141-A0M1,74,2,5,24,63,89,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44521.0,,AGR 125-A001,16,2,15,17,11,10,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,,4,13,9,10,11,6,7,2.0,43696.0,43814.0
WELDING,44495.0,,WLD 133-A001,Gas Tungsten Arc Wld GrooveLab,0,15,11,81,113,2.0,43696.0,43814.0
ENGLISH,44574.0,7,ENG 102-A0Z2,62,1,1,1,1,70,1.0,43696.0,43814.0
RADIOGRAPHY,45369.0,,DMI 222-A001,Image Analysis,6,26,4,73,104,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,61045.0,,ELT 120-A002,55,2,0.520833333,2,47,54,2.0,43696.0,43814.0
RADIOGRAPHY,44973.0,,DMI 108-A001,98,5,26,4,73,14,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44413.0,,ELT 110-A002,53,10,15,2,46,56,2.0,43696.0,43814.0
CHEMISTRY,44743.0,2,CHE 175-A001,Gen College Chemistry Lab I,6,5,33,26,35,2.0,43696.0,43814.0
ENGLISH,45048.0,7,ENG 101-A014,61,2,19,23,55,68,2.0,43696.0,43814.0
MATHEMATICS,45061.0,10,MAT 126-A002,72,2,0,0,62,87,2.0,43696.0,43814.0
THEATRE,44598.0,0,THA 101-A001,Intro to Theatre,2,15,17,76,109,2.0,43696.0,43814.0
MATHEMATICS,44399.0,10,MAT 150-A0Z1,76,1,1,1,1,86,1.0,43696.0,43814.0
WELDING,60364.0,,23,Shielded Metal Arc Weld Fillet Lab,2,0.770833333,0.895833333,80,112,2.0,43696.0,43814.0
MUSIC,44581.0,0,MUS 104-A0Z1,Introduction to Jazz History,1,1,1,1,72,1.0,43696.0,43814.0
ENGLISH,44547.0,7,ENG 101-A008,61,2,5,24,13,37,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44945.0,2,BIO 137-A0E1,28,2,17,6:15 PM,23,31,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,,13,47,3,6,10,9,6,2.0,43696.0,43814.0
STATISTICS,44405.0,10,STA 220-A0E1,104,6,9,34,62,107,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44457.0,,CMM 114-A0L1,38,10,9:10 AM,27,31,41,2.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45098.0,,SUR 101-A0B1,Surgical Technology Fund Lab,13,34,10,75,108,2.0,43696.0,43751.0
COMMUNICATIONS,44483.0,4,COM 181-A003,41,0,19,23,34,45,2.0,43696.0,43814.0
COMMUNICATIONS,44508.0,4,COM 252-A002,43,0,15,17,37,47,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44602.0,,BAS 160-A001,21,2,15,17,16,19,2.0,43696.0,43814.0
MUSIC,44580.0,0,MUS 100-A0Z1,82,1,1,1,1,92,1.0,43696.0,43814.0
NURSING ASSISTANT,44701.0,,NAA 100-A002,84,0,15,11,65,93,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44425.0,,EET 274-A001,Electrical Motor Controls,10,27,39,44,55,2.0,43696.0,43814.0
MATHEMATICS,57276.0,10,MAT 150-A0H1,76,0,33,11:45 AM,23,88,2.0,43696.0,43814.0
