Hill Farms,"2 -
< 10","50 -
< 100",All Sizes,>= 100,"10 -
< 20","20 -
< 30","30 -
< 50"
25,10,23,209,2,48,41,60
2.3,3.0,1.0,22.7,0.1,7.8,5.3,3.3
49.1,52.8,52.7,52.8,0.0,56.1,51.6,49.5
59.6,50.0,78.3,64.5,0.0,58.3,73.2,76.7
7.0,10.0,0.0,5.0,0.0,6.3,2.4,1.7
26.5,40.0,21.7,29.1,0.0,33.3,24.4,21.7
3.56,3.3,3.83,3.45,0.0,3.31,3.32,3.9
1.44,1.2,1.48,1.34,0.0,1.33,1.17,1.6
44.8,50.0,56.5,51.8,0.0,50.0,48.8,65.0
0.65,0.8,0.96,0.67,0.0,0.48,0.71,0.85
48.6,50.0,69.6,48.1,0.0,39.6,51.2,53.3
81.5,80.0,91.3,78.2,0.0,72.9,75.6,86.7
75.8,50.0,56.5,58.9,0.0,52.1,63.4,65.0
64.6,50.0,26.1,50.1,0.0,47.9,53.7,46.7
24.4,10.0,47.8,23.4,0.0,14.6,29.3,38.3
0.15,0.4,0.09,0.25,0.0,0.33,0.22,0.07
14.7,30.0,4.3,19.6,0.0,27.1,17.1,5.0
0.25,0.3,0.04,0.19,0.0,0.25,0.12,0.05
25.5,30.0,4.3,17.4,0.0,20.8,12.2,5.0
