JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
9654,7521,8541,8541,8541,8541,8541,8541,7521
196.5,220.0,205.75,205.75,315.25,205.75,205.75,205.75,205.75
450,450,450,450,450,450,450,450,450
3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3
750,750,750,750,750,750,750,750,750
125,125,125,125,125,125,125,125,125
0.0,1015.0,210.0,195.0,374.99,348.92,831.83,450.0,613.98
549.53,654.28,458.61,458.61,404.2,612.26,635.09,547.9,616.85
258.36,314.9,244.77,305.61,366.07,283.21,279.64,301.9,311.99
65.23,58.94,55.82,55.82,71.43,60.48,59.72,69.23,56.84
55,45,35,35,15,16,34,26,22
