Index,k-features,accuracy,precision,recall
FS_1_NB,1.0,0.5486111111111112,0.5552959173648829,0.6026079410412336
FS_1_LR,1.0,0.6111111111111112,0.6067965492648671,0.6084558942576078
FS_1_DT,1.0,0.6458333333333334,0.6672619047619048,0.6254881389520314
FS_1_RF,1.0,0.5555555555555556,0.5586829891287418,0.5687668784364011
FS_1_AB,1.0,0.6180555555555556,0.6162977301303686,0.5998232014143886
FS_3_NB,3.0,0.7569444444444444,0.7689393939393939,0.7744639376218324
FS_3_LR,3.0,0.75,0.7568719986752773,0.749818991924255
FS_3_DT,3.0,0.7708333333333334,0.8079763546173474,0.7558897243107771
FS_3_RF,3.0,0.7152777777777778,0.7280810844422335,0.7085769980506823
FS_3_AB,3.0,0.7013888888888888,0.7204199435370034,0.7084099136730716
FS_5_NB,5.0,0.6736111111111112,0.6931818181818182,0.7160256410256409
FS_5_LR,5.0,0.7777777777777778,0.7814072783584978,0.7856837606837607
FS_5_DT,5.0,0.7083333333333334,0.7196797698345686,0.7316239316239316
FS_5_RF,5.0,0.7569444444444444,0.7570058374157703,0.7700854700854701
FS_5_AB,5.0,0.7361111111111112,0.7547722281660003,0.7786324786324786
FS_7_NB,7.0,0.7708333333333334,0.7814398856218373,0.7968050625096467
FS_7_LR,7.0,0.7638888888888888,0.7776945459872291,0.7682384112774606
FS_7_DT,7.0,0.6041666666666666,0.6243756243756243,0.6048001234758451
FS_7_RF,7.0,0.7777777777777778,0.7925176307529248,0.7801872716983073
FS_7_AB,7.0,0.6944444444444444,0.7142429916263587,0.7086870401810978
FS_9_NB,9.0,0.6875,0.6955403556771546,0.7186602870813396
FS_9_LR,9.0,0.7083333333333334,0.7227704678362573,0.6941919191919191
FS_9_DT,9.0,0.7291666666666666,0.746457108397407,0.7334263689526846
FS_9_RF,9.0,0.7291666666666666,0.736331513464902,0.7237905369484317
FS_9_AB,9.0,0.6875,0.6964689964689965,0.6906432748538012
FS_11_NB,11.0,0.75,0.7594293603313392,0.7718223979123874
FS_11_LR,11.0,0.7708333333333334,0.7795664284036378,0.7670748879329277
FS_11_DT,11.0,0.7569444444444444,0.7692926568688764,0.7626471082173908
FS_11_RF,11.0,0.7916666666666666,0.7922002510985561,0.7981081011251921
FS_11_AB,11.0,0.7152777777777778,0.7396584896584897,0.7146811094317198
FS_12_NB,12.0,0.7708333333333334,0.7795347868877281,0.7835637480798772
FS_12_LR,12.0,0.7847222222222222,0.8051007801193125,0.779352278545827
FS_12_DT,12.0,0.6805555555555556,0.7063840155945419,0.6727086533538147
FS_12_RF,12.0,0.7916666666666666,0.8145281504414631,0.7847286226318483
FS_12_AB,12.0,0.5902777777777778,0.6117810611752166,0.6024193548387097
