accuracy,precision,k-features,Index,recall
0.7152777777777778,0.7280810844422335,3.0,FS_3_RF,0.7085769980506823
0.6180555555555556,0.6162977301303686,1.0,FS_1_AB,0.5998232014143886
0.6111111111111112,0.6067965492648671,1.0,FS_1_LR,0.6084558942576078
0.7708333333333334,0.7814398856218373,7.0,FS_7_NB,0.7968050625096467
0.7569444444444444,0.7570058374157703,5.0,FS_5_RF,0.7700854700854701
0.7013888888888888,0.7204199435370034,3.0,FS_3_AB,0.7084099136730716
0.7638888888888888,0.7776945459872291,7.0,FS_7_LR,0.7682384112774606
0.6944444444444444,0.7142429916263587,7.0,FS_7_AB,0.7086870401810978
0.7708333333333334,0.7795664284036378,11.0,FS_11_LR,0.7670748879329277
0.7708333333333334,0.8079763546173474,3.0,FS_3_DT,0.7558897243107771
0.7916666666666666,0.8145281504414631,12.0,FS_12_RF,0.7847286226318483
0.5486111111111112,0.5552959173648829,1.0,FS_1_NB,0.6026079410412336
0.6805555555555556,0.7063840155945419,12.0,FS_12_DT,0.6727086533538147
0.7083333333333334,0.7196797698345686,5.0,FS_5_DT,0.7316239316239316
0.6875,0.6955403556771546,9.0,FS_9_NB,0.7186602870813396
0.7847222222222222,0.8051007801193125,12.0,FS_12_LR,0.779352278545827
0.7291666666666666,0.746457108397407,9.0,FS_9_DT,0.7334263689526846
0.7569444444444444,0.7689393939393939,3.0,FS_3_NB,0.7744639376218324
0.6458333333333334,0.6672619047619048,1.0,FS_1_DT,0.6254881389520314
0.7152777777777778,0.7396584896584897,11.0,FS_11_AB,0.7146811094317198
0.75,0.7594293603313392,11.0,FS_11_NB,0.7718223979123874
0.7777777777777778,0.7814072783584978,5.0,FS_5_LR,0.7856837606837607
0.6041666666666666,0.6243756243756243,7.0,FS_7_DT,0.6048001234758451
0.7916666666666666,0.7922002510985561,11.0,FS_11_RF,0.7981081011251921
0.7083333333333334,0.7227704678362573,9.0,FS_9_LR,0.6941919191919191
0.75,0.7568719986752773,3.0,FS_3_LR,0.749818991924255
0.5555555555555556,0.5586829891287418,1.0,FS_1_RF,0.5687668784364011
0.7569444444444444,0.7692926568688764,11.0,FS_11_DT,0.7626471082173908
0.6875,0.6964689964689965,9.0,FS_9_AB,0.6906432748538012
0.7708333333333334,0.7795347868877281,12.0,FS_12_NB,0.7835637480798772
0.7291666666666666,0.736331513464902,9.0,FS_9_RF,0.7237905369484317
0.5902777777777778,0.6117810611752166,12.0,FS_12_AB,0.6024193548387097
0.7777777777777778,0.7925176307529248,7.0,FS_7_RF,0.7801872716983073
0.6736111111111112,0.6931818181818182,5.0,FS_5_NB,0.7160256410256409
0.7361111111111112,0.7547722281660003,5.0,FS_5_AB,0.7786324786324786
