Index,accuracy,precision,k-features,recall
FS_11_LR,0.7708333333333334,0.7795664284036378,11.0,0.7670748879329277
FS_9_AB,0.6875,0.6964689964689965,9.0,0.6906432748538012
FS_1_AB,0.6180555555555556,0.6162977301303686,1.0,0.5998232014143886
FS_1_NB,0.5486111111111112,0.5552959173648829,1.0,0.6026079410412336
FS_7_DT,0.6041666666666666,0.6243756243756243,7.0,0.6048001234758451
FS_7_NB,0.7708333333333334,0.7814398856218373,7.0,0.7968050625096467
FS_5_DT,0.7083333333333334,0.7196797698345686,5.0,0.7316239316239316
FS_9_DT,0.7291666666666666,0.746457108397407,9.0,0.7334263689526846
FS_1_LR,0.6111111111111112,0.6067965492648671,1.0,0.6084558942576078
FS_12_RF,0.7916666666666666,0.8145281504414631,12.0,0.7847286226318483
FS_7_RF,0.7777777777777778,0.7925176307529248,7.0,0.7801872716983073
FS_7_AB,0.6944444444444444,0.7142429916263587,7.0,0.7086870401810978
FS_12_AB,0.5902777777777778,0.6117810611752166,12.0,0.6024193548387097
FS_1_RF,0.5555555555555556,0.5586829891287418,1.0,0.5687668784364011
FS_11_RF,0.7916666666666666,0.7922002510985561,11.0,0.7981081011251921
FS_12_DT,0.6805555555555556,0.7063840155945419,12.0,0.6727086533538147
FS_11_NB,0.75,0.7594293603313392,11.0,0.7718223979123874
FS_3_AB,0.7013888888888888,0.7204199435370034,3.0,0.7084099136730716
FS_7_LR,0.7638888888888888,0.7776945459872291,7.0,0.7682384112774606
