447,466,657,750,395,0,594,586,310
22,16,35,15,34,55,35,26,45
450,450,450,450,450,450,450,450,450
SEP,JUN,MAR,MAY,JUL,JAN,APR,AUG,FEB
3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3
125,125,125,125,125,125,125,125,125
205.75,205.75,205.75,315.25,205.75,196.5,205.75,205.75,220.0
613.98,348.92,210.0,374.99,831.83,0.0,195.0,450.0,1015.0
616.85,612.26,458.61,404.2,635.09,549.53,458.61,547.9,654.28
7521,8541,8541,8541,8541,9654,8541,8541,7521
750,750,750,750,750,750,750,750,750
56.84,60.48,55.82,71.43,59.72,65.23,55.82,69.23,58.94
311.99,283.21,244.77,366.07,279.64,258.36,305.61,301.9,314.9
