"Owner-occupied housing unit rate, 2011-2015","Total merchant wholesaler sales, 2012 ($1,000)","Persons under 18 years, percent, July 1, 2016,  (V2016)","Households, 2011-2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Women-owned firms, 2012","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","High school graduate or higher, percent of persons age 25 years+, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Foreign born persons, percent, 2011-2015","Total annual payroll, 2015 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","Housing units, April 1, 2010","Housing units,  July 1, 2016,  (V2016)","Total employment, percent change, 2014-2015","Nonminority-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Total employer establishments, 2015","Persons under 5 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","In civilian labor force, female, percent of population age 16 years+, 2011-2015",Fact,"Two or More Races, percent, July 1, 2016,  (V2016)","Land area in square miles, 2010","Median gross rent, 2011-2015","Population, Census, April 1, 2010","With a disability, under age 65 years, percent, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Total employment, 2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Persons  without health insurance, under age 65 years, percent","Minority-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Female persons, percent,  July 1, 2016,  (V2016)","Median value of owner-occupied housing units, 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Total nonemployer establishments, 2015","Female persons, percent, April 1, 2010","Total retail sales, 2012 ($1,000)","Median household income (in 2015 dollars), 2011-2015","Nonveteran-owned firms, 2012","Persons per household, 2011-2015","Veteran-owned firms, 2012","Total manufacturers shipments, 2012 ($1,000)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","All firms, 2012","Building permits, 2016","Population estimates base, April 1, 2010,  (V2016)","Total retail sales per capita, 2012","Population per square mile, 2010","Population estimates, July 1, 2016,  (V2016)","Persons in poverty, percent","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)"
68.70%,"57,746,565",22.60%,"1,848,325",6.00%,"137,630",1.70%,84.30%,65.80%,"$1,139 ",24.4,0.10%,"363,170",69.30%,3.50%,"67,370,353","7,576,462","2,171,853","2,230,185",1.90%,"272,651",23.70%,"98,540",6.40%,16.10%,53.00%,Alabama,1.60%,"50,645.33",$717 ,"4,779,736",11.80%,0.70%,13.80%,"1,634,391",58.00%,85.30%,"26,039,632",5.20%,10.70%,"92,219",26.80%,51.60%,"$125,500 ","$24,091 ",$345 ,"322,025",51.50%,"58,564,965","$43,623 ","316,984",2.55,"41,943","124,809,759",23.50%,"374,153","15,001","4,780,131","$12,145 ",94.4,"4,863,300",17.10%,4.20%,1.40%
63.40%,"5,216,303",25.20%,"250,969",7.30%,"22,141",4.50%,92.10%,61.20%,"$1,827 ",19.0,1.30%,"69,323",66.10%,7.40%,"15,643,303","2,221,335","306,967","310,658",0.40%,"51,147",26.40%,"20,907",7.60%,10.40%,65.00%,Alaska,7.30%,"570,640.95","$1,146 ","710,231",8.10%,15.20%,7.70%,"267,999",67.70%,80.90%,"6,375,483",16.20%,15.50%,"13,688",3.80%,47.70%,"$250,000 ","$33,413 ",$554 ,"55,521",48.00%,"10,474,275","$72,515 ","56,091",2.81,"7,953",D,28.00%,"68,032","1,503","710,249","$14,320 ",1.2,"741,894",9.90%,7.00%,6.30%
62.80%,"69,437,272",23.50%,"2,412,212",6.30%,"182,425",8.40%,86.00%,55.50%,"$1,343 ",24.8,0.30%,"505,794",83.30%,13.50%,"102,671,393","13,996,635","2,844,526","2,961,003",2.40%,"344,981",25.50%,"136,352",7.10%,16.90%,54.50%,Arizona,2.80%,"113,594.08",$913 ,"6,392,017",8.20%,5.40%,13.80%,"2,295,186",59.30%,81.30%,"37,055,881",26.90%,11.90%,"135,313",4.90%,50.30%,"$167,500 ","$25,848 ",$380 ,"451,951",50.30%,"84,716,542","$50,255 ","427,582",2.69,"46,780","51,243,473",27.50%,"499,926","35,578","6,392,301","$12,927 ",56.3,"6,931,071",16.40%,30.90%,3.40%
66.10%,"31,256,110",23.60%,"1,138,025",6.40%,"75,962",2.50%,84.80%,72.90%,"$1,019 ",21.6,0.30%,"220,953",79.40%,4.70%,"39,451,191","4,307,264","1,316,299","1,354,762",1.10%,"189,029",24.40%,"65,175",6.80%,16.30%,53.30%,Arkansas,2.00%,"52,035.48",$677 ,"2,915,918",12.30%,1.00%,14.40%,"1,003,113",58.50%,83.90%,"15,792,628",7.20%,9.30%,"35,982",15.70%,50.90%,"$111,400 ","$22,798 ",$327 ,"198,380",50.90%,"36,815,256","$41,371 ","192,988",2.53,"25,915","62,712,925",21.10%,"231,959","9,474","2,916,025","$12,483 ",56,"2,988,248",17.20%,7.30%,1.60%
54.30%,"666,652,186",23.20%,"12,717,801",6.30%,"1,320,085",5.40%,81.80%,37.70%,"$2,155 ",28.0,0.50%,"1,777,410",72.70%,27.00%,"856,954,246","90,830,372","13,680,081","14,060,525",3.50%,"1,819,107",25.00%,"908,120",6.80%,13.60%,57.20%,California,3.80%,"155,779.22","$1,255 ","37,253,956",6.80%,1.70%,11.40%,"14,325,377",63.10%,85.20%,"248,953,592",43.90%,8.30%,"1,619,857",6.50%,50.30%,"$385,500 ","$30,318 ",$500 ,"3,206,958",50.30%,"481,800,461","$61,818 ","3,176,341",2.96,"252,377","512,303,164",31.40%,"3,548,449","102,350","37,254,522","$12,665 ",239.1,"39,250,017",14.30%,38.90%,14.80%
64.30%,"77,034,971",22.80%,"2,024,468",6.10%,"194,508",10.20%,90.70%,68.60%,"$1,577 ",24.8,0.20%,"391,725",87.50%,9.80%,"117,539,555","13,617,654","2,212,898","2,339,118",3.30%,"442,365",24.40%,"161,737",6.80%,13.40%,62.60%,Colorado,3.00%,"103,641.89","$1,002 ","5,029,196",7.20%,1.60%,10.90%,"2,253,795",67.60%,80.80%,"29,488,161",16.90%,8.60%,"85,849",4.50%,49.70%,"$247,800 ","$32,217 ",$419 ,"480,847",49.90%,"67,815,200","$60,629 ","469,524",2.55,"51,722","50,447,098",38.10%,"547,352","38,974","5,029,324","$13,073 ",48.5,"5,540,545",11.00%,21.30%,3.30%
67.00%,"161,962,244",21.10%,"1,352,583",5.20%,"106,678",0.10%,89.90%,67.70%,"$2,067 ",25.4,0.10%,"199,331",80.60%,13.90%,"92,555,072","9,542,068","1,487,891","1,499,116",1.20%,"259,614",22.90%,"89,232",5.70%,16.10%,62.80%,Connecticut,2.30%,"4,842.36","$1,075 ","3,574,097",7.10%,0.50%,14.20%,"1,503,102",67.20%,87.80%,"29,573,119",21.90%,5.70%,"56,113",11.80%,51.20%,"$270,500 ","$38,803 ",$833 ,"272,809",51.30%,"51,632,467","$70,331 ","281,182",2.57,"31,056","55,160,095",37.60%,"326,693","5,504","3,574,114","$14,381 ",738.1,"3,576,452",9.80%,15.70%,4.70%
71.20%,"5,628,914",21.50%,"344,022",5.80%,"23,964",6.00%,88.40%,62.90%,"$1,537 ",25.5,0.10%,"71,213",70.10%,8.70%,"21,305,227","2,148,437","405,885","426,149",1.50%,"54,782",22.90%,"24,852",6.20%,17.50%,59.40%,Delaware,2.60%,"1,948.54","$1,018 ","897,934",8.50%,0.60%,14.40%,"397,385",63.10%,86.60%,"7,003,251",12.90%,6.60%,"14,440",22.60%,51.60%,"$231,500 ","$30,554 ",$445 ,"60,734",51.60%,"14,456,001","$60,509 ","60,318",2.62,"7,206","22,597,384",30.00%,"73,418","5,804","897,936","$15,763 ",460.8,"952,065",11.70%,9.20%,4.00%
65.30%,"252,626,608",20.10%,"7,300,494",5.50%,"807,817",9.60%,86.90%,54.90%,"$1,435 ",26.4,0.10%,"1,507,738",77.60%,19.70%,"337,074,525","49,817,925","8,989,580","9,301,642",4.50%,"1,121,749",21.30%,"532,830",5.70%,19.90%,54.70%,Florida,2.10%,"53,624.76","$1,002 ","18,801,310",8.50%,0.50%,17.30%,"7,777,990",58.80%,83.80%,"124,061,425",28.10%,15.30%,"926,112",16.80%,51.10%,"$159,000 ","$26,829 ",$463 ,"2,040,339",51.10%,"273,867,145","$47,507 ","1,846,686",2.63,"185,756","96,924,106",27.30%,"2,100,187","116,240","18,804,592","$14,177 ",350.6,"20,612,439",14.70%,24.90%,2.90%
63.30%,"143,645,290",24.40%,"3,574,362",6.40%,"376,506",6.40%,85.40%,53.40%,"$1,346 ",27.4,0.10%,"670,617",61.20%,9.80%,"174,839,354","18,976,611","4,088,801","4,218,776",4.00%,"538,893",25.70%,"224,593",7.10%,13.10%,57.90%,Georgia,2.10%,"57,513.49",$879 ,"9,687,653",8.80%,0.50%,10.70%,"3,692,490",62.30%,84.00%,"51,800,643",13.60%,14.80%,"371,588",32.00%,51.30%,"$148,100 ","$25,737 ",$392 ,"870,897",51.20%,"119,801,495","$49,620 ","800,585",2.73,"96,787","155,836,792",28.80%,"929,864","51,675","9,688,680","$12,077 ",168.4,"10,310,371",16.00%,9.40%,4.10%
