Kentucky,Vermont,Nevada,Ohio,Wisconsin,Oregon,Colorado,Alaska,Maine,Illinois,Mississippi,Indiana,California,Utah,South Dakota,Rhode Island,Iowa,Virginia,Texas,New Jersey,Hawaii,Arizona,South Carolina,Arkansas,Tennessee,Alabama,Pennsylvania,Idaho,North Dakota,West Virginia,Montana,Oklahoma,Nebraska,Connecticut,Florida,Minnesota,Maryland,Washington,North Carolina,Michigan,New York,Delaware
"4,436,974","624,594","2,940,058","11,614,373","5,778,708","4,093,465","5,540,545","741,894","1,331,479","12,801,539","2,988,726","6,633,053","39,250,017","3,051,217","865,454","1,056,426","3,134,693","8,411,808","27,862,596","8,944,469","1,428,557","6,931,071","4,961,119","2,988,248","6,651,194","4,863,300","12,784,227","1,683,140","757,952","1,831,102","1,042,520","3,923,561","1,907,116","3,576,452","20,612,439","5,519,952","6,016,447","7,288,000","10,146,788","9,928,300","19,745,289","952,065"
"4,339,344","625,741","2,700,691","11,536,727","5,687,289","3,831,072","5,029,324","710,249","1,328,364","12,831,574","2,968,103","6,484,136","37,254,522","2,763,888","814,195","1,052,940","3,046,869","8,001,041","25,146,100","8,791,953","1,360,301","6,392,301","4,625,410","2,916,025","6,346,298","4,780,131","12,702,857","1,567,650","672,591","1,853,011","989,414","3,751,615","1,826,334","3,574,114","18,804,592","5,303,924","5,773,786","6,724,545","9,535,688","9,884,129","19,378,110","897,936"
2.20%,-0.20%,8.90%,0.70%,1.60%,6.80%,10.20%,4.50%,0.20%,-0.20%,0.70%,2.30%,5.40%,10.40%,6.30%,0.30%,2.90%,5.10%,10.80%,1.70%,5.00%,8.40%,7.30%,2.50%,4.80%,1.70%,0.60%,7.40%,12.70%,-1.20%,5.40%,4.60%,4.40%,0.10%,9.60%,4.10%,4.20%,8.40%,6.40%,0.40%,1.90%,6.00%
"4,339,367","625,741","2,700,551","11,536,504","5,686,986","3,831,074","5,029,196","710,231","1,328,361","12,830,632","2,967,297","6,483,802","37,253,956","2,763,885","814,180","1,052,567","3,046,355","8,001,024","25,145,561","8,791,894","1,360,301","6,392,017","4,625,364","2,915,918","6,346,105","4,779,736","12,702,379","1,567,582","672,591","1,852,994","989,415","3,751,351","1,826,341","3,574,097","18,801,310","5,303,925","5,773,552","6,724,540","9,535,483","9,883,640","19,378,102","897,934"
6.20%,4.90%,6.30%,6.00%,5.80%,5.80%,6.10%,7.30%,4.90%,6.00%,6.30%,6.40%,6.30%,8.30%,7.10%,5.20%,6.40%,6.10%,7.20%,5.80%,6.40%,6.30%,5.90%,6.40%,6.10%,6.00%,5.60%,6.80%,7.30%,5.50%,6.00%,6.80%,7.00%,5.20%,5.50%,6.40%,6.10%,6.20%,6.00%,5.80%,5.90%,5.80%
6.50%,5.10%,6.90%,6.20%,6.30%,6.20%,6.80%,7.60%,5.20%,6.50%,7.10%,6.70%,6.80%,9.50%,7.30%,5.50%,6.60%,6.40%,7.70%,6.20%,6.40%,7.10%,6.50%,6.80%,6.40%,6.40%,5.70%,7.80%,6.60%,5.60%,6.30%,7.00%,7.20%,5.70%,5.70%,6.70%,6.30%,6.50%,6.60%,6.00%,6.00%,6.20%
22.80%,19.00%,23.00%,22.50%,22.30%,21.20%,22.80%,25.20%,19.10%,22.90%,24.10%,23.80%,23.20%,30.20%,24.60%,19.70%,23.30%,22.20%,26.20%,22.20%,21.60%,23.50%,22.10%,23.60%,22.60%,22.60%,20.90%,26.00%,23.30%,20.50%,21.80%,24.50%,24.80%,21.10%,20.10%,23.30%,22.40%,22.40%,22.70%,22.10%,21.20%,21.50%
23.60%,20.70%,24.60%,23.70%,23.60%,22.60%,24.40%,26.40%,20.70%,24.40%,25.50%,24.80%,25.00%,31.50%,24.90%,21.30%,23.90%,23.20%,27.30%,23.50%,22.30%,25.50%,23.40%,24.40%,23.60%,23.70%,22.00%,27.40%,22.30%,20.90%,22.60%,24.80%,25.10%,22.90%,21.30%,24.20%,23.40%,23.50%,23.90%,23.70%,22.30%,22.90%
15.60%,18.10%,15.00%,16.20%,16.10%,16.80%,13.40%,10.40%,19.40%,14.60%,15.10%,14.90%,13.60%,10.50%,16.00%,16.50%,16.40%,14.60%,12.00%,15.30%,17.10%,16.90%,16.70%,16.30%,15.70%,16.10%,17.40%,15.10%,14.50%,18.80%,17.70%,15.00%,15.00%,16.10%,19.90%,15.10%,14.60%,14.80%,15.50%,16.20%,15.40%,17.50%
13.30%,14.60%,12.00%,14.10%,13.70%,13.90%,10.90%,7.70%,15.90%,12.50%,12.80%,13.00%,11.40%,9.00%,14.30%,14.40%,14.90%,12.20%,10.30%,13.50%,14.30%,13.80%,13.70%,14.40%,13.40%,13.80%,15.40%,12.40%,14.50%,16.00%,14.80%,13.50%,13.50%,14.20%,17.30%,12.90%,12.30%,12.30%,12.90%,13.80%,13.50%,14.40%
50.70%,50.60%,49.90%,51.00%,50.30%,50.50%,49.70%,47.70%,51.00%,50.90%,51.50%,50.70%,50.30%,49.70%,49.60%,51.40%,50.30%,50.80%,50.40%,51.20%,49.80%,50.30%,51.50%,50.90%,51.20%,51.60%,51.00%,49.90%,48.70%,50.50%,49.70%,50.50%,50.20%,51.20%,51.10%,50.20%,51.60%,50.00%,51.40%,50.80%,51.40%,51.60%
50.80%,50.70%,49.50%,51.20%,50.40%,50.50%,49.90%,48.00%,51.10%,51.00%,51.40%,50.80%,50.30%,49.80%,50.00%,51.70%,50.50%,50.90%,50.40%,51.30%,49.90%,50.30%,51.40%,50.90%,51.30%,51.50%,51.30%,49.90%,49.50%,50.70%,49.80%,50.50%,50.40%,51.30%,51.10%,50.40%,51.60%,50.20%,51.30%,50.90%,51.60%,51.60%
88.00%,94.60%,75.10%,82.50%,87.50%,87.40%,87.50%,66.10%,94.80%,77.20%,59.30%,85.60%,72.70%,91.10%,85.20%,84.40%,91.40%,70.00%,79.40%,72.40%,25.80%,83.30%,68.50%,79.40%,78.70%,69.30%,82.40%,93.30%,87.90%,93.60%,89.20%,74.60%,88.90%,80.60%,77.60%,85.00%,59.30%,80.00%,71.00%,79.60%,69.90%,70.10%
8.30%,1.30%,9.60%,12.80%,6.60%,2.10%,4.50%,3.80%,1.50%,14.70%,37.70%,9.70%,6.50%,1.40%,2.00%,8.10%,3.70%,19.80%,12.60%,15.00%,2.20%,4.90%,27.50%,15.70%,17.10%,26.80%,11.80%,0.80%,2.90%,3.60%,0.60%,7.80%,5.00%,11.80%,16.80%,6.20%,30.70%,4.10%,22.20%,14.20%,17.70%,22.60%
0.30%,0.40%,1.60%,0.30%,1.10%,1.80%,1.60%,15.20%,0.70%,0.60%,0.60%,0.40%,1.70%,1.60%,9.00%,1.00%,0.50%,0.50%,1.00%,0.60%,0.40%,5.40%,0.50%,1.00%,0.40%,0.70%,0.40%,1.80%,5.50%,0.20%,6.60%,9.20%,1.40%,0.50%,0.50%,1.30%,0.60%,1.90%,1.60%,0.70%,1.00%,0.60%
1.50%,1.80%,8.70%,2.20%,2.80%,4.50%,3.30%,6.30%,1.20%,5.50%,1.10%,2.20%,14.80%,2.50%,1.50%,3.60%,2.50%,6.60%,4.80%,9.80%,37.70%,3.40%,1.60%,1.60%,1.80%,1.40%,3.50%,1.50%,1.50%,0.80%,0.80%,2.20%,2.50%,4.70%,2.90%,4.90%,6.60%,8.60%,2.90%,3.10%,8.90%,4.00%
0.10%,Z,0.80%,0.10%,0.10%,0.40%,0.20%,1.30%,Z,0.10%,0.10%,0.10%,0.50%,1.00%,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,10.20%,0.30%,0.10%,0.30%,0.10%,0.10%,0.10%,0.20%,0.10%,Z,0.10%,0.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.80%,0.10%,Z,0.10%,0.10%
1.90%,1.90%,4.20%,2.20%,1.90%,3.80%,3.00%,7.30%,1.70%,1.90%,1.20%,2.00%,3.80%,2.50%,2.30%,2.70%,1.80%,2.90%,1.90%,2.20%,23.70%,2.80%,1.80%,2.00%,1.90%,1.60%,1.90%,2.40%,2.10%,1.70%,2.70%,6.10%,2.10%,2.30%,2.10%,2.40%,2.80%,4.60%,2.20%,2.40%,2.50%,2.60%
3.50%,1.90%,28.50%,3.70%,6.70%,12.80%,21.30%,7.00%,1.60%,17.00%,3.10%,6.80%,38.90%,13.80%,3.70%,14.90%,5.80%,9.10%,39.10%,20.00%,10.40%,30.90%,5.50%,7.30%,5.20%,4.20%,7.00%,12.30%,3.60%,1.50%,3.60%,10.30%,10.70%,15.70%,24.90%,5.20%,9.80%,12.40%,9.20%,5.00%,19.00%,9.20%
85.00%,93.10%,49.90%,79.50%,81.70%,76.40%,68.60%,61.20%,93.50%,61.70%,56.90%,79.60%,37.70%,78.80%,82.50%,73.30%,86.20%,62.40%,42.60%,55.80%,22.10%,55.50%,63.90%,72.90%,74.20%,65.80%,77.00%,82.40%,85.00%,92.30%,86.50%,66.20%,79.60%,67.70%,54.90%,80.60%,51.50%,69.50%,63.50%,75.40%,55.80%,62.90%
"297,312","44,708","220,332","806,531","381,940","306,723","391,725","69,323","119,058","668,933","184,774","426,493","1,777,410","134,332","63,742","66,076","211,066","706,539","1,539,655","393,277","110,238","505,794","378,959","220,953","462,414","363,170","870,770","119,711","51,179","150,021","90,000","295,847","132,918","199,331","1,507,738","342,388","403,900","564,864","696,119","626,722","828,586","71,213"
3.40%,4.30%,19.20%,4.10%,4.80%,9.90%,9.80%,7.40%,3.50%,14.00%,2.30%,4.80%,27.00%,8.40%,3.00%,13.30%,4.70%,11.70%,16.60%,21.70%,17.70%,13.50%,4.80%,4.70%,4.80%,3.50%,6.30%,6.10%,3.20%,1.50%,2.10%,5.80%,6.60%,13.90%,19.70%,7.70%,14.50%,13.40%,7.70%,6.30%,22.50%,8.70%
"1,965,556","329,525","1,221,698","5,164,361","2,668,444","1,732,786","2,339,118","310,658","730,705","5,326,970","1,307,441","2,854,546","14,060,525","1,054,164","383,838","462,589","1,380,162","3,491,054","10,753,629","3,604,409","537,114","2,961,003","2,236,153","1,354,762","2,919,671","2,230,185","5,612,002","700,825","368,624","886,640","497,756","1,721,045","827,156","1,499,116","9,301,642","2,409,935","2,447,127","3,025,685","4,540,498","4,560,055","8,231,687","426,149"
"1,927,164","322,539","1,173,814","5,127,508","2,624,358","1,675,562","2,212,898","306,967","721,830","5,296,715","1,274,719","2,795,541","13,680,081","979,709","363,438","463,388","1,336,417","3,364,939","9,977,436","3,553,562","519,508","2,844,526","2,137,683","1,316,299","2,812,133","2,171,853","5,567,315","667,796","317,498","881,917","482,825","1,664,378","796,793","1,487,891","8,989,580","2,347,201","2,378,814","2,885,677","4,327,528","4,532,233","8,108,103","405,885"
67.20%,71.00%,55.10%,66.30%,67.30%,61.30%,64.30%,63.40%,71.20%,66.40%,68.40%,69.00%,54.30%,69.50%,68.10%,60.10%,71.50%,66.20%,62.20%,64.50%,56.90%,62.80%,68.60%,66.10%,66.80%,68.70%,69.20%,68.90%,64.10%,72.50%,67.20%,66.10%,66.20%,67.00%,65.30%,71.70%,66.80%,62.50%,65.10%,71.00%,53.60%,71.20%
"$123,200 ","$217,500 ","$173,700 ","$129,900 ","$165,800 ","$237,300 ","$247,800 ","$250,000 ","$173,800 ","$173,800 ","$103,100 ","$124,200 ","$385,500 ","$215,900 ","$140,500 ","$238,000 ","$129,200 ","$245,000 ","$136,000 ","$315,900 ","$515,300 ","$167,500 ","$139,900 ","$111,400 ","$142,100 ","$125,500 ","$166,000 ","$162,900 ","$153,800 ","$103,800 ","$193,500 ","$117,900 ","$133,200 ","$270,500 ","$159,000 ","$186,200 ","$286,900 ","$259,500 ","$154,900 ","$122,400 ","$283,400 ","$231,500 "
"$1,112 ","$1,535 ","$1,442 ","$1,246 ","$1,402 ","$1,557 ","$1,577 ","$1,827 ","$1,336 ","$1,636 ","$1,077 ","$1,102 ","$2,155 ","$1,428 ","$1,210 ","$1,815 ","$1,171 ","$1,711 ","$1,432 ","$2,386 ","$2,270 ","$1,343 ","$1,183 ","$1,019 ","$1,181 ","$1,139 ","$1,425 ","$1,189 ","$1,243 ",$966 ,"$1,294 ","$1,147 ","$1,270 ","$2,067 ","$1,435 ","$1,490 ","$1,951 ","$1,731 ","$1,248 ","$1,257 ","$2,022 ","$1,537 "
$339 ,$641 ,$410 ,$444 ,$532 ,$469 ,$419 ,$554 ,$477 ,$574 ,$341 ,$378 ,$500 ,$388 ,$433 ,$682 ,$434 ,$433 ,$460 ,$973 ,$505 ,$380 ,$347 ,$327 ,$359 ,$345 ,$498 ,$340 ,$423 ,$293 ,$387 ,$370 ,$471 ,$833 ,$463 ,$479 ,$582 ,$511 ,$373 ,$461 ,$709 ,$445 
$675 ,$895 ,$973 ,$730 ,$776 ,$907 ,"$1,002 ","$1,146 ",$777 ,$907 ,$717 ,$745 ,"$1,255 ",$887 ,$655 ,$925 ,$697 ,"$1,116 ",$882 ,"$1,192 ","$1,438 ",$913 ,$790 ,$677 ,$764 ,$717 ,$840 ,$743 ,$709 ,$643 ,$711 ,$727 ,$726 ,"$1,075 ","$1,002 ",$848 ,"$1,230 ","$1,014 ",$797 ,$783 ,"$1,132 ","$1,018 "
"12,714","1,771","17,952","22,816","19,274","19,586","38,974","1,503","4,010","22,603","6,886","18,713","102,350","22,662","5,686","1,226","14,317","31,132","165,853","26,793","3,369","35,578","32,165","9,474","36,157","15,001","23,303","12,165","3,981","2,544","4,781","12,092","8,078","5,504","116,240","21,449","17,044","44,077","60,550","20,408","33,711","5,804"
"1,708,499","257,167","1,016,709","4,585,084","2,299,107","1,533,430","2,024,468","250,969","553,284","4,786,388","1,096,593","2,501,937","12,717,801","906,292","330,858","410,602","1,236,409","3,062,783","9,149,196","3,189,486","450,572","2,412,212","1,815,094","1,138,025","2,504,556","1,848,325","4,958,859","589,320","299,638","740,890","409,394","1,455,321","736,613","1,352,583","7,300,494","2,124,745","2,166,389","2,668,912","3,775,581","3,841,148","7,262,279","344,022"
2.5,2.34,2.72,2.46,2.43,2.51,2.55,2.81,2.34,2.63,2.64,2.55,2.96,3.15,2.45,2.46,2.42,2.62,2.84,2.73,3.02,2.69,2.56,2.53,2.53,2.55,2.49,2.69,2.32,2.43,2.41,2.57,2.47,2.57,2.63,2.49,2.67,2.56,2.54,2.52,2.63,2.62
