16.10%,18.80%,15.00%,17.10%,16.20%,16.90%,15.10%,15.00%,17.00%,13.40%,14.60%,14.50%,14.80%,15.10%,19.40%,16.10%,16.80%,16.10%,12.00%,15.00%,16.40%,17.50%,16.70%,16.20%,17.40%,18.10%,15.00%,15.30%,15.00%
"61,035","5,777","71,864","74,208","158,946","135,313","10,592","4,077","6,111","85,849","185,043","3,190","92,807","74,824","4,339","56,113","41,456","40,507","1,070,392","64,875","14,707","14,440","83,233","122,653","131,512","2,354","14,571","237,242","26,127"
6.10%,5.50%,6.30%,6.40%,5.80%,6.30%,6.80%,6.50%,4.80%,6.10%,6.10%,7.30%,6.20%,6.30%,4.90%,5.20%,5.80%,5.80%,7.20%,6.80%,6.40%,5.80%,5.90%,6.00%,5.60%,4.90%,7.00%,5.80%,6.70%
2.48,2.43,2.72,3.02,2.52,2.69,2.69,2.49,2.47,2.55,2.62,2.32,2.56,2.64,2.34,2.57,2.51,2.43,2.84,2.57,2.42,2.62,2.56,2.46,2.49,2.34,2.47,2.73,2.53
"$48,173 ","$41,751 ","$51,847 ","$69,515 ","$49,576 ","$50,255 ","$47,583 ","$58,840 ","$66,779 ","$60,629 ","$65,015 ","$57,181 ","$61,062 ","$39,665 ","$49,331 ","$70,331 ","$51,243 ","$53,357 ","$53,207 ","$46,879 ","$53,183 ","$60,509 ","$45,483 ","$49,429 ","$53,599 ","$55,176 ","$52,997 ","$72,093 ","$52,205 "
"415,972","104,785","144,944","38,510","657,237","344,981","130,973","55,397","121,297","442,365","450,109","62,271","426,697","155,094","131,322","259,614","285,028","379,934","1,224,845","249,027","236,561","54,782","276,269","759,569","818,858","70,491","144,122","533,808","204,562"
22.80%,20.50%,23.00%,21.60%,22.10%,23.50%,26.00%,23.70%,19.50%,22.80%,22.20%,23.30%,22.40%,24.10%,19.10%,21.10%,21.20%,22.30%,26.20%,24.50%,23.30%,21.50%,22.10%,22.50%,20.90%,19.00%,24.80%,22.20%,24.60%
51.00%,50.70%,49.50%,49.90%,50.90%,50.30%,49.90%,49.00%,50.70%,49.90%,50.90%,49.50%,50.20%,51.40%,51.10%,51.30%,50.50%,50.40%,50.40%,50.50%,50.50%,51.60%,51.40%,51.20%,51.30%,50.70%,50.40%,51.30%,50.40%
14.00%,17.90%,13.80%,9.30%,15.00%,16.40%,14.40%,11.30%,7.30%,11.00%,11.00%,10.70%,11.30%,20.80%,12.50%,9.80%,13.30%,11.80%,15.60%,16.30%,11.80%,11.70%,15.30%,14.60%,12.90%,11.90%,11.40%,10.40%,12.10%
"257,948","63,112","114,057","60,409","446,128","245,243","70,438","30,039","76,716","284,554","353,012","37,016","262,650","125,079","79,243","187,845","165,691","236,252","1,251,696","174,395","135,382","38,328","202,446","510,078","579,400","41,270","83,696","464,592","125,169"
11.80%,3.60%,9.60%,2.20%,14.20%,4.90%,0.80%,1.30%,1.50%,4.50%,19.80%,2.90%,4.10%,37.70%,1.50%,11.80%,2.10%,6.60%,12.60%,7.80%,3.70%,22.60%,27.50%,12.80%,11.80%,1.30%,5.00%,15.00%,6.20%
6.00%,2.50%,30.00%,25.20%,9.20%,26.90%,10.60%,7.10%,7.90%,16.90%,15.40%,5.60%,18.90%,3.90%,6.60%,21.90%,15.10%,8.70%,35.00%,9.80%,7.40%,12.90%,6.90%,6.70%,10.60%,5.40%,10.80%,30.50%,11.30%
