"Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Minority-owned firms, 2012","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons per household, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Nonminority-owned firms, 2012","Persons under 18 years, percent, July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","Persons in poverty, percent","Men-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Population estimates, July 1, 2016,  (V2016)","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Population per square mile, 2010","Population, Census, April 1, 2010","Total employment, 2015","With a disability, under age 65 years, percent, 2011-2015","Owner-occupied housing unit rate, 2011-2015","Persons  without health insurance, under age 65 years, percent","Median gross rent, 2011-2015","Total merchant wholesaler sales, 2012 ($1,000)","All firms, 2012","Female persons, percent,  July 1, 2016,  (V2016)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Median selected monthly owner costs -with a mortgage, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Asian alone, percent, July 1, 2016,  (V2016)","Building permits, 2016","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Total employer establishments, 2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Persons under 5 years, percent, April 1, 2010","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Women-owned firms, 2012","Nonveteran-owned firms, 2012",Fact,"Hispanic or Latino, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Two or More Races, percent, July 1, 2016,  (V2016)","Total nonemployer establishments, 2015","Households, 2011-2015","Foreign born persons, percent, 2011-2015","Veteran-owned firms, 2012","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons 65 years and over, percent, April 1, 2010","Total annual payroll, 2015 ($1,000)","Housing units,  July 1, 2016,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Housing units, April 1, 2010","Total accommodation and food services sales, 2012 ($1,000)","Population estimates base, April 1, 2010,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Land area in square miles, 2010","Total employment, percent change, 2014-2015"
16.10%,"61,035",6.10%,2.48,"$48,173 ","415,972",22.80%,51.00%,14.00%,"257,948",11.80%,6.00%,23.2,"6,093,000",63.20%,23.80%,87.1,"5,988,927","2,442,316",10.40%,67.20%,10.50%,$746 ,"91,916,351","491,606",50.90%,"40,089,316","90,546,581","$1,210 ",0.60%,"111,535,362",2.00%,"18,997",79.70%,"$15,036 ","158,191",$402 ,83.90%,6.50%,59.30%,"162,616","415,542",Missouri,4.10%,0.10%,88.40%,2.20%,"402,091","2,364,688",3.90%,"49,217","$26,259 ",14.00%,"109,135,528","2,760,084",1.70%,83.20%,"451,342","$138,400 ","2,712,729","12,430,310","5,988,928",27.10%,"68,741.52",1.60%
18.80%,"5,777",5.50%,2.43,"$41,751 ","104,785",20.50%,50.70%,17.90%,"63,112",3.60%,2.50%,25.6,"1,831,102",53.90%,20.90%,77.1,"1,852,994","565,435",14.40%,72.50%,6.50%,$643 ,"14,295,437","114,435",50.50%,"12,259,395","22,637,923",$966 ,0.20%,"24,553,072",0.80%,"2,544",92.30%,"$12,201 ","36,993",$293 ,88.20%,5.60%,49.20%,"39,065","94,960",West Virginia,1.50%,Z,85.00%,1.70%,"88,136","740,890",1.50%,"12,912","$23,450 ",16.00%,"22,159,084","886,640",-1.20%,93.60%,"150,021","$103,800 ","881,917","4,036,333","1,853,011",19.20%,"24,038.21",-1.70%
15.00%,"71,864",6.30%,2.72,"$51,847 ","144,944",23.00%,49.50%,13.80%,"114,057",9.60%,30.00%,23.9,"2,940,058",64.00%,24.60%,24.6,"2,700,551","1,129,965",9.00%,55.10%,13.10%,$973 ,"19,841,701","227,156",49.90%,"13,928,514","38,234,170","$1,442 ",1.60%,"14,719,141",8.70%,"17,952",49.90%,"$13,858 ","63,383",$410 ,78.80%,6.90%,59.30%,"82,508","191,293",Nevada,28.50%,0.80%,85.10%,4.20%,"205,980","1,016,709",19.20%,"23,049","$26,541 ",12.00%,"46,595,673","1,221,698",8.90%,75.10%,"220,332","$173,700 ","1,173,814","27,481,505","2,700,691",23.00%,"109,781.18",3.70%
17.10%,"74,208",6.40%,3.02,"$69,515 ","38,510",21.60%,49.90%,9.30%,"60,409",2.20%,25.20%,26.8,"1,428,557",61.50%,22.30%,211.8,"1,360,301","523,677",6.50%,56.90%,4.20%,"$1,438 ","9,607,982","118,454",49.80%,"8,136,947","18,901,745","$2,270 ",0.40%,D,37.70%,"3,369",22.10%,"$13,576 ","31,915",$505 ,85.10%,6.40%,58.80%,"44,453","101,334",Hawaii,10.40%,10.20%,91.00%,23.70%,"104,707","450,572",17.70%,"11,148","$29,822 ",14.30%,"22,068,393","537,114",5.00%,25.80%,"110,238","$515,300 ","519,508","9,536,706","1,360,301",30.80%,"6,422.63",0.90%
16.20%,"158,946",5.80%,2.52,"$49,576 ","657,237",22.10%,50.90%,15.00%,"446,128",14.20%,9.20%,24.2,"9,928,300",61.20%,23.70%,174.8,"9,883,640","3,725,280",10.30%,71.00%,6.30%,$783 ,"115,704,903","834,087",50.80%,"63,018,786","119,302,046","$1,257 ",0.70%,"238,892,383",3.10%,"20,408",75.40%,"$12,071 ","219,627",$461 ,85.30%,6.00%,57.10%,"306,986","733,517",Michigan,5.00%,Z,89.60%,2.40%,"700,254","3,841,148",6.30%,"71,861","$26,607 ",13.80%,"174,873,962","4,560,055",0.40%,79.60%,"626,722","$122,400 ","4,532,233","17,962,356","9,884,129",26.90%,"56,538.90",3.20%
16.90%,"135,313",6.30%,2.69,"$50,255 ","344,981",23.50%,50.30%,16.40%,"245,243",4.90%,26.90%,24.8,"6,931,071",59.30%,25.50%,56.3,"6,392,017","2,295,186",8.20%,62.80%,11.90%,$913 ,"69,437,272","499,926",50.30%,"37,055,881","84,716,542","$1,343 ",5.40%,"51,243,473",3.40%,"35,578",55.50%,"$12,927 ","136,352",$380 ,81.30%,7.10%,54.50%,"182,425","427,582",Arizona,30.90%,0.30%,86.00%,2.80%,"451,951","2,412,212",13.50%,"46,780","$25,848 ",13.80%,"102,671,393","2,961,003",8.40%,83.30%,"505,794","$167,500 ","2,844,526","13,996,635","6,392,301",27.50%,"113,594.08",2.40%
15.10%,"10,592",6.80%,2.69,"$47,583 ","130,973",26.00%,49.90%,14.40%,"70,438",0.80%,10.60%,20.2,"1,683,140",62.60%,27.40%,19,"1,567,582","546,524",9.00%,68.90%,11.80%,$743 ,"17,906,012","146,642",49.90%,"7,895,614","20,444,278","$1,189 ",1.80%,"20,201,432",1.50%,"12,165",82.40%,"$12,812 ","44,757",$340 ,82.40%,7.80%,56.80%,"45,121","124,314",Idaho,12.30%,0.20%,89.50%,2.40%,"122,221","589,320",6.10%,"12,804","$23,399 ",12.40%,"21,119,617","700,825",7.40%,93.30%,"119,711","$162,900 ","667,796","2,680,225","1,567,650",25.90%,"82,643.12",3.00%
15.00%,"4,077",6.50%,2.49,"$58,840 ","55,397",23.70%,49.00%,11.30%,"30,039",1.30%,7.10%,18.3,"585,501",67.70%,24.00%,5.8,"563,626","219,881",8.50%,69.10%,13.40%,$789 ,"5,597,891","62,427",48.90%,"3,291,478","9,446,043","$1,348 ",2.70%,"10,783,794",1.00%,"1,727",84.10%,"$16,388 ","21,040",$386 ,81.90%,7.10%,62.70%,"19,344","51,353",Wyoming,10.00%,0.10%,92.30%,2.10%,"48,140","226,865",3.60%,"6,470","$29,803 ",12.40%,"10,094,010","270,600",3.90%,92.80%,"48,505","$194,800 ","261,868","1,644,844","563,767",25.70%,"97,093.14",FN
17.00%,"6,111",4.80%,2.47,"$66,779 ","121,297",19.50%,50.70%,7.30%,"76,716",1.50%,7.90%,26.9,"1,334,795",68.20%,21.80%,147,"1,316,470","576,424",8.50%,71.00%,7.10%,"$1,000 ","18,029,179","131,638",50.50%,"9,616,460","26,018,201","$1,870 ",0.30%,"18,895,624",2.70%,"3,796",90.80%,"$19,700 ","37,669",$747 ,86.50%,5.30%,63.80%,"38,525","108,817",New Hampshire,3.50%,0.10%,92.30%,1.70%,"104,437","520,251",5.70%,"16,119","$34,362 ",13.50%,"28,076,320","625,307",1.40%,93.80%,"106,827","$237,300 ","614,754","2,942,278","1,316,461",34.90%,"8,952.65",2.30%
13.40%,"85,849",6.10%,2.55,"$60,629 ","442,365",22.80%,49.90%,11.00%,"284,554",4.50%,16.90%,24.8,"5,540,545",67.60%,24.40%,48.5,"5,029,196","2,253,795",7.20%,64.30%,8.60%,"$1,002 ","77,034,971","547,352",49.70%,"29,488,161","67,815,200","$1,577 ",1.60%,"50,447,098",3.30%,"38,974",68.60%,"$13,073 ","161,737",$419 ,80.80%,6.80%,62.60%,"194,508","469,524",Colorado,21.30%,0.20%,90.70%,3.00%,"480,847","2,024,468",9.80%,"51,722","$32,217 ",10.90%,"117,539,555","2,339,118",10.20%,87.50%,"391,725","$247,800 ","2,212,898","13,617,654","5,029,324",38.10%,"103,641.89",3.30%
