Ohio,Alaska,South Carolina,Massachusetts,Louisiana,Colorado,Florida,Nevada,Nebraska,Virginia,South Dakota,Delaware,New Jersey,Wisconsin,Oklahoma,Kansas,Wyoming,Rhode Island,Iowa,North Carolina,Oregon,New Mexico,Montana,Illinois,Vermont,Idaho,New York,California,Missouri,Alabama,Indiana,Utah,Connecticut,Maryland,New Hampshire,Georgia,Washington,Arkansas,Kentucky,Pennsylvania,Michigan,Tennessee,West Virginia,Texas,Arizona,Hawaii,Mississippi,North Dakota,Maine,Minnesota
"11,614,373","741,894","4,961,119","6,811,779","4,681,666","5,540,545","20,612,439","2,940,058","1,907,116","8,411,808","865,454","952,065","8,944,469","5,778,708","3,923,561","2,907,289","585,501","1,056,426","3,134,693","10,146,788","4,093,465","2,081,015","1,042,520","12,801,539","624,594","1,683,140","19,745,289","39,250,017","6,093,000","4,863,300","6,633,053","3,051,217","3,576,452","6,016,447","1,334,795","10,310,371","7,288,000","2,988,248","4,436,974","12,784,227","9,928,300","6,651,194","1,831,102","27,862,596","6,931,071","1,428,557","2,988,726","757,952","1,331,479","5,519,952"
"11,536,727","710,249","4,625,410","6,547,813","4,533,479","5,029,324","18,804,592","2,700,691","1,826,334","8,001,041","814,195","897,936","8,791,953","5,687,289","3,751,615","2,853,129","563,767","1,052,940","3,046,869","9,535,688","3,831,072","2,059,198","989,414","12,831,574","625,741","1,567,650","19,378,110","37,254,522","5,988,928","4,780,131","6,484,136","2,763,888","3,574,114","5,773,786","1,316,461","9,688,680","6,724,545","2,916,025","4,339,344","12,702,857","9,884,129","6,346,298","1,853,011","25,146,100","6,392,301","1,360,301","2,968,103","672,591","1,328,364","5,303,924"
0.70%,4.50%,7.30%,4.00%,3.30%,10.20%,9.60%,8.90%,4.40%,5.10%,6.30%,6.00%,1.70%,1.60%,4.60%,1.90%,3.90%,0.30%,2.90%,6.40%,6.80%,1.10%,5.40%,-0.20%,-0.20%,7.40%,1.90%,5.40%,1.70%,1.70%,2.30%,10.40%,0.10%,4.20%,1.40%,6.40%,8.40%,2.50%,2.20%,0.60%,0.40%,4.80%,-1.20%,10.80%,8.40%,5.00%,0.70%,12.70%,0.20%,4.10%
"11,536,504","710,231","4,625,364","6,547,629","4,533,372","5,029,196","18,801,310","2,700,551","1,826,341","8,001,024","814,180","897,934","8,791,894","5,686,986","3,751,351","2,853,118","563,626","1,052,567","3,046,355","9,535,483","3,831,074","2,059,179","989,415","12,830,632","625,741","1,567,582","19,378,102","37,253,956","5,988,927","4,779,736","6,483,802","2,763,885","3,574,097","5,773,552","1,316,470","9,687,653","6,724,540","2,915,918","4,339,367","12,702,379","9,883,640","6,346,105","1,852,994","25,145,561","6,392,017","1,360,301","2,967,297","672,591","1,328,361","5,303,925"
6.00%,7.30%,5.90%,5.30%,6.60%,6.10%,5.50%,6.30%,7.00%,6.10%,7.10%,5.80%,5.80%,5.80%,6.80%,6.70%,6.50%,5.20%,6.40%,6.00%,5.80%,6.20%,6.00%,6.00%,4.90%,6.80%,5.90%,6.30%,6.10%,6.00%,6.40%,8.30%,5.20%,6.10%,4.80%,6.40%,6.20%,6.40%,6.20%,5.60%,5.80%,6.10%,5.50%,7.20%,6.30%,6.40%,6.30%,7.30%,4.90%,6.40%
6.20%,7.60%,6.50%,5.60%,6.90%,6.80%,5.70%,6.90%,7.20%,6.40%,7.30%,6.20%,6.20%,6.30%,7.00%,7.20%,7.10%,5.50%,6.60%,6.60%,6.20%,7.00%,6.30%,6.50%,5.10%,7.80%,6.00%,6.80%,6.50%,6.40%,6.70%,9.50%,5.70%,6.30%,5.30%,7.10%,6.50%,6.80%,6.50%,5.70%,6.00%,6.40%,5.60%,7.70%,7.10%,6.40%,7.10%,6.60%,5.20%,6.70%
22.50%,25.20%,22.10%,20.20%,23.80%,22.80%,20.10%,23.00%,24.80%,22.20%,24.60%,21.50%,22.20%,22.30%,24.50%,24.60%,23.70%,19.70%,23.30%,22.70%,21.20%,23.60%,21.80%,22.90%,19.00%,26.00%,21.20%,23.20%,22.80%,22.60%,23.80%,30.20%,21.10%,22.40%,19.50%,24.40%,22.40%,23.60%,22.80%,20.90%,22.10%,22.60%,20.50%,26.20%,23.50%,21.60%,24.10%,23.30%,19.10%,23.30%
23.70%,26.40%,23.40%,21.70%,24.70%,24.40%,21.30%,24.60%,25.10%,23.20%,24.90%,22.90%,23.50%,23.60%,24.80%,25.50%,24.00%,21.30%,23.90%,23.90%,22.60%,25.20%,22.60%,24.40%,20.70%,27.40%,22.30%,25.00%,23.80%,23.70%,24.80%,31.50%,22.90%,23.40%,21.80%,25.70%,23.50%,24.40%,23.60%,22.00%,23.70%,23.60%,20.90%,27.30%,25.50%,22.30%,25.50%,22.30%,20.70%,24.20%
16.20%,10.40%,16.70%,15.80%,14.40%,13.40%,19.90%,15.00%,15.00%,14.60%,16.00%,17.50%,15.30%,16.10%,15.00%,15.00%,15.00%,16.50%,16.40%,15.50%,16.80%,16.50%,17.70%,14.60%,18.10%,15.10%,15.40%,13.60%,16.10%,16.10%,14.90%,10.50%,16.10%,14.60%,17.00%,13.10%,14.80%,16.30%,15.60%,17.40%,16.20%,15.70%,18.80%,12.00%,16.90%,17.10%,15.10%,14.50%,19.40%,15.10%
14.10%,7.70%,13.70%,13.80%,12.30%,10.90%,17.30%,12.00%,13.50%,12.20%,14.30%,14.40%,13.50%,13.70%,13.50%,13.20%,12.40%,14.40%,14.90%,12.90%,13.90%,13.20%,14.80%,12.50%,14.60%,12.40%,13.50%,11.40%,14.00%,13.80%,13.00%,9.00%,14.20%,12.30%,13.50%,10.70%,12.30%,14.40%,13.30%,15.40%,13.80%,13.40%,16.00%,10.30%,13.80%,14.30%,12.80%,14.50%,15.90%,12.90%
51.20%,48.00%,51.40%,51.60%,51.00%,49.90%,51.10%,49.50%,50.40%,50.90%,50.00%,51.60%,51.30%,50.40%,50.50%,50.40%,49.00%,51.70%,50.50%,51.30%,50.50%,50.60%,49.80%,51.00%,50.70%,49.90%,51.60%,50.30%,51.00%,51.50%,50.80%,49.80%,51.30%,51.60%,50.70%,51.20%,50.20%,50.90%,50.80%,51.30%,50.90%,51.30%,50.70%,50.40%,50.30%,49.90%,51.40%,49.50%,51.10%,50.40%
82.50%,66.10%,68.50%,81.80%,63.20%,87.50%,77.60%,75.10%,88.90%,70.00%,85.20%,70.10%,72.40%,87.50%,74.60%,86.60%,92.80%,84.40%,91.40%,71.00%,87.40%,82.60%,89.20%,77.20%,94.60%,93.30%,69.90%,72.70%,83.20%,69.30%,85.60%,91.10%,80.60%,59.30%,93.80%,61.20%,80.00%,79.40%,88.00%,82.40%,79.60%,78.70%,93.60%,79.40%,83.30%,25.80%,59.30%,87.90%,94.80%,85.00%
12.80%,3.80%,27.50%,8.60%,32.60%,4.50%,16.80%,9.60%,5.00%,19.80%,2.00%,22.60%,15.00%,6.60%,7.80%,6.20%,1.30%,8.10%,3.70%,22.20%,2.10%,2.50%,0.60%,14.70%,1.30%,0.80%,17.70%,6.50%,11.80%,26.80%,9.70%,1.40%,11.80%,30.70%,1.50%,32.00%,4.10%,15.70%,8.30%,11.80%,14.20%,17.10%,3.60%,12.60%,4.90%,2.20%,37.70%,2.90%,1.50%,6.20%
0.30%,15.20%,0.50%,0.50%,0.80%,1.60%,0.50%,1.60%,1.40%,0.50%,9.00%,0.60%,0.60%,1.10%,9.20%,1.20%,2.70%,1.00%,0.50%,1.60%,1.80%,10.60%,6.60%,0.60%,0.40%,1.80%,1.00%,1.70%,0.60%,0.70%,0.40%,1.60%,0.50%,0.60%,0.30%,0.50%,1.90%,1.00%,0.30%,0.40%,0.70%,0.40%,0.20%,1.00%,5.40%,0.40%,0.60%,5.50%,0.70%,1.30%
