"Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, July 1, 2016,  (V2016)","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Nonveteran-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Owner-occupied housing unit rate, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Median gross rent, 2011-2015","Total nonemployer establishments, 2015","Two or More Races, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Veterans, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Total employment, percent change, 2014-2015","Population estimates, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Foreign born persons, percent, 2011-2015","Persons 65 years and over, percent, April 1, 2010","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent,  July 1, 2016,  (V2016)",Fact,"Housing units, April 1, 2010","Persons  without health insurance, under age 65 years, percent","Population per square mile, 2010","Median value of owner-occupied housing units, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Nonminority-owned firms, 2012","Men-owned firms, 2012","Population estimates base, April 1, 2010,  (V2016)","Land area in square miles, 2010","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Median household income (in 2015 dollars), 2011-2015","Building permits, 2016","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Minority-owned firms, 2012","Persons in poverty, percent","Veteran-owned firms, 2012","Total employment, 2015","Population, Census, April 1, 2010","Women-owned firms, 2012","Persons per household, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Total annual payroll, 2015 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","All firms, 2012","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Total employer establishments, 2015","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","With a disability, under age 65 years, percent, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Households, 2011-2015"
28.80%,57.90%,24.40%,"$25,737 ",6.40%,9.40%,"800,585",32.00%,0.10%,27.4,63.30%,13.60%,$879 ,"870,897",2.10%,7.10%,"51,800,643","670,617",0.50%,"$12,077 ",4.00%,"10,310,371",4.10%,"$1,346 ",9.80%,10.70%,6.40%,13.10%,Georgia,"4,088,801",14.80%,168.4,"$148,100 ","4,218,776","538,893","480,578","9,688,680","57,513.49",53.40%,"$49,620 ","51,675",62.30%,$392 ,"371,588",16.00%,"96,787","3,692,490","9,687,653","376,506",2.73,85.40%,25.70%,"174,839,354","155,836,792","929,864",84.00%,"224,593","143,645,290","119,801,495","18,976,611",8.80%,61.20%,51.20%,51.30%,"3,574,362"
29.50%,59.50%,21.80%,"$26,381 ",5.40%,3.60%,"93,393",0.60%,0.10%,18.1,67.20%,4.10%,$711 ,"86,969",2.70%,6.30%,"6,469,475","90,000",6.60%,"$15,544 ",3.10%,"1,042,520",0.80%,"$1,294 ",2.10%,14.80%,6.00%,17.70%,Montana,"482,825",9.80%,6.8,"$193,500 ","497,756","102,746","55,913","989,414","145,545.80",86.50%,"$47,169 ","4,781",63.60%,$387 ,"5,578",13.30%,"11,486","375,041","989,415","35,449",2.41,92.80%,22.60%,"14,227,065","11,535,236","112,419",83.60%,"37,270","12,645,824","15,623,573","2,420,455",9.10%,89.20%,49.80%,49.70%,"409,394"
29.00%,59.90%,19.10%,"$27,655 ",0.20%,1.60%,"115,839",1.50%,Z,23.6,71.20%,6.60%,$777 ,"113,012",1.70%,5.20%,"10,297,043","119,058",0.70%,"$16,192 ",1.60%,"1,331,479",1.20%,"$1,336 ",3.50%,15.90%,4.90%,19.40%,Maine,"721,830",9.90%,43.1,"$173,800 ","730,705","131,322","79,243","1,328,364","30,842.92",93.50%,"$49,331 ","4,010",63.40%,$477 ,"4,339",12.50%,"15,689","500,549","1,328,361","42,067",2.34,91.60%,20.70%,"20,413,159","16,044,543","139,570",85.90%,"40,801","12,961,262","21,521,714","2,901,347",11.90%,94.80%,51.10%,51.00%,"553,284"
22.50%,56.00%,23.80%,"$24,981 ",3.30%,5.00%,"354,460",32.60%,0.10%,25.1,65.80%,8.50%,$788 ,"358,223",1.60%,6.90%,"27,951,792","281,989",0.80%,"$13,342 ",0.40%,"4,681,666",1.80%,"$1,200 ",4.00%,12.30%,6.60%,14.40%,Louisiana,"1,964,981",11.90%,104.9,"$144,100 ","2,036,975","277,676","215,111","4,533,479","43,203.90",59.00%,"$45,047 ","14,503",60.40%,$317 ,"126,100",20.20%,"42,211","1,724,973","4,533,372","151,114",2.6,83.40%,24.70%,"76,684,760","271,191,050","414,291",86.30%,"105,575","68,012,838","61,396,364","11,697,949",11.00%,63.20%,51.00%,51.10%,"1,727,919"
30.00%,59.40%,21.50%,"$30,554 ",6.00%,9.20%,"60,318",22.60%,0.10%,25.5,71.20%,12.90%,"$1,018 ","60,734",2.60%,6.20%,"7,003,251","71,213",0.60%,"$15,763 ",1.50%,"952,065",4.00%,"$1,537 ",8.70%,14.40%,5.80%,17.50%,Delaware,"405,885",6.60%,460.8,"$231,500 ","426,149","54,782","38,328","897,936","1,948.54",62.90%,"$60,509 ","5,804",63.10%,$445 ,"14,440",11.70%,"7,206","397,385","897,934","23,964",2.62,88.40%,22.90%,"21,305,227","22,597,384","73,418",86.60%,"24,852","5,628,914","14,456,001","2,148,437",8.50%,70.10%,51.60%,51.60%,"344,022"
29.30%,65.20%,24.80%,"$27,882 ",4.40%,10.70%,"137,254",5.00%,0.10%,18.3,66.20%,10.80%,$726 ,"131,518",2.10%,7.20%,"12,869,418","132,918",1.40%,"$16,422 ",2.30%,"1,907,116",2.50%,"$1,270 ",6.60%,13.50%,7.00%,15.00%,Nebraska,"796,793",9.90%,23.8,"$133,200 ","827,156","144,122","83,696","1,826,334","76,824.17",79.60%,"$52,997 ","8,078",69.90%,$471 ,"14,571",11.40%,"16,693","870,279","1,826,341","51,936",2.47,90.70%,25.10%,"36,967,924","57,499,177","164,089",83.70%,"53,719","42,618,995","30,470,717","3,094,498",7.30%,88.90%,50.40%,50.20%,"736,613"
31.90%,61.60%,19.70%,"$31,118 ",0.30%,14.90%,"79,837",8.10%,0.20%,24.2,60.10%,21.40%,$925 ,"76,747",2.70%,5.50%,"8,223,005","66,076",1.00%,"$11,486 ",1.00%,"1,056,426",3.60%,"$1,815 ",13.30%,14.40%,5.20%,16.50%,Rhode Island,"463,388",5.10%,"1,018.10","$238,000 ","462,589","77,042","54,651","1,052,940","1,033.81",73.30%,"$56,852 ","1,226",65.50%,$682 ,"14,737",12.80%,"9,904","425,748","1,052,567","30,484",2.46,86.20%,21.30%,"19,704,826","11,262,158","94,642",86.60%,"28,387","22,310,389","12,063,865","2,481,314",8.90%,84.40%,51.70%,51.40%,"410,602"
31.00%,61.60%,24.60%,"$27,706 ",1.90%,11.60%,"203,401",6.20%,0.10%,19.1,66.70%,11.30%,$757 ,"195,777",2.90%,7.20%,"18,248,370","198,396",1.20%,"$13,263 ",1.00%,"2,907,289",3.00%,"$1,282 ",6.90%,13.20%,6.70%,15.00%,Kansas,"1,233,215",10.10%,34.9,"$132,000 ","1,259,864","204,562","125,169","2,853,129","81,758.72",76.30%,"$52,205 ","9,807",66.30%,$455 ,"26,127",12.10%,"21,610","1,189,876","2,853,118","77,194",2.53,90.20%,25.50%,"51,259,676","86,076,260","239,118",83.50%,"74,526","60,226,324","38,276,461","4,873,411",8.60%,86.60%,50.40%,50.20%,"1,113,472"
26.30%,54.90%,23.60%,"$24,012 ",1.10%,48.50%,"128,693",2.50%,0.20%,21.6,68.10%,35.70%,$777 ,"121,279",2.50%,7.00%,"11,236,630","164,157",10.60%,"$12,073 ",3.90%,"2,081,015",1.70%,"$1,227 ",9.80%,13.20%,6.20%,16.50%,New Mexico,"901,388",10.80%,17.00,"$160,300 ","917,568","83,857","71,132","2,059,198","121,298.15",38.10%,"$44,963 ","4,863",59.10%,$327 ,"60,622",19.80%,"14,096","626,284","2,059,179","59,044",2.67,84.20%,25.20%,"25,145,307","29,102,352","151,363",85.70%,"43,793","10,720,363","25,179,274","4,349,672",10.10%,82.60%,50.60%,50.50%,"763,603"
37.60%,62.80%,21.10%,"$38,803 ",0.10%,15.70%,"281,182",11.80%,0.10%,25.4,67.00%,21.90%,"$1,075 ","272,809",2.30%,5.70%,"29,573,119","199,331",0.50%,"$14,381 ",1.20%,"3,576,452",4.70%,"$2,067 ",13.90%,14.20%,5.20%,16.10%,Connecticut,"1,487,891",5.70%,738.1,"$270,500 ","1,499,116","259,614","187,845","3,574,114","4,842.36",67.70%,"$70,331 ","5,504",67.20%,$833 ,"56,113",9.80%,"31,056","1,503,102","3,574,097","106,678",2.57,89.90%,22.90%,"92,555,072","55,160,095","326,693",87.80%,"89,232","161,962,244","51,632,467","9,542,068",7.10%,80.60%,51.30%,51.20%,"1,352,583"
