12.20%,12.40%,12.30%,12.30%,13.50%,13.40%,15.90%,13.20%,12.80%,14.90%,12.40%,11.40%,14.00%,14.50%,12.90%,12.50%,14.60%,16.00%,10.90%,13.80%,13.80%,9.00%,13.30%,14.30%,13.00%,14.40%,17.30%,14.30%,13.20%,14.80%,13.50%,10.70%,13.80%,12.30%,13.70%,13.50%,14.20%,15.40%,7.70%,13.90%,14.10%,13.80%,12.00%,13.50%,10.30%,12.90%,14.40%,13.70%,13.50%,14.40%
22.20%,26.00%,22.40%,22.40%,24.80%,22.60%,19.10%,23.60%,24.10%,23.30%,23.70%,23.20%,22.80%,23.30%,23.30%,22.90%,19.00%,20.50%,22.80%,22.10%,22.60%,30.20%,22.80%,21.60%,23.80%,23.60%,20.10%,24.60%,24.60%,21.80%,22.20%,24.40%,20.20%,23.80%,22.10%,21.20%,21.10%,20.90%,25.20%,21.20%,22.50%,23.50%,23.00%,24.50%,26.20%,22.70%,19.70%,22.30%,19.50%,21.50%
"3,062,783","589,320","2,166,389","2,668,912","736,613","2,504,556","553,284","763,603","1,096,593","1,236,409","226,865","12,717,801","2,364,688","299,638","2,124,745","4,786,388","257,167","740,890","2,024,468","3,841,148","1,848,325","906,292","1,708,499","450,572","2,501,937","1,138,025","7,300,494","330,858","1,113,472","409,394","3,189,486","3,574,362","2,549,721","1,727,919","1,815,094","7,262,279","1,352,583","4,958,859","250,969","1,533,430","4,585,084","2,412,212","1,016,709","1,455,321","9,149,196","3,775,581","410,602","2,299,107","520,251","344,022"
"197,384","44,757","137,204","182,913","53,719","133,344","40,801","43,793","58,662","80,952","21,040","908,120","158,191","24,848","148,666","318,266","21,121","36,993","161,737","219,627","98,540","75,463","91,845","31,915","145,116","65,175","532,830","26,511","74,526","37,270","230,961","224,593","175,225","105,575","103,973","540,298","89,232","299,695","20,907","112,393","251,668","136,352","63,383","93,093","569,091","223,209","28,387","139,500","37,669","24,852"
6.10%,6.80%,6.10%,6.20%,7.00%,6.10%,4.90%,6.20%,6.30%,6.40%,6.50%,6.30%,6.10%,7.30%,6.40%,6.00%,4.90%,5.50%,6.10%,5.80%,6.00%,8.30%,6.20%,6.40%,6.40%,6.40%,5.50%,7.10%,6.70%,6.00%,5.80%,6.40%,5.30%,6.60%,5.90%,5.90%,5.20%,5.60%,7.30%,5.80%,6.00%,6.30%,6.30%,6.80%,7.20%,6.00%,5.20%,5.80%,4.80%,5.80%
"47,705,003","7,895,614","40,821,901","43,966,889","12,869,418","42,383,683","10,297,043","11,236,630","16,630,587","18,583,828","3,291,478","248,953,592","40,089,316","5,418,355","40,403,572","83,431,778","4,457,996","12,259,395","29,488,161","63,018,786","26,039,632","14,521,857","26,264,745","8,136,947","42,493,117","15,792,628","124,061,425","6,211,731","18,248,370","6,469,475","60,375,232","51,800,643","63,583,090","27,951,792","22,941,292","155,666,053","29,573,119","96,329,248","6,375,483","24,956,816","80,915,693","37,055,881","13,928,514","22,795,438","145,035,130","55,227,505","8,223,005","40,680,625","9,616,460","7,003,251"
7.70%,9.00%,7.10%,8.90%,7.30%,11.20%,11.90%,10.10%,11.90%,7.90%,8.50%,6.80%,10.40%,6.80%,7.10%,7.10%,10.00%,14.40%,7.20%,10.30%,11.80%,6.60%,12.90%,6.50%,9.70%,12.30%,8.50%,8.40%,8.60%,9.10%,6.60%,8.80%,7.90%,11.00%,10.30%,7.40%,7.10%,9.50%,8.10%,10.20%,9.90%,8.20%,9.00%,11.30%,8.10%,9.60%,8.90%,8.20%,8.50%,8.50%
88.30%,89.50%,89.40%,90.40%,90.70%,85.50%,91.60%,84.20%,82.30%,91.50%,92.30%,81.80%,88.40%,91.70%,92.40%,87.90%,91.80%,85.00%,90.70%,89.60%,84.30%,91.20%,84.20%,91.00%,87.80%,84.80%,86.90%,90.90%,90.20%,92.80%,88.60%,85.40%,89.80%,83.40%,85.60%,85.60%,89.90%,89.20%,92.10%,89.80%,89.10%,86.00%,85.10%,86.90%,81.90%,85.80%,86.20%,91.00%,92.30%,88.40%
70.00%,93.30%,59.30%,80.00%,88.90%,78.70%,94.80%,82.60%,59.30%,91.40%,92.80%,72.70%,83.20%,87.90%,85.00%,77.20%,94.60%,93.60%,87.50%,79.60%,69.30%,91.10%,88.00%,25.80%,85.60%,79.40%,77.60%,85.20%,86.60%,89.20%,72.40%,61.20%,81.80%,63.20%,68.50%,69.90%,80.60%,82.40%,66.10%,87.40%,82.50%,83.30%,75.10%,74.60%,79.40%,71.00%,84.40%,87.50%,93.80%,70.10%
"86,613,641","17,906,012","60,734,191","83,313,366","42,618,995","111,718,421","12,961,262","10,720,363","28,302,952","62,318,301","5,597,891","666,652,186","91,916,351","28,150,837","104,485,117","295,456,992","6,450,076","14,295,437","77,034,971","115,704,903","57,746,565","30,927,885","71,745,899","9,607,982","81,173,422","31,256,110","252,626,608","20,411,059","60,226,324","12,645,824","288,467,844","143,645,290","123,904,370","68,012,838","45,520,900","341,734,970","161,962,244","191,170,147","5,216,303","48,325,261","155,426,023","69,437,272","19,841,701","71,892,946","691,242,607","105,275,586","22,310,389","77,066,883","18,029,179","5,628,914"
