"Persons 65 years and over, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Households, 2011-2015","Total employer establishments, 2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","With a disability, under age 65 years, percent, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Total merchant wholesaler sales, 2012 ($1,000)","Veteran-owned firms, 2012","Housing units, April 1, 2010","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Asian alone, percent, July 1, 2016,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Building permits, 2016","All firms, 2012","Population estimates, July 1, 2016,  (V2016)","Women-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Nonminority-owned firms, 2012","Persons under 5 years, percent, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median gross rent, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total nonemployer establishments, 2015","Black or African American alone, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Land area in square miles, 2010","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons per household, 2011-2015","Population per square mile, 2010","Nonveteran-owned firms, 2012","Female persons, percent, April 1, 2010","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Housing units,  July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Population, Census, April 1, 2010","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total employment, percent change, 2014-2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons in poverty, percent","Total annual payroll, 2015 ($1,000)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Two or More Races, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Median household income (in 2015 dollars), 2011-2015",Fact,"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Persons  without health insurance, under age 65 years, percent","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Minority-owned firms, 2012","Female persons, percent,  July 1, 2016,  (V2016)","Total employment, 2015","Men-owned firms, 2012","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015"
12.20%,22.20%,"3,062,783","197,384",6.10%,"47,705,003",7.70%,88.30%,70.00%,"86,613,641","76,434","3,364,939",64.70%,6.60%,36.30%,0.50%,"31,132","653,193","8,411,808","236,290",23.20%,"450,109",6.40%,66.20%,"$1,116 ",$433 ,"17,795,901","576,446",19.80%,"$13,438 ","39,490.09","$34,152 ",2.62,202.6,"548,439",50.90%,15.40%,14.60%,"8,001,041","3,491,054","$1,711 ","8,001,024",60.80%,1.20%,5.10%,11.00%,"165,788,897",27.9,"$245,000 ",2.90%,0.10%,"$65,015 ",Virginia,62.40%,9.10%,10.10%,"96,389,872","110,002,385",84.40%,"185,043",50.80%,"3,198,718","353,012","706,539",11.70%
12.40%,26.00%,"589,320","44,757",6.80%,"7,895,614",9.00%,89.50%,93.30%,"17,906,012","12,804","667,796",62.60%,1.50%,25.90%,1.80%,"12,165","146,642","1,683,140","45,121",27.40%,"130,973",7.80%,68.90%,$743 ,$340 ,"2,680,225","122,221",0.80%,"$12,812 ","82,643.12","$23,399 ",2.69,19,"124,314",49.90%,10.60%,15.10%,"1,567,650","700,825","$1,189 ","1,567,582",56.80%,3.00%,7.40%,14.40%,"21,119,617",20.2,"$162,900 ",2.40%,0.20%,"$47,583 ",Idaho,82.40%,12.30%,11.80%,"20,201,432","20,444,278",82.40%,"10,592",49.90%,"546,524","70,438","119,711",6.10%
12.30%,22.40%,"2,166,389","137,204",6.10%,"40,821,901",7.10%,89.40%,59.30%,"60,734,191","50,976","2,378,814",67.90%,6.60%,37.90%,0.60%,"17,044","531,953","6,016,447","209,119",23.40%,"314,902",6.30%,66.80%,"$1,230 ",$582 ,"12,516,782","475,518",30.70%,"$12,980 ","9,707.24","$36,897 ",2.67,594.8,"462,232",51.60%,17.20%,14.60%,"5,773,786","2,447,127","$1,951 ","5,773,552",64.10%,1.00%,4.20%,9.70%,"118,496,858",32.3,"$286,900 ",2.80%,0.10%,"$74,551 ",Maryland,51.50%,9.80%,7.00%,"39,532,989","76,379,707",86.60%,"203,394",51.60%,"2,239,817","276,630","403,900",14.50%
12.30%,22.40%,"2,668,912","182,913",6.20%,"43,966,889",8.90%,90.40%,80.00%,"83,313,366","49,331","2,885,677",63.50%,8.60%,32.90%,1.90%,"44,077","541,522","7,288,000","187,677",23.50%,"426,697",6.50%,62.50%,"$1,014 ",$511 ,"14,297,278","444,135",4.10%,"$17,243 ","66,455.52","$31,762 ",2.56,101.2,"461,401",50.20%,18.90%,14.80%,"6,724,545","3,025,685","$1,731 ","6,724,540",58.50%,2.90%,8.40%,11.30%,"149,258,789",26.3,"$259,500 ",4.60%,0.80%,"$61,062 ",Washington,69.50%,12.40%,6.90%,"131,530,601","118,924,049",82.50%,"92,807",50.00%,"2,602,408","262,650","564,864",13.40%
13.50%,24.80%,"736,613","53,719",7.00%,"12,869,418",7.30%,90.70%,88.90%,"42,618,995","16,693","796,793",69.90%,2.50%,29.30%,1.40%,"8,078","164,089","1,907,116","51,936",25.10%,"144,122",7.20%,66.20%,$726 ,$471 ,"3,094,498","131,518",5.00%,"$16,422 ","76,824.17","$27,882 ",2.47,23.8,"137,254",50.40%,10.80%,15.00%,"1,826,334","827,156","$1,270 ","1,826,341",65.20%,2.30%,4.40%,11.40%,"36,967,924",18.3,"$133,200 ",2.10%,0.10%,"$52,997 ",Nebraska,79.60%,10.70%,9.90%,"57,499,177","30,470,717",83.70%,"14,571",50.20%,"870,279","83,696","132,918",6.60%
13.40%,22.60%,"2,504,556","133,344",6.10%,"42,383,683",11.20%,85.50%,78.70%,"111,718,421","59,379","2,812,133",61.00%,1.80%,24.90%,0.40%,"36,157","550,453","6,651,194","195,694",23.60%,"434,025",6.40%,66.80%,$764 ,$359 ,"12,499,013","495,703",17.10%,"$14,194 ","41,234.90","$25,227 ",2.53,153.90,"469,392",51.30%,6.90%,15.70%,"6,346,298","2,919,671","$1,181 ","6,346,105",56.30%,2.20%,4.80%,15.80%,"110,481,280",24.5,"$142,100 ",1.90%,0.10%,"$45,219 ",Tennessee,74.20%,5.20%,10.60%,"139,960,482","91,641,605",84.70%,"105,234",51.20%,"2,507,205","302,249","462,414",4.80%
15.90%,19.10%,"553,284","40,801",4.90%,"10,297,043",11.90%,91.60%,94.80%,"12,961,262","15,689","721,830",63.40%,1.20%,29.00%,0.70%,"4,010","139,570","1,331,479","42,067",20.70%,"131,322",5.20%,71.20%,$777 ,$477 ,"2,901,347","113,012",1.50%,"$16,192 ","30,842.92","$27,655 ",2.34,43.1,"115,839",51.10%,6.60%,19.40%,"1,328,364","730,705","$1,336 ","1,328,361",59.90%,1.60%,0.20%,12.50%,"20,413,159",23.6,"$173,800 ",1.70%,Z,"$49,331 ",Maine,93.50%,1.60%,9.90%,"16,044,543","21,521,714",85.90%,"4,339",51.00%,"500,549","79,243","119,058",3.50%
13.20%,23.60%,"763,603","43,793",6.20%,"11,236,630",10.10%,84.20%,82.60%,"10,720,363","14,096","901,388",59.10%,1.70%,26.30%,10.60%,"4,863","151,363","2,081,015","59,044",25.20%,"83,857",7.00%,68.10%,$777 ,$327 ,"4,349,672","121,279",2.50%,"$12,073 ","121,298.15","$24,012 ",2.67,17.00,"128,693",50.60%,35.70%,16.50%,"2,059,198","917,568","$1,227 ","2,059,179",54.90%,3.90%,1.10%,19.80%,"25,145,307",21.6,"$160,300 ",2.50%,0.20%,"$44,963 ",New Mexico,38.10%,48.50%,10.80%,"29,102,352","25,179,274",85.70%,"60,622",50.50%,"626,284","71,132","164,157",9.80%
12.80%,24.10%,"1,096,593","58,662",6.30%,"16,630,587",11.90%,82.30%,59.30%,"28,302,952","26,789","1,274,719",57.50%,1.10%,20.70%,0.60%,"6,886","235,454","2,988,726","89,159",25.50%,"155,094",7.10%,68.40%,$717 ,$341 ,"6,999,175","211,955",37.70%,"$12,413 ","46,923.27","$21,057 ",2.64,63.2,"198,566",51.40%,3.90%,15.10%,"2,968,103","1,307,441","$1,077 ","2,967,297",53.70%,1.60%,0.70%,20.80%,"33,948,151",24.1,"$103,100 ",1.20%,0.10%,"$39,665 ",Mississippi,56.90%,3.10%,13.90%,"66,441,608","37,053,190",86.10%,"74,824",51.50%,"926,391","125,079","184,774",2.30%
14.90%,23.30%,"1,236,409","80,952",6.40%,"18,583,828",7.90%,91.50%,91.40%,"62,318,301","25,889","1,336,417",67.60%,2.50%,26.70%,0.50%,"14,317","259,121","3,134,693","82,345",23.90%,"236,561",6.60%,71.50%,$697 ,$434 ,"5,468,687","207,167",3.70%,"$14,607 ","55,857.13","$27,950 ",2.42,54.5,"217,779",50.50%,7.40%,16.40%,"3,046,869","1,380,162","$1,171 ","3,046,355",63.30%,1.70%,2.90%,11.80%,"55,079,743",18.9,"$129,200 ",1.80%,0.10%,"$53,183 ",Iowa,86.20%,5.80%,5.00%,"116,668,830","44,905,624",84.80%,"14,707",50.30%,"1,338,418","135,382","211,066",4.70%
