8.70%,3.10%,1.80%,1.80%,1.60%,0.80%,3.50%,2.20%,0.80%,1.50%,3.40%,5.50%,2.80%,6.60%,2.20%,1.80%,1.40%,3.60%,2.50%,4.80%,6.30%,2.20%,4.70%,3.30%,1.70%,2.50%,37.70%,2.90%,2.00%,1.50%,6.60%,6.70%,8.60%,3.00%,1.10%
49.90%,50.80%,51.20%,50.60%,51.50%,49.70%,51.00%,50.50%,50.50%,49.90%,50.30%,50.90%,50.30%,50.80%,51.00%,51.10%,51.60%,51.40%,50.20%,50.40%,47.70%,50.70%,51.20%,49.70%,50.50%,50.30%,49.80%,51.40%,50.90%,49.60%,51.60%,51.50%,50.00%,50.20%,51.50%
15.00%,16.20%,15.70%,18.10%,16.70%,17.70%,17.40%,15.00%,18.80%,15.10%,16.90%,14.60%,16.10%,14.60%,16.20%,14.40%,16.10%,16.50%,15.00%,12.00%,10.40%,14.90%,16.10%,13.40%,16.50%,16.40%,17.10%,15.50%,16.10%,16.00%,14.60%,15.80%,14.80%,15.00%,15.10%
9.00%,10.30%,11.20%,10.00%,10.30%,9.10%,9.50%,11.30%,14.40%,9.00%,8.20%,7.10%,8.20%,7.70%,9.90%,11.00%,11.80%,8.90%,7.30%,8.10%,8.10%,9.70%,7.10%,7.20%,10.10%,7.90%,6.50%,9.60%,10.40%,8.40%,7.10%,7.90%,8.90%,8.60%,11.90%
28.50%,5.00%,5.20%,1.90%,5.50%,3.60%,7.00%,10.30%,1.50%,12.30%,30.90%,17.00%,6.70%,9.10%,3.70%,5.00%,4.20%,14.90%,10.70%,39.10%,7.00%,6.80%,15.70%,21.30%,48.50%,5.80%,10.40%,9.20%,4.10%,3.70%,9.80%,11.50%,12.40%,11.60%,3.10%
"2,700,551","9,883,640","6,346,105","625,741","4,625,364","989,415","12,702,379","3,751,351","1,852,994","1,567,582","6,392,017","12,830,632","5,686,986","8,001,024","11,536,504","4,533,372","4,779,736","1,052,567","1,826,341","25,145,561","710,231","6,483,802","3,574,097","5,029,196","2,059,179","3,046,355","1,360,301","9,535,483","5,988,927","814,180","5,773,552","6,547,629","6,724,540","2,853,118","2,967,297"
"$1,442 ","$1,257 ","$1,181 ","$1,535 ","$1,183 ","$1,294 ","$1,425 ","$1,147 ",$966 ,"$1,189 ","$1,343 ","$1,636 ","$1,402 ","$1,711 ","$1,246 ","$1,200 ","$1,139 ","$1,815 ","$1,270 ","$1,432 ","$1,827 ","$1,102 ","$2,067 ","$1,577 ","$1,227 ","$1,171 ","$2,270 ","$1,248 ","$1,210 ","$1,210 ","$1,951 ","$2,063 ","$1,731 ","$1,282 ","$1,077 "
"144,944","657,237","434,025","70,491","276,269","102,746","818,858","249,027","104,785","130,973","344,981","795,129","379,934","450,109","759,569","277,676","272,651","77,042","144,122","1,224,845","51,147","405,090","259,614","442,365","83,857","236,561","38,510","603,182","415,972","74,228","314,902","499,959","426,697","204,562","155,094"
19.20%,6.30%,4.80%,4.30%,4.80%,2.10%,6.30%,5.80%,1.50%,6.10%,13.50%,14.00%,4.80%,11.70%,4.10%,4.00%,3.50%,13.30%,6.60%,16.60%,7.40%,4.80%,13.90%,9.80%,9.80%,4.70%,17.70%,7.70%,3.90%,3.00%,14.50%,15.50%,13.40%,6.90%,2.30%
49.50%,50.90%,51.30%,50.70%,51.40%,49.80%,51.30%,50.50%,50.70%,49.90%,50.30%,51.00%,50.40%,50.90%,51.20%,51.00%,51.50%,51.70%,50.40%,50.40%,48.00%,50.80%,51.30%,49.90%,50.60%,50.50%,49.90%,51.30%,51.00%,50.00%,51.60%,51.60%,50.20%,50.40%,51.40%
