"Persons in poverty, percent","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Building permits, 2016","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Land area in square miles, 2010","All firms, 2012","Population, Census, April 1, 2010","Total nonemployer establishments, 2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Nonveteran-owned firms, 2012","Two or More Races, percent, July 1, 2016,  (V2016)","Housing units, April 1, 2010","Median household income (in 2015 dollars), 2011-2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Nonminority-owned firms, 2012","Persons  without health insurance, under age 65 years, percent","Total employment, 2015","Veteran-owned firms, 2012","Black or African American alone, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Persons per household, 2011-2015","Asian alone, percent, July 1, 2016,  (V2016)","Owner-occupied housing unit rate, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Total employer establishments, 2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Women-owned firms, 2012","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Median gross rent, 2011-2015","Total retail sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Men-owned firms, 2012","Total employment, percent change, 2014-2015","Female persons, percent, April 1, 2010","Total retail sales per capita, 2012","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons under 5 years, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Total accommodation and food services sales, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Population per square mile, 2010","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Total annual payroll, 2015 ($1,000)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Persons under 18 years, percent, April 1, 2010","Median selected monthly owner costs -without a mortgage, 2011-2015","Households, 2011-2015","Population estimates, July 1, 2016,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)",Fact,"Veterans, 2011-2015","Minority-owned firms, 2012"
17.10%,3.50%,"2,230,185","4,780,131","15,001",1.70%,"50,645.33","374,153","4,779,736","322,025",24.4,"$1,139 ","316,984",1.60%,"2,171,853","$43,623 ",6.00%,"272,651",10.70%,"1,634,391","41,943",26.80%,22.60%,"124,809,759",2.55,1.40%,68.70%,65.80%,69.30%,13.80%,"98,540",84.30%,11.80%,"137,630",16.10%,$717 ,"58,564,965","26,039,632","203,604",1.90%,51.50%,"$12,145 ","$24,091 ",6.40%,51.60%,4.20%,"7,576,462","57,746,565",94.4,0.10%,"67,370,353",5.20%,58.00%,23.70%,$345 ,"1,848,325","4,863,300",23.50%,85.30%,53.00%,0.70%,Alabama,"363,170","92,219"
9.90%,7.40%,"310,658","710,249","1,503",4.50%,"570,640.95","68,032","710,231","55,521",19.0,"$1,827 ","56,091",7.30%,"306,967","$72,515 ",7.30%,"51,147",15.50%,"267,999","7,953",3.80%,25.20%,D,2.81,6.30%,63.40%,61.20%,66.10%,7.70%,"20,907",92.10%,8.10%,"22,141",10.40%,"$1,146 ","10,474,275","6,375,483","35,402",0.40%,48.00%,"$14,320 ","$33,413 ",7.60%,47.70%,7.00%,"2,221,335","5,216,303",1.2,1.30%,"15,643,303",16.20%,67.70%,26.40%,$554 ,"250,969","741,894",28.00%,80.90%,65.00%,15.20%,Alaska,"69,323","13,688"
16.40%,13.50%,"2,961,003","6,392,301","35,578",8.40%,"113,594.08","499,926","6,392,017","451,951",24.8,"$1,343 ","427,582",2.80%,"2,844,526","$50,255 ",6.30%,"344,981",11.90%,"2,295,186","46,780",4.90%,23.50%,"51,243,473",2.69,3.40%,62.80%,55.50%,83.30%,13.80%,"136,352",86.00%,8.20%,"182,425",16.90%,$913 ,"84,716,542","37,055,881","245,243",2.40%,50.30%,"$12,927 ","$25,848 ",7.10%,50.30%,30.90%,"13,996,635","69,437,272",56.3,0.30%,"102,671,393",26.90%,59.30%,25.50%,$380 ,"2,412,212","6,931,071",27.50%,81.30%,54.50%,5.40%,Arizona,"505,794","135,313"
17.20%,4.70%,"1,354,762","2,916,025","9,474",2.50%,"52,035.48","231,959","2,915,918","198,380",21.6,"$1,019 ","192,988",2.00%,"1,316,299","$41,371 ",6.40%,"189,029",9.30%,"1,003,113","25,915",15.70%,23.60%,"62,712,925",2.53,1.60%,66.10%,72.90%,79.40%,14.40%,"65,175",84.80%,12.30%,"75,962",16.30%,$677 ,"36,815,256","15,792,628","123,158",1.10%,50.90%,"$12,483 ","$22,798 ",6.80%,50.90%,7.30%,"4,307,264","31,256,110",56,0.30%,"39,451,191",7.20%,58.50%,24.40%,$327 ,"1,138,025","2,988,248",21.10%,83.90%,53.30%,1.00%,Arkansas,"220,953","35,982"
14.30%,27.00%,"14,060,525","37,254,522","102,350",5.40%,"155,779.22","3,548,449","37,253,956","3,206,958",28.0,"$2,155 ","3,176,341",3.80%,"13,680,081","$61,818 ",6.30%,"1,819,107",8.30%,"14,325,377","252,377",6.50%,23.20%,"512,303,164",2.96,14.80%,54.30%,37.70%,72.70%,11.40%,"908,120",81.80%,6.80%,"1,320,085",13.60%,"$1,255 ","481,800,461","248,953,592","1,852,580",3.50%,50.30%,"$12,665 ","$30,318 ",6.80%,50.30%,38.90%,"90,830,372","666,652,186",239.1,0.50%,"856,954,246",43.90%,63.10%,25.00%,$500 ,"12,717,801","39,250,017",31.40%,85.20%,57.20%,1.70%,California,"1,777,410","1,619,857"
11.00%,9.80%,"2,339,118","5,029,324","38,974",10.20%,"103,641.89","547,352","5,029,196","480,847",24.8,"$1,577 ","469,524",3.00%,"2,212,898","$60,629 ",6.10%,"442,365",8.60%,"2,253,795","51,722",4.50%,22.80%,"50,447,098",2.55,3.30%,64.30%,68.60%,87.50%,10.90%,"161,737",90.70%,7.20%,"194,508",13.40%,"$1,002 ","67,815,200","29,488,161","284,554",3.30%,49.90%,"$13,073 ","$32,217 ",6.80%,49.70%,21.30%,"13,617,654","77,034,971",48.5,0.20%,"117,539,555",16.90%,67.60%,24.40%,$419 ,"2,024,468","5,540,545",38.10%,80.80%,62.60%,1.60%,Colorado,"391,725","85,849"
9.80%,13.90%,"1,499,116","3,574,114","5,504",0.10%,"4,842.36","326,693","3,574,097","272,809",25.4,"$2,067 ","281,182",2.30%,"1,487,891","$70,331 ",5.20%,"259,614",5.70%,"1,503,102","31,056",11.80%,21.10%,"55,160,095",2.57,4.70%,67.00%,67.70%,80.60%,14.20%,"89,232",89.90%,7.10%,"106,678",16.10%,"$1,075 ","51,632,467","29,573,119","187,845",1.20%,51.30%,"$14,381 ","$38,803 ",5.70%,51.20%,15.70%,"9,542,068","161,962,244",738.1,0.10%,"92,555,072",21.90%,67.20%,22.90%,$833 ,"1,352,583","3,576,452",37.60%,87.80%,62.80%,0.50%,Connecticut,"199,331","56,113"
11.70%,8.70%,"426,149","897,936","5,804",6.00%,"1,948.54","73,418","897,934","60,734",25.5,"$1,537 ","60,318",2.60%,"405,885","$60,509 ",5.80%,"54,782",6.60%,"397,385","7,206",22.60%,21.50%,"22,597,384",2.62,4.00%,71.20%,62.90%,70.10%,14.40%,"24,852",88.40%,8.50%,"23,964",17.50%,"$1,018 ","14,456,001","7,003,251","38,328",1.50%,51.60%,"$15,763 ","$30,554 ",6.20%,51.60%,9.20%,"2,148,437","5,628,914",460.8,0.10%,"21,305,227",12.90%,63.10%,22.90%,$445 ,"344,022","952,065",30.00%,86.60%,59.40%,0.60%,Delaware,"71,213","14,440"
14.70%,19.70%,"9,301,642","18,804,592","116,240",9.60%,"53,624.76","2,100,187","18,801,310","2,040,339",26.4,"$1,435 ","1,846,686",2.10%,"8,989,580","$47,507 ",5.50%,"1,121,749",15.30%,"7,777,990","185,756",16.80%,20.10%,"96,924,106",2.63,2.90%,65.30%,54.90%,77.60%,17.30%,"532,830",86.90%,8.50%,"807,817",19.90%,"$1,002 ","273,867,145","124,061,425","1,084,885",4.50%,51.10%,"$14,177 ","$26,829 ",5.70%,51.10%,24.90%,"49,817,925","252,626,608",350.6,0.10%,"337,074,525",28.10%,58.80%,21.30%,$463 ,"7,300,494","20,612,439",27.30%,83.80%,54.70%,0.50%,Florida,"1,507,738","926,112"
16.00%,9.80%,"4,218,776","9,688,680","51,675",6.40%,"57,513.49","929,864","9,687,653","870,897",27.4,"$1,346 ","800,585",2.10%,"4,088,801","$49,620 ",6.40%,"538,893",14.80%,"3,692,490","96,787",32.00%,24.40%,"155,836,792",2.73,4.10%,63.30%,53.40%,61.20%,10.70%,"224,593",85.40%,8.80%,"376,506",13.10%,$879 ,"119,801,495","51,800,643","480,578",4.00%,51.20%,"$12,077 ","$25,737 ",7.10%,51.30%,9.40%,"18,976,611","143,645,290",168.4,0.10%,"174,839,354",13.60%,62.30%,25.70%,$392 ,"3,574,362","10,310,371",28.80%,84.00%,57.90%,0.50%,Georgia,"670,617","371,588"
