date,name,group,Index,quantity
2018-01-01,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,0,1
2018-01-01,BELLA PODPASKI BLUE MAX,GENERAL_ITEMS,1,2
2018-01-01,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2,2
2018-01-01,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,3,4
2018-01-01,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,4,1
2018-01-01,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,5,1
2018-01-01,EVA MYDLO W PLYNIE Z DOZ 500 MML,GENERAL_ITEMS,6,1
2018-01-01,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,GENERAL_ITEMS,7,2
2018-01-01,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,8,1
2018-01-01,PODPASKI BELLA  NOVA 10 SZT,GENERAL_ITEMS,9,1
2018-01-02,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,10,1
2018-01-02,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,11,1
2018-01-02,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,12,1
2018-01-02,PLYN DO ?AZIENKI 1 L ZÓ?TY,GENERAL_ITEMS,13,1
2018-01-02,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,14,1
2018-01-02,WATA BAWELNIANA BELLA 100G,GENERAL_ITEMS,15,2
2018-01-03,BAMBINO SZAMPON 400 ML,GENERAL_ITEMS,16,1
2018-01-03,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,17,1
2018-01-03,BELLA PODPASKI BLUE MAX,GENERAL_ITEMS,18,2
2018-01-03,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,19,5
2018-01-03,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,20,4
2018-01-03,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,21,3
2018-01-03,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,22,2
2018-01-03,BELLA PODPASKI PERFECTA GREEN,GENERAL_ITEMS,23,2
2018-01-03,EVA MYDLO W PLYNIE Z DOZ 500 MML,GENERAL_ITEMS,24,2
2018-01-03,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,GENERAL_ITEMS,25,1
