Index,unit_cogs,quantity,name,group,date
0,2.39,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-01
1,2.85,2,BELLA PODPASKI BLUE MAX,GENERAL_ITEMS,2018-01-01
2,1.76,2,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-01
3,2.14,4,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-01
4,2.66,1,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-01
5,2.85,1,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-01
6,3.71,1,EVA MYDLO W PLYNIE Z DOZ 500 MML,GENERAL_ITEMS,2018-01-01
7,5.49,2,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,GENERAL_ITEMS,2018-01-01
8,5.49,1,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,2018-01-01
9,2.05,1,PODPASKI BELLA  NOVA 10 SZT,GENERAL_ITEMS,2018-01-01
10,2.39,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-02
11,2.14,1,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-02
12,2.65,1,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-02
13,4.39,1,PLYN DO ?AZIENKI 1 L ZÓ?TY,GENERAL_ITEMS,2018-01-02
14,5.49,1,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,2018-01-02
15,2.41,2,WATA BAWELNIANA BELLA 100G,GENERAL_ITEMS,2018-01-02
16,6.29,1,BAMBINO SZAMPON 400 ML,GENERAL_ITEMS,2018-01-03
17,2.39,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-03
18,2.89,2,BELLA PODPASKI BLUE MAX,GENERAL_ITEMS,2018-01-03
19,1.76,5,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-03
20,2.07,4,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-03
21,2.65,3,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-03
22,2.89,2,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-03
23,2.89,2,BELLA PODPASKI PERFECTA GREEN,GENERAL_ITEMS,2018-01-03
24,3.71,2,EVA MYDLO W PLYNIE Z DOZ 500 MML,GENERAL_ITEMS,2018-01-03
25,10.99,1,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,GENERAL_ITEMS,2018-01-03
26,2.99,1,TAMPON BELLA A/8 REGULAR,GENERAL_ITEMS,2018-01-03
27,1.98,4,WATA 100G BELLA,GENERAL_ITEMS,2018-01-03
28,2.53,2,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-04
29,1.84,4,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-04
30,2.07,2,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-04
31,2.4,2,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-04
32,3.18,4,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-04
