Index,date,group,quantity,unit_cogs
9318,2018-01-04,DRINK_JUICE,1,0.79
7323,2018-01-05,DAIRY_CHESSE,1,0.99
3296,2018-01-09,CHEMISTRY,2,9.99
1941,2018-01-01,CHEMISTRY,2,3.71
20847,2018-01-11,SWEETS,2,1.44
7098,2018-01-04,DAIRY_CHESSE,2,2.81
14186,2018-01-04,GROATS_RICE_PASTA,1,2.81
6318,2018-01-10,COOKIES_BULK,5,4.64
8263,2018-01-10,DAIRY_CHESSE,5,2.41
20682,2018-01-10,SWEETS,1,2.43
20929,2018-01-12,SWEETS,3,4.14
9197,2018-01-04,DRINK_JUICE,3,0.55
13439,2018-01-09,GENERAL_FOOD,1,3.43
12155,2018-01-01,GENERAL_FOOD,12,1.75
7793,2018-01-08,DAIRY_CHESSE,4,2.2
19772,2018-01-06,SWEETS,3,1.98
22518,2018-01-05,ALCOHOL,1,16.7
1976,2018-01-01,CHEMISTRY,1,0.36
12442,2018-01-03,GENERAL_FOOD,32,0.89
5041,2018-01-03,CIGARETTES,6,9.55
4798,2018-01-11,CHIPS_FLAKES,1,2.32
18467,2018-01-08,SPICES,26,0.37
20899,2018-01-12,SWEETS,17,0.92
4331,2018-01-01,CHIPS_FLAKES,4,2.12
10401,2018-01-10,DRINK_JUICE,6,2.39
21711,2018-01-06,VEGETABLES,0.58,0.8620689655172409
3120,2018-01-08,CHEMISTRY,4,1.4
15990,2018-01-12,ICE_CREAMS_FROZEN,5,3.47
20838,2018-01-11,SWEETS,16,0.93
7964,2018-01-09,DAIRY_CHESSE,7,0.76
16070,2018-01-02,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,6,1.66833333333333
10211,2018-01-09,DRINK_JUICE,22,2.59
14972,2018-01-04,ICE_CREAMS_FROZEN,108,0.65
15238,2018-01-06,ICE_CREAMS_FROZEN,1,5.86
22564,2018-01-06,ALCOHOL,2,16.7
6968,2018-01-04,DAIRY_CHESSE,4,4.44
18278,2018-01-05,SPICES,1,0.52
17786,2018-01-11,GENERAL_ITEMS,7,1.44
6430,2018-01-01,DAIRY_CHESSE,3,1.14
16869,2018-01-01,GENERAL_ITEMS,1,2.65
17151,2018-01-07,POULTRY,0.36,16.7777777777778
8185,2018-01-10,DAIRY_CHESSE,12,1.57
17100,2018-01-06,POULTRY,0.43,18.5348837209302
22878,2018-01-12,ALCOHOL,2,22.31
13492,2018-01-09,GENERAL_FOOD,30,0.73
16912,2018-01-01,POULTRY,0.19,19.684210526315802
10475,2018-01-10,DRINK_JUICE,19,1.23105263157895
21064,2018-01-12,SWEETS,3,2.1
13951,2018-01-12,GENERAL_FOOD,7,1.59
12644,2018-01-04,GENERAL_FOOD,3,2.25
17534,2018-01-12,OCCASIONAL,1,4.04
10282,2018-01-09,DRINK_JUICE,27,0.55
11661,2018-01-07,GENERAL,10,1.21
3081,2018-01-08,CHEMISTRY,3,2.15
13651,2018-01-10,GENERAL_FOOD,6,2.13
3748,2018-01-11,CHEMISTRY,2,2.69
2474,2018-01-05,CHEMISTRY,1,7.78
1855,2018-01-01,CHEMISTRY,3,1.24
2699,2018-01-06,CHEMISTRY,2,0.92
15969,2018-01-12,ICE_CREAMS_FROZEN,3,4.73
10685,2018-01-12,DRINK_JUICE,6,1.63
6411,2018-01-01,DAIRY_CHESSE,6,0.94
7001,2018-01-04,DAIRY_CHESSE,6,5.44
20630,2018-01-10,SWEETS,2,0.34
9727,2018-01-06,DRINK_JUICE,7,1.4
17710,2018-01-04,GENERAL_ITEMS,22,0.42
10336,2018-01-10,DRINK_JUICE,31,3.18193548387097
18415,2018-01-07,SPICES,16,0.52
4437,2018-01-03,CHIPS_FLAKES,14,0.65
20831,2018-01-11,SWEETS,3,2.15
16010,2018-01-01,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,21,1.66
18126,2018-01-02,SPICES,4,0.63
15876,2018-01-11,ICE_CREAMS_FROZEN,1,4.92
19250,2018-01-03,SWEETS,10,1.18
19607,2018-01-05,SWEETS,5,2.13
13004,2018-01-06,GENERAL_FOOD,3,0.78
2795,2018-01-07,CHEMISTRY,8,2.89
8292,2018-01-10,DAIRY_CHESSE,3,3.43
16916,2018-01-01,POULTRY,1.42,15.633802816901401
5949,2018-01-07,COFFEE TEA,2,1.655
6445,2018-01-01,DAIRY_CHESSE,15,1.46
2733,2018-01-06,CHEMISTRY,2,2.45
13666,2018-01-10,GENERAL_FOOD,2,1.02
16431,2018-01-07,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,6,1.35
1121,2018-01-03,BREAD,43,2.5
10974,2018-01-07,POULTRY,5,1.15
13928,2018-01-12,GENERAL_FOOD,1,10.59
19304,2018-01-04,SWEETS,20,0.74
6414,2018-01-01,DAIRY_CHESSE,3,1.91
15651,2018-01-08,ICE_CREAMS_FROZEN,23,1.38
5917,2018-01-06,COFFEE TEA,1,4.23
6688,2018-01-02,DAIRY_CHESSE,4,1.69
6717,2018-01-02,DAIRY_CHESSE,2,3.3
3043,2018-01-08,CHEMISTRY,12,2.15
2142,2018-01-03,CHEMISTRY,4,2.39
21973,2018-01-09,VEGETABLES,45,0.93
2956,2018-01-07,CHEMISTRY,2,2.7
4396,2018-01-02,CHIPS_FLAKES,9,1.95222222222222
13511,2018-01-09,GENERAL_FOOD,5,0.73
7487,2018-01-06,DAIRY_CHESSE,1,2.43
15767,2018-01-09,ICE_CREAMS_FROZEN,5,1.49
18179,2018-01-03,SPICES,2,1.76
10491,2018-01-11,DRINK_JUICE,15,0.98
12042,2018-01-12,GENERAL,1,4.45
19531,2018-01-05,SWEETS,13,2.22692307692308
20169,2018-01-08,SWEETS,6,2.18
665,2018-01-08,ALCOHOL,3,2.62
21702,2018-01-06,VEGETABLES,70.77,2.6249823371485097
5609,2018-01-11,CIGARETTES,38,9.14
7205,2018-01-05,DAIRY_CHESSE,178,2.43685393258427
15317,2018-01-06,ICE_CREAMS_FROZEN,5,7.11
9309,2018-01-04,DRINK_JUICE,4,0.92
4638,2018-01-07,CHIPS_FLAKES,1,3.55
20153,2018-01-08,SWEETS,1,0.89
14225,2018-01-04,GROATS_RICE_PASTA,1,1.4
8031,2018-01-09,DAIRY_CHESSE,8,2.59
3045,2018-01-08,CHEMISTRY,1,3.95
2420,2018-01-04,CHEMISTRY,4,2.87
19858,2018-01-07,SWEETS,14,6.0
7423,2018-01-06,DAIRY_CHESSE,3,3.2866666666666697
2836,2018-01-07,CHEMISTRY,4,0.79
11939,2018-01-11,GENERAL,5,1.68
8984,2018-01-02,DRINK_JUICE,39,0.747692307692308
21070,2018-01-01,TABLETS,2,1.23
2176,2018-01-03,CHEMISTRY,6,1.76
2663,2018-01-06,CHEMISTRY,1,0.93
9474,2018-01-05,DRINK_JUICE,18,1.66
4757,2018-01-10,CHIPS_FLAKES,19,2.06947368421053
17899,2018-01-05,GENERAL_ITEMS,4,2.35
7289,2018-01-05,DAIRY_CHESSE,5,1.97
12613,2018-01-04,GENERAL_FOOD,1,0.99
10730,2018-01-12,DRINK_JUICE,9,2.41
17907,2018-01-06,GENERAL_ITEMS,2,3.15
9543,2018-01-06,DRINK_JUICE,32,1.27
21736,2018-01-06,VEGETABLES,74.45,2.67817327065144
10869,2018-01-03,POULTRY,0.67,12.0
450,2018-01-05,ALCOHOL,4,4.06
10653,2018-01-12,DRINK_JUICE,36,1.4375
6380,2018-01-12,COOKIES_BULK,2,8.4
