group,Index,quantity,unit_cogs,name
ICE_CREAMS_FROZEN,15108,5,1.77,LODY KLAPS 105 ML
DRINK_JUICE,9570,24,0.74,NAP AQA 1_5 L N/G TRUSKAWKA
BREAD,1242,445.47,2.65167126854783,M CHLEB MALY KROJONY
DAIRY_CHESSE,7524,1,16.99,SER TOP.WEDZONY MLEKPOL LUZ
COFFEE TEA,5922,1,7.69,KAWA NESCAFE CREME 100GR ZAPAS
CIGARETTES,5440,33,10.73,PAP LD MENTHOL SUPER SLIM
GROATS_RICE_PASTA,14563,17,1.85,MAKA KOSZALINSKA  STOISLAW 1KG
DAIRY_CHESSE,6661,6,0.77,JOGURT MIAMU  JAGODA 125 G
CHEMISTRY,2779,1,0.75,ZESZYT W KRATKE 60 K
DRINK_JUICE,9776,37,1.83,NAP COCA COLA 0_5L
SWEETS,19089,3,1.35,ZELUSIE JUTRZENKA 90GR MISKI
ALCOHOL,502,5,2.73,PIWO LWÓWEK 0_5 L B/ZWR
ICE_CREAMS_FROZEN,15051,3,3.27,ZUPA JARZYNOWA 450 G
SWEETS,20386,1,1.84,MARCHEW Z GROSZKIEM 290 G FRUBEX
COFFEE TEA,5835,1,2.59,HERB.MINUTKA EXP 100SZT
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16646,5,1.03,BATON KIT KAT CHUNKY WHITE 40G
GROATS_RICE_PASTA,14623,22,1.92454545454545,MAKA TORTOWA BASIA 1 KG
CIGARETTES,5675,9,9.95,PAP ROTHMANSY CLICK LINK
DAIRY_CHESSE,8025,13,1.61846153846154,HOCHL.PAPRYKA 100G BLOK
CIGARETTES,5235,26,11.7938461538462,PAP LM BLU
COOKIES_BULK,6281,4.035,13.690210656753399,CHRUSCIKI /PACZKI LUZ
GENERAL,11934,3,2.62,FASOLA PIEKNY JAS 400 SARITA
GENERAL_FOOD,13425,2,0.99,KNORR G.K.CEBULOWA Z GRZANKAMI 17 G
DRINK_JUICE,10638,3,1.23666666666667,KUBUS MAR.BAN.JAB.0_33L
DAIRY_CHESSE,7623,11,1.59,HOCHL.SALAMI 100G
DRINK_JUICE,9858,14,1.74,PEPSI COLA 0_5L..
VEGETABLES,21608,11,2.0,SKORUPKA BURACZKI 500G
ALCOHOL,874,9,1.68,PIWO TYSKIE KLASYCZNE 0_5 BUT.ZW
TABLETS,21262,1,2.15,PLASTER POLSKI LEK OPATRUNKOWY
SWEETS,19279,2,3.56,ZAJAC MILKA 50 G
DAIRY_CHESSE,7482,3,1.83,MLEKO MLECZNA ZAGRODA 3_2 % BUTELKA
DRINK_JUICE,10307,1,1.21,WODA ZYWIEC 0_5 L N/G SMOCZEK
DRINK_JUICE,9031,8,0.74,NAP AQA 1_5 L N/GAZ CYTRYNA
DRINK_JUICE,9302,10,0.33,WODA GAZ W BUT.SZKL.ZWROTNEJ
ICE_CREAMS_FROZEN,14872,4,5.03,PIEROGI Z TRUSKAWKA 450 G
CIGARETTES,5123,5,9.86,PAP WINSTON RED
SWEETS,19832,32,0.71,WAFLE GRZESKI MEGA TOFFI
POULTRY,11008,2,2.41,SLEDZ W OLEJU 170 G ORKA
GENERAL_FOOD,13527,1,3.53,WIN ZELATYNA SPOZYWCZA
TABLETS,21283,1,3.05,VITAFIZZ MULTIVITAMINA
ICE_CREAMS_FROZEN,15691,1,3.91,KALAFIOR MROZONY NORDIS
ICE_CREAMS_FROZEN,15433,31,0.71,LODY JOCKER  KORAL
SWEETS,19300,2,1.06,BATON MARS 51 G
DRINK_JUICE,9411,1,3.61,NAP HORTEX 1 L GREJPR.RUBIN
SWEETS,18938,20,0.585,BATON 7DAYS KAKAO W POLEWIE
CHIPS_FLAKES,4373,1,1.59,PRYMAT PRZYPRAWA DO OGORKOW KWASZON 40 G
GENERAL_FOOD,13200,9,1.01,AMINO B?YSK_PIECZARKOWA
GROATS_RICE_PASTA,14348,18,1.96,MAKA TORTOWA 1KG STOISLAW
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16004,29,1.30862068965517,HELLENA ORENZADA CZERWONA 1_25 L GA
DRINK_JUICE,9740,2,1.27,JOGURT GRECKI 150 G TRUSK.
ALCOHOL,560,9,2.07,PIWO DZIKI SAD CZERESNIA 4_5% 0_4 ML B/B
SWEETS,19060,25,1.1788,TIK TAK MIETA
GENERAL_FOOD,12097,9,0.55,GELLWE KISIEL CYTRYNOWY 38G
COOKIES_BULK,6264,23,0.25,CUKIERKI VALENTINO SZT
GENERAL,11902,3,2.4,WAFLE RYZOWE W CZEKOLADZIE MIECZ.Z SOLA
ALCOHOL,22279,80,3.2,NAP SPIR CYTRYNOWKA 0_1 30%
