group,quantity,Index,date,name
GENERAL_FOOD,11,12891,2018-01-06,DESER MONTE SMURF 125 G
CIGARETTES,38,5313,2018-01-07,PAP MARLLBORO. RED
ALCOHOL,315,726,2018-01-08,PIWO WOJAK 0_5 L BUTELKA JASNE
CHEMISTRY,1,3857,2018-01-12,KREM DO GOLENIA WARS
CIGARETTES,40,5241,2018-01-06,PAP MARLBORO  GOLD
TABLETS,2,21173,2018-01-05,WODA UTLENIONA 100GR
SPICES,1,18494,2018-01-08,KNORR LISC LAUROWY Z TURCJI 5 G
POULTRY,0.18,17016,2018-01-03,SZYNKA DEBOWA/ROLOWANA
DRINK_JUICE,9,9674,2018-01-06,WODA AQA 5 L N/G
DRINK_JUICE,14,10457,2018-01-10,WODA MUSZYNIANKA 0_6 L PLUS
CHEMISTRY,1,2535,2018-01-05,PASTA DO ZEB COLODENT STRONG
GENERAL_FOOD,3,13714,2018-01-11,DR O POSYPKA DO CIAST KOLOR
GENERAL_FOOD,3,13912,2018-01-12,KNORR SOS BOROWIKOWY 37 G
GENERAL,1,11238,2018-01-01,ZUPA 9 WARZYW 450 G
CHEMISTRY,1,2506,2018-01-05,MYDLO DOVE 100G CREAM BAR
CHEMISTRY,2,2421,2018-01-04,WOZEK ZAKUPOWY Z CUKIERKAMI
DRINK_JUICE,3,10737,2018-01-12,WODA JURAJSKA 1_5 L GAZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,32,16026,2018-01-01,NAP COCA COLA 2_25 L PET
CHEMISTRY,1,3636,2018-01-11,KLEJ KROPELKA
CHEMISTRY,1,3333,2018-01-09,SOFTLAN PLYN DO PLUKANIA 1 L BIALY
ALCOHOL,3,884,2018-01-10,PIWO ZAU?EK SZATANA 0_5 L B/BEZW
ALCOHOL,8,22760,2018-01-10,NAP SPIR ZOLADKOWA GORZKA 36% 0_2L
ICE_CREAMS_FROZEN,2,14994,2018-01-04,LODY ROZEK MIX
SWEETS,4,20759,2018-01-11,GOFRY KOKOS 100
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,1,16726,2018-01-11,CUKROWE PERELKI DR OETKER 80G
CHEMISTRY,3,2889,2018-01-07,PATYCZKI BELLA FOLIA 160 T
GENERAL,11,11790,2018-01-09,KLEJ SUPER GLU
BREAD,2,1335,2018-01-08,S SKUBANIEC FOREMKA
GENERAL_FOOD,3,12670,2018-01-04,WIN BARSZCZ CZERWONY INSTANT 170 G
VEGETABLES,1,21862,2018-01-07,MARCHEW MINI CALA -NORDIS
DAIRY_CHESSE,3,8328,2018-01-10,WIN SOS PIECZENIOWY DELIKATNY
ALCOHOL,1,200,2018-01-02,PIWO KASZTELAN 0_5 BUTELKA
POULTRY,4,1828,2018-01-12,PIEROGI Z SEREM/OWOC TACKA 4000GR
SWEETS,2,18948,2018-01-02,BATON PIEROT WEDEL 45GR
CHEMISTRY,1,3515,2018-01-10,PODPASKI BELLA NOC 7 SZT
SWEETS,5,19423,2018-01-04,SPRAY GAZ
SWEETS,3,18828,2018-01-01,GOFRY KOKOS 100
VEGETABLES,70.831,21925,2018-01-08,KT POMIDOR MALINOWY
ICE_CREAMS_FROZEN,6,15252,2018-01-06,LODY CASSATE 400 ML
GROATS_RICE_PASTA,4,14196,2018-01-04,MAK.LUBELLA FALA 400G
DAIRY_CHESSE,11,7792,2018-01-08,GOS.MLEKO ZAG. NIESL.200G GOSTYN
DAIRY_CHESSE,6,7970,2018-01-09,BAKOMA TWIST BRZ+MAN 250 G
BREAD,55,1388,2018-01-10,C CHLEB WIEJSKI 0.6
CHEMISTRY,2,3985,2018-01-12,WYKA?ACZKI 1 SZT
ICE_CREAMS_FROZEN,1,15956,2018-01-12,LODY JAK DAWNIEJ 900 ML CZEK_BELGIJSKA
COFFEE TEA,9,5809,2018-01-03,JACOBS KRONUNG 250G
POULTRY,2,11098,2018-01-11,LARUS DORSZ W GALARECIE 160 G
CHEMISTRY,2,3921,2018-01-12,PODPASKI BELLA PERF.ROSE
VEGETABLES,1,21943,2018-01-08,MALINA MROZONA 400G
CHEMISTRY,1,3560,2018-01-10,WIREK PROSZEK 600G
DRINK_JUICE,33,10488,2018-01-11,BATON KINDER DELIC 39 G
DRINK_JUICE,13,10535,2018-01-11,NAP ENERGRT ROCKST 0_25 ML PUSZKA
GENERAL_FOOD,3,13121,2018-01-07,POWIDLA SLIWKA SLON.OGROD 290G
DAIRY_CHESSE,12,8550,2018-01-12,DA GRATKA DO PICIA TRUSK.170G
GENERAL_FOOD,1,13151,2018-01-07,SP KURCZAK W GALARECIE
SWEETS,21,20012,2018-01-07,TIC TAC ORANGE 16G
DAIRY_CHESSE,3,6602,2018-01-02,DA FANTAZJA WISNIA 122G
GENERAL_FOOD,37,12502,2018-01-03,PYZY WIEJSAKIE DOLCZEWSKI
CHEMISTRY,2,2702,2018-01-06,PAPIER DO PIECZENIA 8 M PAN PACK
ALCOHOL,3,22779,2018-01-10,WODKA KRUPNIK PREMIUM 0_7 L
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,4,16620,2018-01-09,PRZYPR.WARZYWKO 200G
GENERAL,1,11173,2018-01-01,GOLARKA VENUS 2 SZT
ICE_CREAMS_FROZEN,27,14934,2018-01-04,LODY GRZESKI ROZEK 110 ML
ICE_CREAMS_FROZEN,1,14833,2018-01-03,LODY ICE.
SWEETS,5,21055,2018-01-12,WEDEL PAWELEK.CZEKOLADA
DRINK_JUICE,23,10599,2018-01-11,WODA CISOWIANKA 1_5 L LEKKI GAZ
ICE_CREAMS_FROZEN,18,15632,2018-01-08,LODY ROZEK LION 110 ML
POULTRY,2,10838,2018-01-02,P PASTA Z TUNCZYKA
CHIPS_FLAKES,2,4777,2018-01-11,CHRUPKI ARACHIDOWE 70 G
BREAD,2600,1185,2018-01-05,BULKA MALA/KAJZERKA__
DRINK_JUICE,1,8779,2018-01-01,NAP NAPI 0_25 BUTELKA
COOKIES_BULK,12.585,6361,2018-01-11,PIERNIKI  DOMOWE
CHEMISTRY,3,3721,2018-01-11,PUR 900 ML BALSAAM
CHEMISTRY,2,3509,2018-01-10,PLYN AJAX 1L CZERWONY
DAIRY_CHESSE,9,7237,2018-01-05,HOCHL.ZIOLA 100G BLOK TOPIONY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,3,16606,2018-01-09,ORZESZKI DJ 150 G NIESOLONE PUSZKA
GENERAL,10,11788,2018-01-09,JOGURT NATURALNY 330 G GRECKI
DAIRY_CHESSE,2,8503,2018-01-11,SMIETANA 18 400G SREM
CHIPS_FLAKES,6,4662,2018-01-08,CATERING SANDWICH Z POMID.
DRINK_JUICE,35,9204,2018-01-04,NAP COCA COLA 0_5L
SWEETS,20,20213,2018-01-08,RYZ PREPAROWANY 70 G
DAIRY_CHESSE,12,8510,2018-01-11,TWAROG SREMSKI CHUDY 250GR
