Index,date,group,name,unit_cogs
1820,2018-01-12,POULTRY,KROKIETY Z KAPUS/GRZYB.400GR GRZESKOWIAK,4.1
22458,2018-01-04,ALCOHOL,NAP SPIR GREJPFRUTOWA 0_1 30%,3.22
13861,2018-01-12,GENERAL_FOOD,CYKORIA BUDYN WANILIOWY B/C 40 G,0.55
14102,2018-01-02,GROATS_RICE_PASTA,MAKARON ABAK BABUNI 250G 2 JAJ,1.57
18366,2018-01-06,SPICES,KNORR KURKUMA Z INDI 20 G,1.29
21797,2018-01-07,VEGETABLES,KT BOROWKA PUDELKO,3.46
1685,2018-01-08,POULTRY,LOWICZ DZEM TRUSKAWKOWY N/S?,2.81
7663,2018-01-07,DAIRY_CHESSE,MLEKO BEZ LAKTOZY 1_5 % 1 L LOWICZ,2.34
12799,2018-01-05,GENERAL_FOOD,POPCORN 250G ZIARNO,1.5
1528,2018-01-02,POULTRY,PASZTET DROBIOWY 90G DROP,1.12
158,2018-01-01,ALCOHOL,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,1.82
21398,2018-01-02,VEGETABLES,DR POLEWA MLECZNA TWARDA,1.94
16554,2018-01-08,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,WINO CARLO ROSSI ROZOWE P/WYT.9_5% 0_75L,13.48
12010,2018-01-12,GENERAL,KNORR BARSZCZ BIALY 45 G,1.19
22415,2018-01-03,ALCOHOL,NAP SPIR ZO?ADKOWA GORZKA Z FIGA 0_5 L,17.3
9532,2018-01-05,DRINK_JUICE,ZBYSZKO 3 POMARANCZ 1_5 GAZ,1.80435897435897
18768,2018-01-12,SPICES,ZUPA BLYSKAWICZNA WOLOWINA 60 G,0.3
9665,2018-01-06,DRINK_JUICE,PIWO LECH FREE 0_33L BUT.B/ZW,1.64
14294,2018-01-06,GROATS_RICE_PASTA,MAK ZLOTY LAN MUSZELKA 500 G,0.89
11166,2018-01-01,GENERAL,CZEK.ALPEN GOLD 90G TRUS.,2.13
9450,2018-01-05,DRINK_JUICE,NAP TYMBARK 1 L  CZER.GREJFRUT 1L,3.67
