Index,Longitude,Latitude,Country
319,72.64,10.57,IN
584,-104.7,39.01,US
238,27.0,-5.38,CD
366,48.33,-21.22,MG
188,128.87,71.69,RU
312,51.88,47.12,KZ
365,121.44,17.42,PH
294,106.88,47.91,MN
368,124.29,8.0,PH
310,-68.9,-5.18,BR
114,-67.92,3.87,CO
349,-135.33,57.05,US
272,-52.1,-32.03,BR
139,-151.75,-16.48,PF
323,18.96,69.65,NO
406,41.69,13.93,ER
77,-75.02,-7.33,PE
333,135.87,-34.73,AU
552,74.08,18.65,IN
51,44.75,-24.7,MG
27,12.15,-15.2,AO
491,-54.01,48.85,CA
576,95.32,5.89,ID
482,-59.95,3.08,BR
97,-119.31,36.62,US
96,-73.36,41.14,US
171,-22.43,63.84,IS
219,57.61,-19.98,MU
495,16.42,40.5,IT
462,106.27,45.76,MN
45,-175.2,-21.2,TO
407,35.48,30.32,JO
264,87.6,43.8,CN
213,112.21,-6.88,ID
374,155.48,-6.32,PG
7,-73.97,42.6,US
110,-69.36,77.48,GL
488,38.14,44.5,RU
144,-1.76,4.88,GH
549,30.81,69.42,RU
52,103.31,50.3,RU
178,32.54,1.98,UG
402,-81.06,29.29,US
480,88.07,26.89,NP
70,-139.03,-9.8,PF
505,5.52,43.28,FR
6,-70.92,-53.15,CL
401,121.97,20.45,PH
564,87.2,27.37,NP
112,-6.59,62.23,FO
149,-52.95,5.38,GF
72,-48.67,-28.24,BR
292,5.03,61.6,NO
9,-155.09,19.73,US
568,54.09,17.02,OM
398,15.28,-4.27,CG
247,21.04,56.54,LV
334,173.17,-35.17,NZ
55,147.06,-42.78,AU
245,103.47,50.7,RU
581,119.7,49.2,CN
496,138.17,56.45,RU
217,31.11,70.37,NO
484,139.9,69.3,RU
88,-104.7,19.22,MX
57,57.52,-20.52,MU
345,125.48,12.22,PH
372,143.2,64.57,RU
435,-79.97,22.4,CU
403,-105.28,55.1,CA
250,-113.58,37.1,US
150,-68.59,70.47,CA
580,-70.23,41.71,US
2,-152.41,57.79,US
280,17.33,62.49,SE
553,-47.48,-1.63,BR
30,-3.53,18.9,ML
56,-89.37,38.61,US
573,-122.12,47.67,US
87,143.63,-3.55,PG
259,110.28,-7.95,ID
551,10.0,-2.65,GA
83,-61.49,-31.25,AR
281,121.02,14.35,PH
200,25.57,-33.92,ZA
215,-69.12,9.33,VE
377,-82.27,40.82,US
214,57.43,38.44,TM
408,50.81,9.49,SO
225,69.33,40.52,TJ
353,-85.85,16.45,HN
476,-10.8,6.3,LR
409,-52.58,-1.52,BR
39,45.7,51.02,RU
262,105.15,9.18,VN
523,-52.0,1.0,BR
446,11.37,8.88,NG
471,-15.83,11.28,GW
273,-73.82,-41.87,CL
16,134.15,33.28,JP
473,-34.86,-8.01,BR
497,13.5,68.12,NO
157,139.5,-20.73,AU
307,17.94,-33.01,ZA
249,88.67,50.0,RU
261,-115.8,60.82,CA
59,20.04,-34.53,ZA
4,122.67,11.0,PH
161,-70.48,-25.4,CL
311,19.44,41.32,AL
343,153.68,67.45,RU
126,-10.07,20.5,MR
442,73.83,57.13,RU
577,146.27,-20.1,AU
127,-44.87,-1.83,BR
111,161.3,68.75,RU
451,36.2,16.15,SD
80,168.86,-46.19,NZ
370,-98.81,19.22,MX
347,-25.67,37.73,PT
454,45.05,-25.17,MG
291,-156.47,20.89,US
380,-90.64,16.52,MX
423,-41.89,-21.2,BR
22,9.57,63.66,NO
399,-110.22,23.45,MX
426,140.83,35.73,JP
472,167.72,-45.42,NZ
397,37.33,19.11,SD
411,111.89,-8.12,ID
202,-44.83,-20.7,BR
330,81.82,7.42,LK
498,-23.51,14.92,CV
466,-1.7,37.67,ES
81,124.39,13.78,PH
18,-71.23,-14.27,PE
