Index,count,unique,freq
chdh1,208.0,152.0,44.0
slogp_vsa2,208.0,41.0,75.0
fnsa3,208.0,190.0,3.0
saaa2,208.0,204.0,2.0
sadh3,208.0,155.0,47.0
ppsa3,208.0,206.0,2.0
peoe_vsa.4.1,208.0,19.0,125.0
dpsa3,208.0,206.0,2.0
smr_vsa7,208.0,75.0,25.0
tpsa,208.0,128.0,15.0
adistd,208.0,171.0,35.0
ppsa1,208.0,206.0,2.0
sadh1,208.0,146.0,47.0
fpsa1,208.0,198.0,2.0
chdh2,208.0,148.0,44.0
vsa_acid,208.0,3.0,201.0
weight,208.0,191.0,3.0
n_sp3,208.0,178.0,9.0
scdh1,208.0,160.0,47.0
dpsa2,208.0,206.0,2.0
volume,208.0,206.0,2.0
chaa3,208.0,38.0,16.0
wpsa3,208.0,206.0,2.0
vsa_base,208.0,7.0,125.0
saaa1,208.0,205.0,2.0
peoe_vsa.3,208.0,38.0,83.0
smr_vsa6,208.0,73.0,31.0
o_sp3,208.0,99.0,102.0
rpcg,208.0,194.0,4.0
tpsa.1,208.0,133.0,15.0
slogp_vsa6,208.0,11.0,155.0
chdh3,208.0,32.0,44.0
adistm,208.0,172.0,35.0
mchg,208.0,155.0,44.0
slogp_vsa1,208.0,74.0,40.0
sadh2,208.0,146.0,47.0
vsa_pol,208.0,4.0,161.0
chaa1,208.0,205.0,2.0
wnsa1,208.0,206.0,2.0
frac.cation7.,208.0,65.0,50.0
logp.o.w.,208.0,200.0,2.0
vsa_hyd,208.0,194.0,3.0
smr_vsa5,208.0,112.0,8.0
o_sp2,208.0,101.0,99.0
slogp_vsa0,208.0,57.0,21.0
scaa3,208.0,180.0,3.0
pnsa2,208.0,206.0,2.0
psa_npsa,208.0,200.0,2.0
peoe_vsa.2,208.0,66.0,63.0
smr_vsa4,208.0,38.0,81.0
peoe_vsa.5,208.0,11.0,150.0
wncs,208.0,186.0,21.0
most_positive_charge,208.0,194.0,3.0
tcpa,208.0,189.0,3.0
wnsa2,208.0,206.0,2.0
tcnp,208.0,120.0,7.0
hardness,208.0,206.0,2.0
scaa2,208.0,206.0,2.0
ovality,208.0,198.0,2.0
vsa_don,208.0,11.0,73.0
slogp_vsa9,208.0,114.0,18.0
peoe_vsa.3.1,208.0,15.0,168.0
wnsa3,208.0,206.0,2.0
smr_vsa0,208.0,42.0,46.0
frac.anion7.,208.0,12.0,191.0
polar_area,208.0,204.0,2.0
dipole_moment,208.0,205.0,2.0
slogp_vsa3,208.0,30.0,52.0
sum_absolute_charge,208.0,206.0,2.0
smr_vsa2,208.0,46.0,69.0
dpsa1,208.0,206.0,2.0
peoe_vsa.2.1,208.0,12.0,179.0
scdh3,208.0,135.0,47.0
lumo,208.0,206.0,2.0
pnsa1,208.0,206.0,2.0
mw,208.0,190.0,3.0
homo,208.0,206.0,2.0
n_sp2,208.0,99.0,106.0
tcsa,208.0,88.0,10.0
ppsa2,208.0,206.0,2.0
slogp_vsa8,208.0,21.0,74.0
slogp_vsa4,208.0,45.0,39.0
vsa_other,208.0,81.0,16.0
saaa3,208.0,194.0,3.0
clogp,208.0,205.0,2.0
peoe_vsa.4,208.0,16.0,134.0
mlogp,208.0,194.0,3.0
wpsa2,208.0,206.0,2.0
most_negative_charge,208.0,194.0,4.0
chaa2,208.0,196.0,3.0
slogp_vsa5,208.0,54.0,59.0
peoe_vsa.1,208.0,155.0,6.0
andrewbind,208.0,127.0,8.0
fnsa2,208.0,205.0,2.0
