top,count,unique,Index,freq
0.0,208.0,37.0,peoe_vsa.6.1,60.0
36.419998,208.0,128.0,tpsa,15.0
0.0695,208.0,166.0,fpsa3,3.0
0.0,208.0,7.0,vsa_base,125.0
92.58944,208.0,194.0,vsa_hyd,3.0
-9.8202,208.0,206.0,homo,2.0
31.4377,208.0,204.0,polar_area,2.0
0.0,208.0,148.0,chdh2,44.0
-13.6734,208.0,206.0,wnsa3,2.0
56.686199,208.0,206.0,dpsa3,2.0
0.081,208.0,194.0,rpcg,4.0
0.0,208.0,66.0,peoe_vsa.1.1,23.0
0.0,208.0,42.0,vsa_acc,35.0
0.0,208.0,155.0,mchg,44.0
-0.5935,208.0,194.0,most_negative_charge,4.0
166.386795,208.0,206.0,wpsa2,2.0
0.0,208.0,21.0,slogp_vsa8,74.0
0.0,208.0,178.0,n_sp3,9.0
-0.0015,208.0,38.0,chaa3,16.0
0.0,208.0,146.0,sadh2,47.0
0.0,208.0,172.0,adistm,35.0
0.0,208.0,19.0,peoe_vsa.4.1,125.0
0.4361,208.0,194.0,most_positive_charge,3.0
0.0,208.0,99.0,n_sp2,106.0
0.0,208.0,16.0,peoe_vsa.4,134.0
0.0,208.0,70.0,smr_vsa1,58.0
0.0,208.0,32.0,chdh3,44.0
2.099,208.0,205.0,clogp,2.0
-12.6059,208.0,206.0,scaa1,2.0
0.0,208.0,19.0,rdta,44.0
446.632599,208.0,206.0,ppsa2,2.0
22.5336,208.0,206.0,wpsa3,2.0
0.0,208.0,158.0,achg,44.0
4.8147,208.0,206.0,hardness,2.0
0.0,208.0,152.0,chdh1,44.0
906.223999,208.0,206.0,volume,2.0
0.0,208.0,4.0,vsa_pol,161.0
0.0,208.0,192.0,wpcs,15.0
22.381120000000006,208.0,81.0,vsa_other,16.0
0.0,208.0,12.0,peoe_vsa.2.1,179.0
52.92955,208.0,112.0,smr_vsa5,8.0
0.0612,208.0,200.0,psa_npsa,2.0
180.167,208.0,191.0,weight,3.0
0.0,208.0,66.0,peoe_vsa.2,63.0
0.0,208.0,95.0,smr_vsa3,19.0
0.0,208.0,135.0,scdh3,47.0
8.619013,208.0,21.0,peoe_vsa.6,48.0
56.05296,208.0,155.0,peoe_vsa.1,6.0
7.6,208.0,127.0,andrewbind,8.0
-1.7799,208.0,205.0,fnsa2,2.0
6.1777,208.0,206.0,sum_absolute_charge,2.0
0.1307,208.0,194.0,saaa3,3.0
-8.0243,208.0,206.0,scaa2,2.0
0.0,208.0,160.0,scdh1,47.0
0.0,208.0,114.0,slogp_vsa9,18.0
-23.834999,208.0,206.0,pnsa3,2.0
0.0,208.0,146.0,sadh1,47.0
10.0973,208.0,204.0,saaa2,2.0
0.0,208.0,3.0,vsa_acid,201.0
538.872925,208.0,206.0,surface_area,2.0
177.396896,208.0,206.0,dpsa1,2.0
1.1836,208.0,198.0,ovality,2.0
0.3663,208.0,198.0,fnsa1,2.0
0.0115,208.0,88.0,tcsa,10.0
18.43958,208.0,73.0,smr_vsa6,31.0
0.2131,208.0,206.0,lumo,2.0
0.0,208.0,75.0,smr_vsa7,25.0
-0.3822,208.0,196.0,chaa2,3.0
0.0,208.0,41.0,slogp_vsa2,75.0
-158.483902,208.0,206.0,pnsa2,2.0
36.348202,208.0,206.0,wnsa1,2.0
1.35334,208.0,194.0,mlogp,3.0
-0.0072,208.0,180.0,scaa3,3.0
-191.933395,208.0,206.0,wnsa2,2.0
0.1187,208.0,195.0,rncg,2.0
0.0,208.0,11.0,slogp_vsa6,155.0
0.0,208.0,155.0,sadh3,47.0
230.098175,208.0,190.0,mw,3.0
0.0,208.0,99.0,o_sp3,102.0
-0.0509,208.0,190.0,fnsa3,3.0
0.0,208.0,11.0,vsa_don,73.0
0.0,208.0,65.0,frac.cation7.,50.0
41.8162,208.0,206.0,ppsa3,2.0
3.0,208.0,13.0,ub,42.0
423.563507,208.0,206.0,ppsa1,2.0
0.0,208.0,38.0,smr_vsa4,81.0
0.0,208.0,171.0,adistd,35.0
0.0,208.0,101.0,o_sp2,99.0
0.0466,208.0,189.0,tcpa,3.0
3.124314,208.0,57.0,slogp_vsa0,21.0
-1.1467,208.0,205.0,chaa1,2.0
0.0125,208.0,120.0,tcnp,7.0
0.0,208.0,42.0,smr_vsa0,46.0
2.764,208.0,200.0,logp.o.w.,2.0
8.936826,208.0,164.0,peoe_vsa.0,5.0
0.0,208.0,11.0,peoe_vsa.5,150.0
0.0,208.0,74.0,slogp_vsa1,40.0
0.0,208.0,160.0,scdh2,47.0
0.0,208.0,15.0,peoe_vsa.3.1,168.0
102.434998,208.0,206.0,wpsa1,2.0
507.43521100000004,208.0,206.0,nonpolar_area,2.0
1.6084,208.0,205.0,dipole_moment,2.0
0.0,208.0,30.0,slogp_vsa3,52.0
0.0,208.0,12.0,frac.anion7.,191.0
115.309402,208.0,206.0,pnsa1,2.0
30.291999999999998,208.0,205.0,saaa1,2.0
1664.508423,208.0,206.0,dpsa2,2.0
24.50981,208.0,92.0,peoe_vsa.0.1,25.0
141.1455,208.0,61.0,slogp_vsa7,29.0
0.0,208.0,45.0,slogp_vsa4,39.0
0.0,208.0,186.0,wncs,21.0
38.03,208.0,133.0,tpsa.1,15.0
0.0,208.0,46.0,smr_vsa2,69.0
1.1989,208.0,206.0,fpsa2,2.0
0.0,208.0,54.0,slogp_vsa5,59.0
0.0,208.0,38.0,peoe_vsa.3,83.0
0.6337,208.0,198.0,fpsa1,2.0
0.0,208.0,20.0,peoe_vsa.5.1,81.0
