count,freq,Index,top,unique
208.0,15.0,tpsa,36.419998,128.0
208.0,3.0,vsa_hyd,92.58944,194.0
208.0,3.0,weight,180.167,191.0
208.0,5.0,peoe_vsa.0,8.936826,164.0
208.0,6.0,peoe_vsa.1,56.05296,155.0
208.0,63.0,peoe_vsa.2,0.0,66.0
208.0,83.0,peoe_vsa.3,0.0,38.0
208.0,134.0,peoe_vsa.4,0.0,16.0
208.0,150.0,peoe_vsa.5,0.0,11.0
208.0,48.0,peoe_vsa.6,8.619013,21.0
208.0,25.0,peoe_vsa.0.1,24.50981,92.0
208.0,23.0,peoe_vsa.1.1,0.0,66.0
208.0,179.0,peoe_vsa.2.1,0.0,12.0
208.0,168.0,peoe_vsa.3.1,0.0,15.0
208.0,125.0,peoe_vsa.4.1,0.0,19.0
208.0,81.0,peoe_vsa.5.1,0.0,20.0
208.0,60.0,peoe_vsa.6.1,0.0,37.0
208.0,35.0,vsa_acc,0.0,42.0
208.0,201.0,vsa_acid,0.0,3.0
208.0,125.0,vsa_base,0.0,7.0
208.0,73.0,vsa_don,0.0,11.0
208.0,16.0,vsa_other,22.381120000000006,81.0
208.0,161.0,vsa_pol,0.0,4.0
208.0,21.0,slogp_vsa0,3.124314,57.0
208.0,40.0,slogp_vsa1,0.0,74.0
208.0,75.0,slogp_vsa2,0.0,41.0
208.0,52.0,slogp_vsa3,0.0,30.0
208.0,39.0,slogp_vsa4,0.0,45.0
208.0,59.0,slogp_vsa5,0.0,54.0
208.0,155.0,slogp_vsa6,0.0,11.0
208.0,29.0,slogp_vsa7,141.1455,61.0
208.0,74.0,slogp_vsa8,0.0,21.0
208.0,18.0,slogp_vsa9,0.0,114.0
208.0,46.0,smr_vsa0,0.0,42.0
208.0,58.0,smr_vsa1,0.0,70.0
208.0,69.0,smr_vsa2,0.0,46.0
208.0,19.0,smr_vsa3,0.0,95.0
208.0,81.0,smr_vsa4,0.0,38.0
208.0,8.0,smr_vsa5,52.92955,112.0
208.0,31.0,smr_vsa6,18.43958,73.0
208.0,25.0,smr_vsa7,0.0,75.0
208.0,15.0,tpsa.1,38.03,133.0
208.0,2.0,logp.o.w.,2.764,200.0
208.0,191.0,frac.anion7.,0.0,12.0
208.0,50.0,frac.cation7.,0.0,65.0
208.0,8.0,andrewbind,7.6,127.0
208.0,3.0,mlogp,1.35334,194.0
208.0,2.0,clogp,2.099,205.0
208.0,3.0,mw,230.098175,190.0
208.0,42.0,ub,3.0,13.0
208.0,35.0,adistm,0.0,172.0
208.0,35.0,adistd,0.0,171.0
208.0,2.0,polar_area,31.4377,204.0
208.0,2.0,nonpolar_area,507.43521100000004,206.0
208.0,2.0,psa_npsa,0.0612,200.0
208.0,10.0,tcsa,0.0115,88.0
208.0,3.0,tcpa,0.0466,189.0
208.0,7.0,tcnp,0.0125,120.0
208.0,2.0,ovality,1.1836,198.0
208.0,2.0,surface_area,538.872925,206.0
208.0,2.0,volume,906.223999,206.0
208.0,4.0,most_negative_charge,-0.5935,194.0
208.0,3.0,most_positive_charge,0.4361,194.0
208.0,2.0,sum_absolute_charge,6.1777,206.0
208.0,2.0,dipole_moment,1.6084,205.0
208.0,2.0,homo,-9.8202,206.0
208.0,2.0,lumo,0.2131,206.0
208.0,2.0,hardness,4.8147,206.0
208.0,2.0,ppsa1,423.563507,206.0
208.0,2.0,ppsa2,446.632599,206.0
208.0,2.0,ppsa3,41.8162,206.0
208.0,2.0,pnsa1,115.309402,206.0
208.0,2.0,pnsa2,-158.483902,206.0
208.0,2.0,pnsa3,-23.834999,206.0
208.0,2.0,fpsa1,0.6337,198.0
208.0,2.0,fpsa2,1.1989,206.0
208.0,3.0,fpsa3,0.0695,166.0
208.0,2.0,fnsa1,0.3663,198.0
208.0,2.0,fnsa2,-1.7799,205.0
208.0,3.0,fnsa3,-0.0509,190.0
208.0,2.0,wpsa1,102.434998,206.0
208.0,2.0,wpsa2,166.386795,206.0
208.0,2.0,wpsa3,22.5336,206.0
208.0,2.0,wnsa1,36.348202,206.0
208.0,2.0,wnsa2,-191.933395,206.0
208.0,2.0,wnsa3,-13.6734,206.0
208.0,2.0,dpsa1,177.396896,206.0
208.0,2.0,dpsa2,1664.508423,206.0
208.0,2.0,dpsa3,56.686199,206.0
208.0,4.0,rpcg,0.081,194.0
208.0,2.0,rncg,0.1187,195.0
208.0,15.0,wpcs,0.0,192.0
208.0,21.0,wncs,0.0,186.0
208.0,47.0,sadh1,0.0,146.0
208.0,47.0,sadh2,0.0,146.0
208.0,47.0,sadh3,0.0,155.0
208.0,44.0,chdh1,0.0,152.0
208.0,44.0,chdh2,0.0,148.0
208.0,44.0,chdh3,0.0,32.0
208.0,47.0,scdh1,0.0,160.0
208.0,47.0,scdh2,0.0,160.0
208.0,47.0,scdh3,0.0,135.0
208.0,2.0,saaa1,30.291999999999998,205.0
208.0,2.0,saaa2,10.0973,204.0
208.0,3.0,saaa3,0.1307,194.0
208.0,2.0,chaa1,-1.1467,205.0
208.0,3.0,chaa2,-0.3822,196.0
208.0,16.0,chaa3,-0.0015,38.0
208.0,2.0,scaa1,-12.6059,206.0
208.0,2.0,scaa2,-8.0243,206.0
208.0,3.0,scaa3,-0.0072,180.0
208.0,44.0,mchg,0.0,155.0
208.0,44.0,achg,0.0,158.0
208.0,44.0,rdta,0.0,19.0
208.0,106.0,n_sp2,0.0,99.0
208.0,9.0,n_sp3,0.0,178.0
208.0,99.0,o_sp2,0.0,101.0
208.0,102.0,o_sp3,0.0,99.0
