freq,unique,Index,count,top
2.0,206.0,pnsa3,208.0,-23.834999
35.0,172.0,adistm,208.0,0.0
3.0,180.0,scaa3,208.0,-0.0072
44.0,19.0,rdta,208.0,0.0
9.0,178.0,n_sp3,208.0,0.0
7.0,120.0,tcnp,208.0,0.0125
2.0,206.0,wnsa2,208.0,-191.933395
106.0,99.0,n_sp2,208.0,0.0
8.0,127.0,andrewbind,208.0,7.6
2.0,206.0,pnsa2,208.0,-158.483902
47.0,135.0,scdh3,208.0,0.0
47.0,160.0,scdh2,208.0,0.0
19.0,95.0,smr_vsa3,208.0,0.0
3.0,196.0,chaa2,208.0,-0.3822
44.0,152.0,chdh1,208.0,0.0
2.0,200.0,logp.o.w.,208.0,2.764
155.0,11.0,slogp_vsa6,208.0,0.0
46.0,42.0,smr_vsa0,208.0,0.0
2.0,205.0,dipole_moment,208.0,1.6084
10.0,88.0,tcsa,208.0,0.0115
2.0,206.0,homo,208.0,-9.8202
2.0,206.0,lumo,208.0,0.2131
31.0,73.0,smr_vsa6,208.0,18.43958
2.0,206.0,nonpolar_area,208.0,507.43521100000004
2.0,205.0,saaa1,208.0,30.291999999999998
8.0,112.0,smr_vsa5,208.0,52.92955
18.0,114.0,slogp_vsa9,208.0,0.0
58.0,70.0,smr_vsa1,208.0,0.0
81.0,38.0,smr_vsa4,208.0,0.0
2.0,206.0,scaa1,208.0,-12.6059
47.0,155.0,sadh3,208.0,0.0
74.0,21.0,slogp_vsa8,208.0,0.0
15.0,128.0,tpsa,208.0,36.419998
2.0,206.0,scaa2,208.0,-8.0243
2.0,204.0,saaa2,208.0,10.0973
59.0,54.0,slogp_vsa5,208.0,0.0
2.0,206.0,ppsa1,208.0,423.563507
3.0,194.0,most_positive_charge,208.0,0.4361
179.0,12.0,peoe_vsa.2.1,208.0,0.0
2.0,206.0,sum_absolute_charge,208.0,6.1777
201.0,3.0,vsa_acid,208.0,0.0
2.0,205.0,fnsa2,208.0,-1.7799
3.0,190.0,mw,208.0,230.098175
44.0,158.0,achg,208.0,0.0
3.0,191.0,weight,208.0,180.167
134.0,16.0,peoe_vsa.4,208.0,0.0
99.0,101.0,o_sp2,208.0,0.0
2.0,198.0,ovality,208.0,1.1836
2.0,206.0,dpsa3,208.0,56.686199
81.0,20.0,peoe_vsa.5.1,208.0,0.0
47.0,146.0,sadh1,208.0,0.0
15.0,133.0,tpsa.1,208.0,38.03
75.0,41.0,slogp_vsa2,208.0,0.0
69.0,46.0,smr_vsa2,208.0,0.0
125.0,7.0,vsa_base,208.0,0.0
83.0,38.0,peoe_vsa.3,208.0,0.0
2.0,206.0,wnsa1,208.0,36.348202
42.0,13.0,ub,208.0,3.0
150.0,11.0,peoe_vsa.5,208.0,0.0
52.0,30.0,slogp_vsa3,208.0,0.0
40.0,74.0,slogp_vsa1,208.0,0.0
3.0,194.0,vsa_hyd,208.0,92.58944
2.0,206.0,fpsa2,208.0,1.1989
39.0,45.0,slogp_vsa4,208.0,0.0
2.0,206.0,wnsa3,208.0,-13.6734
2.0,200.0,psa_npsa,208.0,0.0612
15.0,192.0,wpcs,208.0,0.0
2.0,198.0,fpsa1,208.0,0.6337
25.0,75.0,smr_vsa7,208.0,0.0
3.0,166.0,fpsa3,208.0,0.0695
2.0,198.0,fnsa1,208.0,0.3663
4.0,194.0,rpcg,208.0,0.081
2.0,206.0,dpsa1,208.0,177.396896
2.0,204.0,polar_area,208.0,31.4377
161.0,4.0,vsa_pol,208.0,0.0
4.0,194.0,most_negative_charge,208.0,-0.5935
50.0,65.0,frac.cation7.,208.0,0.0
44.0,32.0,chdh3,208.0,0.0
63.0,66.0,peoe_vsa.2,208.0,0.0
23.0,66.0,peoe_vsa.1.1,208.0,0.0
47.0,160.0,scdh1,208.0,0.0
60.0,37.0,peoe_vsa.6.1,208.0,0.0
2.0,205.0,chaa1,208.0,-1.1467
2.0,206.0,wpsa3,208.0,22.5336
2.0,206.0,pnsa1,208.0,115.309402
2.0,205.0,clogp,208.0,2.099
191.0,12.0,frac.anion7.,208.0,0.0
44.0,155.0,mchg,208.0,0.0
16.0,81.0,vsa_other,208.0,22.381120000000006
2.0,206.0,surface_area,208.0,538.872925
21.0,57.0,slogp_vsa0,208.0,3.124314
35.0,42.0,vsa_acc,208.0,0.0
5.0,164.0,peoe_vsa.0,208.0,8.936826
168.0,15.0,peoe_vsa.3.1,208.0,0.0
44.0,148.0,chdh2,208.0,0.0
6.0,155.0,peoe_vsa.1,208.0,56.05296
2.0,206.0,ppsa3,208.0,41.8162
3.0,194.0,mlogp,208.0,1.35334
21.0,186.0,wncs,208.0,0.0
73.0,11.0,vsa_don,208.0,0.0
25.0,92.0,peoe_vsa.0.1,208.0,24.50981
102.0,99.0,o_sp3,208.0,0.0
2.0,206.0,hardness,208.0,4.8147
2.0,195.0,rncg,208.0,0.1187
3.0,189.0,tcpa,208.0,0.0466
35.0,171.0,adistd,208.0,0.0
