top,count,freq,Index
0.3663,208.0,2.0,fnsa1
-12.6059,208.0,2.0,scaa1
-0.0015,208.0,16.0,chaa3
0.0,208.0,47.0,scdh1
1.1836,208.0,2.0,ovality
1.1989,208.0,2.0,fpsa2
52.92955,208.0,8.0,smr_vsa5
31.4377,208.0,2.0,polar_area
0.0,208.0,19.0,smr_vsa3
0.0,208.0,44.0,chdh3
41.8162,208.0,2.0,ppsa3
0.0,208.0,161.0,vsa_pol
0.0,208.0,60.0,peoe_vsa.6.1
423.563507,208.0,2.0,ppsa1
0.0,208.0,9.0,n_sp3
-0.0072,208.0,3.0,scaa3
0.0,208.0,44.0,achg
0.0,208.0,35.0,adistd
-23.834999,208.0,2.0,pnsa3
-191.933395,208.0,2.0,wnsa2
0.0,208.0,81.0,peoe_vsa.5.1
0.0,208.0,125.0,peoe_vsa.4.1
56.05296,208.0,6.0,peoe_vsa.1
0.0,208.0,47.0,sadh1
-13.6734,208.0,2.0,wnsa3
906.223999,208.0,2.0,volume
102.434998,208.0,2.0,wpsa1
0.0,208.0,50.0,frac.cation7.
230.098175,208.0,3.0,mw
0.0,208.0,191.0,frac.anion7.
0.0115,208.0,10.0,tcsa
24.50981,208.0,25.0,peoe_vsa.0.1
30.291999999999998,208.0,2.0,saaa1
0.0,208.0,201.0,vsa_acid
0.4361,208.0,3.0,most_positive_charge
0.0,208.0,46.0,smr_vsa0
0.0,208.0,52.0,slogp_vsa3
0.0,208.0,25.0,smr_vsa7
2.764,208.0,2.0,logp.o.w.
0.0,208.0,83.0,peoe_vsa.3
8.619013,208.0,48.0,peoe_vsa.6
0.0,208.0,102.0,o_sp3
507.43521100000004,208.0,2.0,nonpolar_area
-1.7799,208.0,2.0,fnsa2
1.35334,208.0,3.0,mlogp
0.0,208.0,73.0,vsa_don
0.0612,208.0,2.0,psa_npsa
0.0,208.0,47.0,scdh2
-0.0509,208.0,3.0,fnsa3
4.8147,208.0,2.0,hardness
38.03,208.0,15.0,tpsa.1
0.0,208.0,155.0,slogp_vsa6
0.0,208.0,81.0,smr_vsa4
36.348202,208.0,2.0,wnsa1
0.6337,208.0,2.0,fpsa1
-9.8202,208.0,2.0,homo
36.419998,208.0,15.0,tpsa
0.0,208.0,35.0,vsa_acc
56.686199,208.0,2.0,dpsa3
0.0,208.0,21.0,wncs
0.0,208.0,44.0,chdh1
0.0,208.0,63.0,peoe_vsa.2
0.0,208.0,47.0,sadh2
0.0466,208.0,3.0,tcpa
0.0,208.0,58.0,smr_vsa1
0.0,208.0,39.0,slogp_vsa4
0.0,208.0,168.0,peoe_vsa.3.1
0.0,208.0,44.0,chdh2
538.872925,208.0,2.0,surface_area
18.43958,208.0,31.0,smr_vsa6
3.124314,208.0,21.0,slogp_vsa0
0.0,208.0,23.0,peoe_vsa.1.1
0.0125,208.0,7.0,tcnp
0.0,208.0,74.0,slogp_vsa8
0.1307,208.0,3.0,saaa3
115.309402,208.0,2.0,pnsa1
0.0695,208.0,3.0,fpsa3
0.0,208.0,47.0,scdh3
7.6,208.0,8.0,andrewbind
2.099,208.0,2.0,clogp
22.5336,208.0,2.0,wpsa3
-0.5935,208.0,4.0,most_negative_charge
8.936826,208.0,5.0,peoe_vsa.0
0.1187,208.0,2.0,rncg
6.1777,208.0,2.0,sum_absolute_charge
0.0,208.0,44.0,rdta
0.0,208.0,150.0,peoe_vsa.5
0.0,208.0,18.0,slogp_vsa9
0.0,208.0,35.0,adistm
-0.3822,208.0,3.0,chaa2
0.0,208.0,179.0,peoe_vsa.2.1
-8.0243,208.0,2.0,scaa2
3.0,208.0,42.0,ub
0.0,208.0,99.0,o_sp2
0.0,208.0,125.0,vsa_base
0.0,208.0,40.0,slogp_vsa1
0.0,208.0,106.0,n_sp2
0.0,208.0,59.0,slogp_vsa5
0.0,208.0,69.0,smr_vsa2
141.1455,208.0,29.0,slogp_vsa7
0.0,208.0,75.0,slogp_vsa2
446.632599,208.0,2.0,ppsa2
0.2131,208.0,2.0,lumo
0.081,208.0,4.0,rpcg
22.381120000000006,208.0,16.0,vsa_other
0.0,208.0,15.0,wpcs
177.396896,208.0,2.0,dpsa1
180.167,208.0,3.0,weight
-1.1467,208.0,2.0,chaa1
92.58944,208.0,3.0,vsa_hyd
-158.483902,208.0,2.0,pnsa2
1.6084,208.0,2.0,dipole_moment
0.0,208.0,47.0,sadh3
1664.508423,208.0,2.0,dpsa2
0.0,208.0,44.0,mchg
0.0,208.0,134.0,peoe_vsa.4
10.0973,208.0,2.0,saaa2
166.386795,208.0,2.0,wpsa2
