CONCEPTO,Habitación Sencilla ,Impuestos sobre hospedaje,I.V.A. ,Dirección,Página web,Estrellas
HOTEL MISION JURIQUILLA ,1030.0,0.025,0.16,"Blvd. Villas del Mesón No. 56, Juriquilla Querétaro. C.P. 76230",http://www.hotelesmision.com.mx/queretaro_juriquilla.php,*****
RAMADA ENCORE HOTEL QRO.,920.0,0.035,0.16,"Paseo de la República 11515, Juriquilla, Qro. C.P. 76230",www.hotelesencore.com,****
FOUR POINTS BY SHERATON,1150.0,0.035,0.16,"Carretera a San Luis Potosí No. 13001, Col. Jurica, C.P. 76127",http://www.starwoodhotels.com/fourpoints/index.html,*****
FOUR POINTS BY SHERATON (WISE),1050.0,0.035,0.16,"Carretera a San Luis Potosí No. 13001, Col. Jurica, C.P. 76127",http://www.starwoodhotels.com/fourpoints/index.html,*****
PLAZA CAMELINAS HOTEL,789.0,0.025,0.16,"Av. 5 de Febrero 28, La Capilla, 76170 Santiago de Querétaro, Qro.",www.plazacamelinas.com.mx,*****
HOTEL MIRABEL ,774.0,0.025,0.16,"Constituyentes 2 Ote. Centro, cp. 76000 Querétaro, Qro. ",www.hotelmirabel.com.mx,****
HOTEL QUINTA SANTIAGO,990.0,0.025,0.16,"Andrés Balvanera no. 4, Centro Histórico, Querétaro, Qro. ",http://www.hotelquintasantiago.mx/,****
HOTEL REAL ALAMEDA,995.0,0.025,0.16,"Corregidora Sur no. 184-D, Col. Centro, Querétaro, Qro. ",http://www.hotelrealalameda.com/,****
HOME 2 BY HILTON,1150.0,0.035,0.16,"Carret. Querétaro -San Luis Potosí 631-C, Jurica, 76100 Santiago de Querétaro, Qro.",http://www.hiltonhotels.com/,*****
HOTELES CITY EXPRESS SUITES,970.52,0.025,0.16,"Av. 5 de Febrero No. 9200, Col Parque Industrial Benito Juárez, 76100 Santiago de Querétaro, Qro.",https://www.cityexpress.com/,****
