Estrellas,I.V.A. ,Página web,CONCEPTO,Habitación Sencilla ,Impuestos sobre hospedaje,Teléfono
*****,0.16,http://www.hotelesmision.com.mx/queretaro_juriquilla.php,HOTEL MISION JURIQUILLA ,1030.0,0.025,(442) 234-0000 Ext. 547
****,0.16,www.hotelesencore.com,RAMADA ENCORE HOTEL QRO.,920.0,0.035,(442) 690-9400
*****,0.16,http://www.starwoodhotels.com/fourpoints/index.html,FOUR POINTS BY SHERATON,1150.0,0.035,(4429 103-3030
*****,0.16,http://www.starwoodhotels.com/fourpoints/index.html,FOUR POINTS BY SHERATON (WISE),1050.0,0.035,(4429 103-3030
*****,0.16,www.plazacamelinas.com.mx,PLAZA CAMELINAS HOTEL,789.0,0.025,(442) 192-3900
****,0.16,www.hotelmirabel.com.mx,HOTEL MIRABEL ,774.0,0.025,(442) 214-3535 y 214-3099
****,0.16,http://www.hotelquintasantiago.mx/,HOTEL QUINTA SANTIAGO,990.0,0.025,"(442) 251-9800, 224-1985 y 224-1986."
****,0.16,http://www.hotelrealalameda.com/,HOTEL REAL ALAMEDA,995.0,0.025,(442) 251 8900
*****,0.16,http://www.hiltonhotels.com/,HOME 2 BY HILTON,1150.0,0.035,(442) 368 3030
****,0.16,https://www.cityexpress.com/,HOTELES CITY EXPRESS SUITES,970.52,0.025,(442) 103 3900
