Single Room,Double No Balcony,Deluxe Suite,Studio
5,102,5,17
25 m2,34 m2,64 m2,45 m2
1,1,2,2
1,2+1,2,2+2
0,0,0,0
Mountain,Mountain,Mountain,Mountain
Bedroom and Bathroom,Bedroom and Bathroom,Bedroom/ Living Room / Bathroom,Bedroom Relax corner / Bathroom
Double bed (bedroom),Twin beds or King (twin connected),King,King (twin connected)
0,1,1,1
1,1,1,1
1,1,1,1
1,1,2,1
1,1,1,1
1,1,1,1
1,0,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
0,0,0,0
1,1,1,1
Carpet,Carpet,Carpet,Carpet
"Yes, Free","Yes, Free","Yes, Free","Yes, Free"
2,2,2,2
2,2,2,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,1
Both,Both,Both,Both
1,1,1,1
1,1,1,1
3,3,3,3
3,3,3,3
