Single Room,Double No Balcony,Presidential Suite,Deluxe Suite,Double Balcony
5,102,1,5,68
25 m2,34 m2,80 m2,64 m2,37 m2
1,1,2,2,1
1,2+1,2,2,2+1
0,0,0,0,0
Mountain,Mountain,Mountain,Mountain,Mountain
Bedroom and Bathroom,Bedroom and Bathroom,Bedroom / Living Room / Dinning Room/,Bedroom/ Living Room / Bathroom,Bedroom and Bathroom
Double bed (bedroom),Twin beds or King (twin connected),Round bedroom,King,Twin beds or King (twin connected)
0,1,1,1,1
1,1,2,1,1
1,1,1,1,1
1,1,2,2,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
Carpet,Carpet,Carpet,Carpet,Carpet
"Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free"
2,2,2,2,2
2,2,2,2,2
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,1,1
Both,Both,Both,Both,Both
1,1,1,1,1
1,1,1,1,1
3,3,3,3,3
3,3,3,3,3
