Single Room,Presidential Suite,Double Balcony,Double No Balcony,Studio,Suite,Deluxe Suite
5,1,68,102,17,11,5
25 m2,80 m2,37 m2,34 m2,45 m2, 64 m2,64 m2
1,2,1,1,2,2,2
1,2,2+1,2+1,2+2,3+1,2
0,0,0,0,0,0,0
Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain
Bedroom and Bathroom,Bedroom / Living Room / Dinning Room/,Bedroom and Bathroom,Bedroom and Bathroom,Bedroom Relax corner / Bathroom,Bedroom / Living room / Bathroom,Bedroom/ Living Room / Bathroom
Double bed (bedroom),Round bedroom,Twin beds or King (twin connected),Twin beds or King (twin connected),King (twin connected),King (twin connected),King
0,1,1,1,1,1,1
1,2,1,1,1,2,1
1,1,1,1,1,1,1
1,2,1,1,1,2,2
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,0,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
Carpet,Carpet,Carpet,Carpet,Carpet,Carpet,Carpet
"Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free","Yes, Free"
2,2,2,2,2,2,2
2,2,2,2,2,2,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
Both,Both,Both,Both,Both,Both,Both
1,1,1,1,1,1,1
1,1,1,1,1,1,1
3,3,3,3,3,3,3
3,3,3,3,3,3,3
