State,Median income_1999,Standard error_1999,Median income_2000,Standard error_2000,Median income_2001,Standard error_2001,Median income_2002,Standard error_2002,Median income_2003,Standard error_2003,Median income_2004,Standard error_2004,Median income_2005,Standard error_2005,Median income_2006,Standard error_2006,Median income_2007,Standard error_2007,Median income_2008,Standard error_2008,Median income_2009,Standard error_2009,Median income_2010,Standard error_2010,Median income_2011,Standard error_2011,Median income_2012,Standard error_2012,Median income_2013,Standard error_2013,Median income_2014,Standard error_2014,Median income_2015,Standard error_2015,Median income_2016,Standard error_2016,Median income_2017,Standard error_2017,Median income_2018,Standard error_2018,Median income_2019,Standard error_2019,Median income_2020,Standard error_2020
Alabama,56496.0,,53395.0,1616.0,51530.0,1474.0,54255.0,1532.0,52560.0,2229.0,50317.0,1790.0,49361.0,1614.0,48843.0,1305.0,52827.0,1777.0,53602.0,1999.0,48351.0,1093.0,48701.0,2851.0,49123.0,2331.0,49092.0,2856.0,52667.0,6134.0,46272.0,1673.0,48629.0,3736.0,50936.0,2482.0,53973.0,892.0,51475.0,2498.0,56901.0,2544.0,54393.0,2587.0
Alaska,80099.0,,79657.0,1747.0,84071.0,2949.0,76145.0,1548.0,73132.0,1384.0,75640.0,2845.0,74262.0,1768.0,72608.0,1924.0,78834.0,1981.0,77119.0,2774.0,74503.0,2118.0,68825.0,2844.0,66241.0,4279.0,71889.0,3207.0,80661.0,6061.0,74017.0,3451.0,82066.0,3808.0,81680.0,4407.0,76273.0,2871.0,70853.0,3495.0,79373.0,6769.0,74476.0,3570.0
Arizona,57655.0,,59966.0,1824.0,62587.0,2112.0,57330.0,1447.0,58077.0,2006.0,60231.0,1570.0,60116.0,1689.0,60046.0,1604.0,59089.0,1946.0,56540.0,1356.0,55316.0,1501.0,55795.0,2650.0,56080.0,2796.0,53135.0,3300.0,58556.0,4858.0,53906.0,2522.0,57085.0,2194.0,61592.0,2126.0,64545.0,2790.0,64203.0,2362.0,71556.0,3433.0,66628.0,3534.0
Arkansas,46258.0,,44763.0,1164.0,48861.0,1677.0,46729.0,1123.0,45149.0,1095.0,48057.0,1365.0,48707.0,1739.0,47691.0,987.0,51054.0,1687.0,47708.0,1439.0,44189.0,1099.0,45909.0,2932.0,47638.0,2133.0,44070.0,3176.0,43825.0,2673.0,49165.0,2786.0,46760.0,1718.0,49518.0,2335.0,51561.0,2790.0,51316.0,2173.0,55220.0,2414.0,50540.0,1992.0
California,67994.0,,70566.0,1034.0,69267.0,1065.0,68444.0,1105.0,69553.0,1155.0,67616.0,907.0,68766.0,611.0,71194.0,894.0,69750.0,773.0,68712.0,999.0,67888.0,749.0,64584.0,1406.0,61554.0,1589.0,64403.0,1398.0,67663.0,2016.0,66201.0,978.0,69527.0,1869.0,71879.0,1160.0,73662.0,1533.0,72662.0,1271.0,79080.0,1873.0,77358.0,1351.0
Colorado,75082.0,,72713.0,1865.0,72396.0,1744.0,69681.0,2112.0,70456.0,1634.0,69902.0,2184.0,67031.0,1710.0,71680.0,1961.0,76517.0,1269.0,73448.0,2287.0,67641.0,1929.0,71663.0,2952.0,67623.0,2945.0,64668.0,3059.0,75586.0,4596.0,66696.0,2642.0,72761.0,4023.0,76117.0,4449.0,78322.0,3149.0,75285.0,3672.0,73404.0,5286.0,82611.0,6144.0
Connecticut,78847.0,,75625.0,2045.0,78185.0,1817.0,77029.0,1977.0,77545.0,2202.0,75691.0,2264.0,75516.0,2170.0,80312.0,2782.0,80271.0,2564.0,77954.0,3255.0,78430.0,2791.0,78522.0,2493.0,75450.0,3476.0,72566.0,3222.0,77120.0,3604.0,76788.0,2917.0,79637.0,4861.0,81895.0,3672.0,76852.0,3705.0,75057.0,5277.0,88380.0,4688.0,79043.0,3601.0
Delaware,72668.0,,75916.0,2273.0,72696.0,2151.0,71637.0,2431.0,69156.0,1944.0,66005.0,1952.0,68075.0,1430.0,67486.0,2226.0,68317.0,2702.0,61105.0,1673.0,63026.0,2154.0,65692.0,2683.0,63045.0,2013.0,55313.0,2232.0,60203.0,4842.0,62955.0,3251.0,63103.0,3706.0,62612.0,3227.0,65805.0,3485.0,67016.0,3710.0,75120.0,3047.0,69132.0,5258.0
District of Columbia,60266.0,,62135.0,1616.0,60337.0,1499.0,56372.0,1436.0,63548.0,2001.0,59688.0,2561.0,59782.0,2879.0,62388.0,2161.0,63554.0,1373.0,66996.0,2125.0,64268.0,2525.0,67731.0,3965.0,63727.0,2433.0,73694.0,4146.0,66843.0,6154.0,74726.0,4818.0,76558.0,3126.0,76566.0,2949.0,88048.0,3505.0,88393.0,2741.0,94273.0,3933.0,88311.0,3531.0
Florida,55841.0,,58568.0,1120.0,53378.0,611.0,54863.0,1195.0,54982.0,1071.0,55683.0,868.0,57120.0,1076.0,58784.0,810.0,57310.0,713.0,54061.0,1034.0,55186.0,854.0,52428.0,1837.0,52024.0,1313.0,52036.0,1254.0,54016.0,3133.0,50498.0,1040.0,53345.0,1524.0,55202.0,901.0,56685.0,1918.0,56329.0,1945.0,59097.0,1598.0,57435.0,1766.0
