League,Season,Date,game_id,Goal_Away,Team_Away,Win_Away,d_rating_Away,o_rating_Away,Goal_Home,Team_Home,Win_Home,d_rating_Home,o_rating_Home
Bundesliga,2017-2018,1/12/2018,4119,3,Bayern Munich,1,0.8095465000000001,0.6192845,1,Leverkusen,0,1.0324079,0.42182600000000003
Bundesliga,2017-2018,1/13/2018,4120,1,Freiburg,0,0.8779113000000002,0.37899888,1,Eint Frankfurt,0,0.86359495,0.17445302
Bundesliga,2017-2018,1/13/2018,4121,2,Mainz 05,0,0.7601038,0.0,3,Hannover 96,1,0.8131189,0.22543475
Bundesliga,2017-2018,1/13/2018,4122,1,Hoffenheim,0,0.8622703000000002,0.08340395,1,Werder Bremen,0,0.79725343,0.679399
Bundesliga,2017-2018,1/13/2018,4123,0,Hamburger SV,0,0.88843304,0.1960056,1,Augsburg,1,0.77617604,0.39198533
Bundesliga,2017-2018,1/13/2018,4124,0,Hertha BSC,0,1.1738952,0.79858613,1,Stuttgart,1,0.77617604,0.5766953
Bundesliga,2017-2018,1/13/2018,4125,1,Schalke 04,0,0.9251159,0.39625517,3,RB Leipzig,1,0.8910763,0.69337183
Bundesliga,2017-2018,1/14/2018,4126,1,M'Gladbach,0,1.3913303999999997,0.44108745,2,Köln,1,0.77617604,0.66826665
Bundesliga,2017-2018,1/14/2018,4127,0,Wolfsburg,0,1.0726798,0.35534802,0,Dortmund,0,1.1720178999999997,1.4268923
Bundesliga,2017-2018,1/19/2018,4128,1,Dortmund,0,1.3349440000000001,0.83692753,1,Hertha BSC,0,1.1490612,1.1663625
Bundesliga,2017-2018,1/20/2018,4129,3,Eint Frankfurt,1,1.1147895,0.8310804,1,Wolfsburg,0,1.0930585,0.25036484
Bundesliga,2017-2018,1/20/2018,4130,1,RB Leipzig,0,0.8406478999999999,0.18160748,2,Freiburg,1,0.97620094,0.6909982
Bundesliga,2017-2018,1/20/2018,4131,4,Leverkusen,1,1.0767401,1.4861897,1,Hoffenheim,0,0.8502699,0.2945222
Bundesliga,2017-2018,1/20/2018,4132,0,Augsburg,0,0.8341008,0.019805185,2,M'Gladbach,1,0.7882058000000001,0.39633566
Bundesliga,2017-2018,1/20/2018,4133,2,Stuttgart,0,1.5081843000000001,1.4512296999999998,3,Mainz 05,1,0.78509927,0.32626715
Bundesliga,2017-2018,1/20/2018,4134,2,Köln,1,0.77617604,0.80001414,0,Hamburger SV,0,0.77617604,0.4503813
Bundesliga,2017-2018,1/21/2018,4135,2,Werder Bremen,0,0.9634485,0.23290461,4,Bayern Munich,1,1.603677,1.6635906999999999
Bundesliga,2017-2018,1/21/2018,4136,1,Hannover 96,0,1.4232788,0.59287906,1,Schalke 04,0,1.3918728999999999,0.49333009999999994
Bundesliga,2017-2018,1/26/2018,4137,0,M'Gladbach,0,1.0524546000000001,0.07787363,2,Eint Frankfurt,1,1.1224566,0.87319374
Bundesliga,2017-2018,1/27/2018,4138,1,Hamburger SV,0,0.77617604,0.0,1,RB Leipzig,0,0.8485128000000001,0.6135755999999999
Bundesliga,2017-2018,1/27/2018,4139,2,Schalke 04,1,1.0186429,0.8270479,0,Stuttgart,0,1.2475091999999999,0.48585249999999996
Bundesliga,2017-2018,1/27/2018,4140,1,Augsburg,0,0.79054284,0.0,1,Köln,0,0.8307519,0.9192796
Bundesliga,2017-2018,1/27/2018,4141,2,Hoffenheim,0,0.9540632,0.31800407,5,Bayern Munich,1,0.98328984,0.56771326
Bundesliga,2017-2018,1/27/2018,4142,2,Freiburg,0,0.9595389999999999,0.58254266,2,Dortmund,0,1.817352,0.59053713
Bundesliga,2017-2018,1/27/2018,4143,0,Hertha BSC,0,1.3002577,0.1124174,0,Werder Bremen,0,0.7113934000000001,0.8303803
Bundesliga,2017-2018,1/28/2018,4144,0,Mainz 05,0,1.0956018,0.3315013,2,Leverkusen,1,1.1316781999999999,1.4570326
Bundesliga,2017-2018,1/28/2018,4145,1,Wolfsburg,1,0.7851130000000001,0.62025476,0,Hannover 96,0,0.8623796999999999,0.4302352
Bundesliga,2017-2018,10/1/2017,4026,2,Hoffenheim,0,0.90303695,0.027211897000000002,3,Freiburg,1,0.77617604,0.0
Bundesliga,2017-2018,10/1/2017,4027,2,Bayern Munich,0,0.77612025,0.9281216999999998,2,Hertha BSC,0,1.2627095,1.0828635
Bundesliga,2017-2018,10/1/2017,4028,2,RB Leipzig,1,0.77617604,0.542611,1,Köln,0,1.0621268,0.1596776
Bundesliga,2017-2018,10/13/2017,4029,1,Köln,0,0.98307073,0.29744878,2,Stuttgart,1,0.8618732,0.49578820000000007
Bundesliga,2017-2018,10/14/2017,4030,0,Freiburg,0,1.1941053,0.3865343,5,Bayern Munich,1,0.61419404,2.185885
Bundesliga,2017-2018,10/14/2017,4031,2,Eint Frankfurt,1,0.7896419,0.21502787,1,Hannover 96,0,0.77617604,0.86681956
